Fecha,Nacionalidad,Femenino,Masculino,Total
2012-06,Eritrea,0,1,1
2012-08,Eritrea,0,2,2
2012-10,Eritrea,0,1,1
2012-12,Eritrea,0,1,1
2013-07,Eritrea,1,1,2
2014-04,Eritrea,0,2,2
2014-07,Eritrea,1,2,3
2014-08,Eritrea,0,2,2
2014-11,Eritrea,0,1,1
2015-02,Eritrea,2,3,5
2015-04,Eritrea,0,2,2
2015-05,Eritrea,0,1,1
2015-06,Eritrea,0,3,3
2015-09,Eritrea,2,1,3
2015-11,Eritrea,0,1,1
2016-04,Eritrea,0,2,2
2016-06,Eritrea,0,1,1
2016-07,Eritrea,1,2,3
2016-08,Eritrea,0,1,1
2016-10,Eritrea,0,1,1
2016-11,Eritrea,0,1,1
2016-12,Eritrea,0,1,1
2017-02,Eritrea,0,1,1
2017-03,Eritrea,0,1,1
2017-04,Eritrea,0,1,1
2017-06,Eritrea,0,1,1
2017-07,Eritrea,0,1,1
2017-08,Eritrea,0,2,2
2018-02,Eritrea,1,0,1
2018-03,Eritrea,1,1,2
2018-07,Eritrea,0,1,1
2018-09,Eritrea,0,1,1
2018-10,Eritrea,0,4,4
2019-01,Eritrea,2,1,3
2019-03,Eritrea,1,2,3
2019-07,Eritrea,0,1,1
2019-08,Eritrea,0,2,2
2019-10,Eritrea,1,2,3
2019-12,Eritrea,0,4,4
2021-02,Eritrea,0,1,1
2022-07,Eritrea,0,3,3
2022-09,Eritrea,2,2,4
2022-11,Eritrea,0,1,1
2022-12,Eritrea,0,4,4
2023-01,Eritrea,0,2,2
2023-07,Eritrea,1,0,1
2024-02,Eritrea,0,1,1
2024-06,Eritrea,0,1,1
2024-07,Eritrea,1,0,1
2024-11,Eritrea,0,3,3
2025-03,Eritrea,0,3,3
2025-04,Eritrea,0,1,1
2025-07,Eritrea,0,2,2
