Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Eslovaquia,16,37,53
2012-02,Eslovaquia,20,18,38
2012-03,Eslovaquia,25,16,41
2012-04,Eslovaquia,19,32,51
2012-05,Eslovaquia,15,11,26
2012-06,Eslovaquia,10,21,31
2012-07,Eslovaquia,19,8,27
2012-08,Eslovaquia,31,15,46
2012-09,Eslovaquia,16,19,35
2012-10,Eslovaquia,10,10,20
2012-11,Eslovaquia,21,20,41
2012-12,Eslovaquia,12,23,35
2013-01,Eslovaquia,29,52,81
2013-02,Eslovaquia,11,33,44
2013-03,Eslovaquia,20,37,57
2013-04,Eslovaquia,14,16,30
2013-05,Eslovaquia,17,11,28
2013-06,Eslovaquia,11,26,37
2013-07,Eslovaquia,25,38,63
2013-08,Eslovaquia,17,18,35
2013-09,Eslovaquia,12,22,34
2013-10,Eslovaquia,10,25,35
2013-11,Eslovaquia,16,33,49
2013-12,Eslovaquia,12,14,26
2014-01,Eslovaquia,15,34,49
2014-02,Eslovaquia,19,22,41
2014-03,Eslovaquia,19,26,45
2014-04,Eslovaquia,20,29,49
2014-05,Eslovaquia,13,14,27
2014-06,Eslovaquia,17,14,31
2014-07,Eslovaquia,18,12,30
2014-08,Eslovaquia,16,16,32
2014-09,Eslovaquia,22,34,56
2014-10,Eslovaquia,16,18,34
2014-11,Eslovaquia,22,37,59
2014-12,Eslovaquia,19,22,41
2015-01,Eslovaquia,22,35,57
2015-02,Eslovaquia,30,26,56
2015-03,Eslovaquia,40,27,67
2015-04,Eslovaquia,24,25,49
2015-05,Eslovaquia,18,16,34
2015-06,Eslovaquia,32,23,55
2015-07,Eslovaquia,33,30,63
2015-08,Eslovaquia,18,20,38
2015-09,Eslovaquia,17,23,40
2015-10,Eslovaquia,27,36,63
2015-11,Eslovaquia,17,34,51
2015-12,Eslovaquia,22,35,57
2016-01,Eslovaquia,31,59,90
2016-02,Eslovaquia,26,32,58
2016-03,Eslovaquia,28,31,59
2016-04,Eslovaquia,21,41,62
2016-05,Eslovaquia,16,39,55
2016-06,Eslovaquia,18,29,47
2016-07,Eslovaquia,27,28,55
2016-08,Eslovaquia,21,21,42
2016-09,Eslovaquia,18,34,52
2016-10,Eslovaquia,47,54,101
2016-11,Eslovaquia,35,54,89
2016-12,Eslovaquia,35,44,79
2017-01,Eslovaquia,63,76,139
2017-02,Eslovaquia,29,44,73
2017-03,Eslovaquia,42,59,101
2017-04,Eslovaquia,37,32,69
2017-05,Eslovaquia,23,29,52
2017-06,Eslovaquia,26,30,56
2017-07,Eslovaquia,36,39,75
2017-08,Eslovaquia,26,38,64
2017-09,Eslovaquia,42,51,93
2017-10,Eslovaquia,36,57,93
2017-11,Eslovaquia,46,63,109
2017-12,Eslovaquia,44,57,101
2018-01,Eslovaquia,63,87,150
2018-02,Eslovaquia,53,102,155
2018-03,Eslovaquia,46,76,122
2018-04,Eslovaquia,73,97,170
2018-05,Eslovaquia,28,46,74
2018-06,Eslovaquia,30,25,55
2018-07,Eslovaquia,29,25,54
2018-08,Eslovaquia,39,48,87
2018-09,Eslovaquia,33,62,95
2018-10,Eslovaquia,49,59,108
2018-11,Eslovaquia,77,90,167
2018-12,Eslovaquia,52,66,118
2019-01,Eslovaquia,73,136,209
2019-02,Eslovaquia,90,116,206
2019-03,Eslovaquia,77,126,203
2019-04,Eslovaquia,71,87,158
2019-05,Eslovaquia,40,55,95
2019-06,Eslovaquia,39,28,67
2019-07,Eslovaquia,50,40,90
2019-08,Eslovaquia,59,60,119
2019-09,Eslovaquia,40,57,97
2019-10,Eslovaquia,49,76,125
2019-11,Eslovaquia,94,142,236
2019-12,Eslovaquia,65,76,141
2020-01,Eslovaquia,53,108,161
2020-02,Eslovaquia,100,125,225
2020-03,Eslovaquia,29,32,61
2020-06,Eslovaquia,1,0,1
2020-10,Eslovaquia,3,7,10
2020-11,Eslovaquia,2,7,9
2020-12,Eslovaquia,9,16,25
2021-01,Eslovaquia,13,35,48
2021-02,Eslovaquia,18,36,54
2021-03,Eslovaquia,22,26,48
2021-04,Eslovaquia,4,5,9
2021-05,Eslovaquia,5,9,14
2021-06,Eslovaquia,8,14,22
2021-07,Eslovaquia,18,23,41
2021-08,Eslovaquia,28,21,49
2021-09,Eslovaquia,21,32,53
2021-10,Eslovaquia,22,32,54
2021-11,Eslovaquia,48,63,111
2021-12,Eslovaquia,45,51,96
2022-01,Eslovaquia,39,66,105
2022-02,Eslovaquia,69,97,166
2022-03,Eslovaquia,45,76,121
2022-04,Eslovaquia,148,117,265
2022-05,Eslovaquia,43,48,91
2022-06,Eslovaquia,29,36,65
2022-07,Eslovaquia,61,96,157
2022-08,Eslovaquia,37,39,76
2022-09,Eslovaquia,44,65,109
2022-10,Eslovaquia,55,58,113
2022-11,Eslovaquia,53,97,150
2022-12,Eslovaquia,59,89,148
2023-01,Eslovaquia,57,114,171
2023-02,Eslovaquia,91,136,227
2023-03,Eslovaquia,64,62,126
2023-04,Eslovaquia,58,65,123
2023-05,Eslovaquia,34,48,82
2023-06,Eslovaquia,31,39,70
2023-07,Eslovaquia,55,46,101
2023-08,Eslovaquia,48,63,111
2023-09,Eslovaquia,40,65,105
2023-10,Eslovaquia,46,56,102
2023-11,Eslovaquia,66,90,156
2023-12,Eslovaquia,75,87,162
2024-01,Eslovaquia,93,158,251
2024-02,Eslovaquia,126,159,285
2024-03,Eslovaquia,105,116,221
2024-04,Eslovaquia,79,104,183
2024-05,Eslovaquia,39,54,93
2024-06,Eslovaquia,33,46,79
2024-07,Eslovaquia,44,66,110
2024-08,Eslovaquia,45,49,94
2024-09,Eslovaquia,46,87,133
2024-10,Eslovaquia,44,65,109
2024-11,Eslovaquia,82,123,205
2024-12,Eslovaquia,81,103,184
2025-01,Eslovaquia,80,149,229
2025-02,Eslovaquia,93,148,241
2025-03,Eslovaquia,91,99,190
2025-04,Eslovaquia,69,71,140
2025-05,Eslovaquia,43,62,105
2025-06,Eslovaquia,45,60,105
2025-07,Eslovaquia,66,68,134
2025-08,Eslovaquia,53,68,121
2025-09,Eslovaquia,63,74,137
2025-10,Eslovaquia,57,64,121
2025-11,Eslovaquia,91,102,193
2025-12,Eslovaquia,66,90,156
