Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Estado De Palestina,2,3,5
2012-02,Estado De Palestina,0,3,3
2012-03,Estado De Palestina,0,3,3
2012-04,Estado De Palestina,1,2,3
2012-06,Estado De Palestina,1,1,2
2012-07,Estado De Palestina,2,3,5
2012-08,Estado De Palestina,1,4,5
2012-09,Estado De Palestina,2,1,3
2012-10,Estado De Palestina,2,4,6
2012-11,Estado De Palestina,0,1,1
2012-12,Estado De Palestina,1,0,1
2013-02,Estado De Palestina,2,1,3
2013-03,Estado De Palestina,2,3,5
2013-04,Estado De Palestina,4,3,7
2013-05,Estado De Palestina,0,4,4
2013-06,Estado De Palestina,1,2,3
2013-07,Estado De Palestina,1,1,2
2013-08,Estado De Palestina,2,1,3
2013-09,Estado De Palestina,0,1,1
2013-10,Estado De Palestina,3,3,6
2013-11,Estado De Palestina,0,1,1
2013-12,Estado De Palestina,0,1,1
2014-01,Estado De Palestina,1,5,6
2014-04,Estado De Palestina,3,8,11
2014-05,Estado De Palestina,2,2,4
2014-06,Estado De Palestina,1,1,2
2014-07,Estado De Palestina,1,1,2
2014-08,Estado De Palestina,2,9,11
2014-09,Estado De Palestina,4,9,13
2014-10,Estado De Palestina,2,1,3
2014-11,Estado De Palestina,3,1,4
2014-12,Estado De Palestina,0,2,2
2015-01,Estado De Palestina,1,3,4
2015-02,Estado De Palestina,0,2,2
2015-04,Estado De Palestina,0,3,3
2015-05,Estado De Palestina,1,5,6
2015-06,Estado De Palestina,2,3,5
2015-07,Estado De Palestina,2,1,3
2015-08,Estado De Palestina,0,1,1
2015-09,Estado De Palestina,6,6,12
2015-10,Estado De Palestina,0,3,3
2015-11,Estado De Palestina,0,2,2
2015-12,Estado De Palestina,0,1,1
2016-01,Estado De Palestina,1,1,2
2016-02,Estado De Palestina,0,5,5
2016-03,Estado De Palestina,0,1,1
2016-04,Estado De Palestina,1,5,6
2016-05,Estado De Palestina,0,1,1
2016-06,Estado De Palestina,2,1,3
2016-07,Estado De Palestina,3,0,3
2016-08,Estado De Palestina,3,3,6
2016-09,Estado De Palestina,8,4,12
2016-10,Estado De Palestina,2,1,3
2016-11,Estado De Palestina,0,1,1
2016-12,Estado De Palestina,1,7,8
