Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Estados Unidos De América,2517,2042,1669
2012-02,Estados Unidos De América,3084,2248,807
2012-03,Estados Unidos De América,3458,1230,983
2012-04,Estados Unidos De América,2592,1168,1738
2012-05,Estados Unidos De América,2989,1029,1693
2012-06,Estados Unidos De América,1165,1542,1146
2012-07,Estados Unidos De América,958,1309,2271
2012-08,Estados Unidos De América,2591,1197,2025
2012-09,Estados Unidos De América,2361,1780,1302
2012-10,Estados Unidos De América,2203,1746,1302
2012-11,Estados Unidos De América,3019,944,1472
2012-12,Estados Unidos De América,1069,1662,1429
2013-01,Estados Unidos De América,1664,1817,1524
2013-02,Estados Unidos De América,1928,1968,1592
2013-03,Estados Unidos De América,2391,1083,1789
2013-04,Estados Unidos De América,2661,925,1368
2013-05,Estados Unidos De América,2290,1086,1706
2013-06,Estados Unidos De América,1076,1509,1305
2013-07,Estados Unidos De América,1025,1386,2413
2013-08,Estados Unidos De América,1664,1197,1964
2013-09,Estados Unidos De América,2480,1783,1300
2013-10,Estados Unidos De América,2616,1699,1352
2013-11,Estados Unidos De América,2033,983,1561
2013-12,Estados Unidos De América,1102,1647,1542
2014-01,Estados Unidos De América,1174,2057,1743
2014-02,Estados Unidos De América,1349,1277,2052
2014-03,Estados Unidos De América,1495,1107,1821
2014-04,Estados Unidos De América,1266,1020,1652
2014-05,Estados Unidos De América,1545,1292,2044
2014-06,Estados Unidos De América,1258,1702,1677
2014-07,Estados Unidos De América,1382,1680,1902
2014-08,Estados Unidos De América,798,1350,2150
2014-09,Estados Unidos De América,2637,1824,1411
2014-10,Estados Unidos De América,2977,2001,1576
2014-11,Estados Unidos De América,1329,1132,1748
2014-12,Estados Unidos De América,1172,1993,1954
2015-01,Estados Unidos De América,1343,2290,2035
2015-02,Estados Unidos De América,1443,1366,2156
2015-03,Estados Unidos De América,1635,1235,1983
2015-04,Estados Unidos De América,1365,1113,1755
2015-05,Estados Unidos De América,1683,1248,1987
2015-06,Estados Unidos De América,1643,1021,1860
2015-07,Estados Unidos De América,1643,1172,2057
2015-08,Estados Unidos De América,1052,724,1211
2015-09,Estados Unidos De América,1485,1556,942
2015-10,Estados Unidos De América,1450,1413,928
2015-11,Estados Unidos De América,1668,1501,924
2015-12,Estados Unidos De América,1582,1219,1991
2016-01,Estados Unidos De América,1819,1751,1435
2016-02,Estados Unidos De América,1967,709,1222
2016-03,Estados Unidos De América,1187,777,1291
2016-04,Estados Unidos De América,1782,1543,1149
2016-05,Estados Unidos De América,1938,1722,1227
2016-06,Estados Unidos De América,1678,1063,1906
2016-07,Estados Unidos De América,1730,1181,2141
2016-08,Estados Unidos De América,1104,1660,1478
2016-09,Estados Unidos De América,1307,1246,1876
2016-10,Estados Unidos De América,1303,1314,936
2016-11,Estados Unidos De América,1658,1571,1011
2016-12,Estados Unidos De América,1473,993,1692
2017-01,Estados Unidos De América,1627,1470,1161
2017-02,Estados Unidos De América,1899,654,1045
2017-03,Estados Unidos De América,1008,1541,1240
2017-04,Estados Unidos De América,869,1645,1085
2017-05,Estados Unidos De América,1009,1606,1221
