Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Estonia,10,14,24
2012-02,Estonia,24,20,44
2012-03,Estonia,24,21,45
2012-04,Estonia,5,5,10
2012-05,Estonia,4,8,12
2012-06,Estonia,4,6,10
2012-07,Estonia,5,1,6
2012-08,Estonia,6,7,13
2012-09,Estonia,1,7,8
2012-10,Estonia,8,14,22
2012-11,Estonia,5,17,22
2012-12,Estonia,6,11,17
2013-01,Estonia,15,18,33
2013-02,Estonia,19,15,34
2013-03,Estonia,14,13,27
2013-04,Estonia,3,6,9
2013-05,Estonia,12,8,20
2013-06,Estonia,5,1,6
2013-07,Estonia,17,27,44
2013-08,Estonia,5,6,11
2013-09,Estonia,5,5,10
2013-10,Estonia,4,9,13
2013-11,Estonia,6,7,13
2013-12,Estonia,7,12,19
2014-01,Estonia,10,10,20
2014-02,Estonia,6,14,20
2014-03,Estonia,10,14,24
2014-04,Estonia,5,6,11
2014-05,Estonia,6,10,16
2014-06,Estonia,3,5,8
2014-07,Estonia,7,4,11
2014-08,Estonia,7,4,11
2014-09,Estonia,2,6,8
2014-10,Estonia,25,22,47
2014-11,Estonia,4,10,14
2014-12,Estonia,26,21,47
2015-01,Estonia,18,22,40
2015-02,Estonia,39,35,74
2015-03,Estonia,15,12,27
2015-04,Estonia,9,26,35
2015-05,Estonia,6,10,16
2015-06,Estonia,13,18,31
2015-07,Estonia,9,18,27
2015-08,Estonia,5,6,11
2015-09,Estonia,7,7,14
2015-10,Estonia,7,19,26
2015-11,Estonia,8,17,25
2015-12,Estonia,8,18,26
2016-01,Estonia,11,19,30
2016-02,Estonia,8,13,21
2016-03,Estonia,12,8,20
2016-04,Estonia,9,8,17
2016-05,Estonia,13,15,28
2016-06,Estonia,9,12,21
2016-07,Estonia,15,25,40
2016-08,Estonia,9,12,21
2016-09,Estonia,10,11,21
2016-10,Estonia,20,34,54
2016-11,Estonia,25,26,51
2016-12,Estonia,17,22,39
2017-01,Estonia,20,24,44
2017-02,Estonia,62,103,165
2017-03,Estonia,13,25,38
2017-04,Estonia,6,7,13
2017-05,Estonia,12,22,34
2017-06,Estonia,14,12,26
2017-07,Estonia,17,19,36
2017-08,Estonia,9,9,18
2017-09,Estonia,11,10,21
2017-10,Estonia,13,15,28
2017-11,Estonia,9,21,30
2017-12,Estonia,12,25,37
2018-01,Estonia,21,39,60
2018-02,Estonia,22,18,40
2018-03,Estonia,29,34,63
2018-04,Estonia,12,16,28
2018-05,Estonia,10,9,19
2018-06,Estonia,14,12,26
2018-07,Estonia,10,6,16
2018-08,Estonia,5,11,16
2018-09,Estonia,14,13,27
2018-10,Estonia,14,13,27
2018-11,Estonia,28,43,71
2018-12,Estonia,31,33,64
2019-01,Estonia,33,48,81
2019-02,Estonia,51,86,137
2019-03,Estonia,26,42,68
2019-04,Estonia,17,24,41
2019-05,Estonia,28,32,60
2019-06,Estonia,12,16,28
2019-07,Estonia,10,9,19
2019-08,Estonia,12,12,24
2019-09,Estonia,7,20,27
2019-10,Estonia,18,36,54
2019-11,Estonia,17,29,46
2019-12,Estonia,20,23,43
2020-01,Estonia,28,41,69
2020-02,Estonia,50,63,113
2020-03,Estonia,15,20,35
2020-10,Estonia,1,3,4
2020-11,Estonia,2,4,6
2020-12,Estonia,3,10,13
2021-01,Estonia,7,10,17
2021-02,Estonia,6,10,16
2021-03,Estonia,5,5,10
2021-04,Estonia,8,3,11
2021-05,Estonia,0,2,2
2021-06,Estonia,6,6,12
2021-07,Estonia,10,8,18
2021-08,Estonia,6,1,7
2021-09,Estonia,7,6,13
2021-10,Estonia,6,21,27
2021-11,Estonia,14,22,36
2021-12,Estonia,32,40,72
2022-01,Estonia,40,39,79
2022-02,Estonia,16,28,44
2022-03,Estonia,22,35,57
2022-04,Estonia,13,18,31
2022-05,Estonia,16,18,34
2022-06,Estonia,14,12,26
2022-07,Estonia,30,36,66
2022-08,Estonia,10,7,17
2022-09,Estonia,10,13,23
2022-10,Estonia,10,34,44
2022-11,Estonia,31,45,76
2022-12,Estonia,24,41,65
2023-01,Estonia,44,65,109
2023-02,Estonia,37,60,97
2023-03,Estonia,21,31,52
2023-04,Estonia,46,28,74
2023-05,Estonia,32,23,55
2023-06,Estonia,15,22,37
2023-07,Estonia,12,16,28
2023-08,Estonia,8,14,22
2023-09,Estonia,19,35,54
2023-10,Estonia,20,33,53
2023-11,Estonia,45,69,114
2023-12,Estonia,32,51,83
2024-01,Estonia,43,74,117
2024-02,Estonia,51,68,119
2024-03,Estonia,47,44,91
2024-04,Estonia,16,19,35
2024-05,Estonia,19,26,45
2024-06,Estonia,13,12,25
2024-07,Estonia,18,12,30
2024-08,Estonia,14,14,28
2024-09,Estonia,14,20,34
2024-10,Estonia,34,30,64
2024-11,Estonia,52,74,126
2024-12,Estonia,59,64,123
2025-01,Estonia,49,55,104
2025-02,Estonia,59,62,121
2025-03,Estonia,41,51,92
2025-04,Estonia,27,35,62
2025-05,Estonia,16,29,45
2025-06,Estonia,27,18,45
2025-07,Estonia,16,14,30
2025-08,Estonia,28,21,49
2025-09,Estonia,21,26,47
2025-10,Estonia,50,43,93
2025-11,Estonia,62,84,146
2025-12,Estonia,48,65,113
