Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Etiopía,0,2,2
2012-02,Etiopía,0,3,3
2012-03,Etiopía,2,7,9
2012-04,Etiopía,0,3,3
2012-05,Etiopía,2,0,2
2012-06,Etiopía,0,5,5
2012-07,Etiopía,3,3,6
2012-08,Etiopía,0,4,4
2012-09,Etiopía,3,4,7
2012-10,Etiopía,3,2,5
2012-11,Etiopía,2,3,5
2012-12,Etiopía,1,2,3
2013-01,Etiopía,2,1,3
2013-02,Etiopía,2,6,8
2013-03,Etiopía,2,3,5
2013-04,Etiopía,2,5,7
2013-05,Etiopía,1,4,5
2013-06,Etiopía,0,4,4
2013-07,Etiopía,3,0,3
2013-08,Etiopía,2,6,8
2013-09,Etiopía,3,7,10
2013-10,Etiopía,1,12,13
2013-11,Etiopía,0,3,3
2014-01,Etiopía,0,1,1
2014-02,Etiopía,0,4,4
2014-03,Etiopía,0,2,2
2014-04,Etiopía,6,23,29
2014-05,Etiopía,2,1,3
2014-06,Etiopía,1,0,1
2014-07,Etiopía,4,3,7
2014-08,Etiopía,4,6,10
2014-09,Etiopía,2,3,5
2014-10,Etiopía,1,6,7
2014-11,Etiopía,0,2,2
2014-12,Etiopía,3,1,4
2015-01,Etiopía,0,3,3
2015-02,Etiopía,2,5,7
2015-03,Etiopía,1,0,1
2015-04,Etiopía,1,2,3
2015-05,Etiopía,3,0,3
2015-06,Etiopía,2,5,7
2015-07,Etiopía,15,18,33
2015-08,Etiopía,1,1,2
2015-09,Etiopía,5,7,12
2015-10,Etiopía,0,1,1
2015-11,Etiopía,2,5,7
2016-01,Etiopía,0,2,2
2016-02,Etiopía,1,1,2
2016-03,Etiopía,1,5,6
2016-04,Etiopía,0,4,4
2016-05,Etiopía,0,5,5
2016-06,Etiopía,1,13,14
2016-07,Etiopía,3,3,6
2016-08,Etiopía,1,7,8
2016-09,Etiopía,0,2,2
2016-10,Etiopía,1,3,4
2016-11,Etiopía,2,6,8
2016-12,Etiopía,1,9,10
2017-01,Etiopía,1,5,6
2017-03,Etiopía,2,5,7
2017-04,Etiopía,0,9,9
2017-05,Etiopía,1,5,6
2017-06,Etiopía,3,7,10
2017-07,Etiopía,2,4,6
2017-08,Etiopía,2,3,5
2017-09,Etiopía,0,3,3
2017-10,Etiopía,1,4,5
2017-11,Etiopía,1,4,5
2017-12,Etiopía,2,0,2
2018-01,Etiopía,1,5,6
2018-02,Etiopía,2,6,8
2018-03,Etiopía,3,8,11
2018-04,Etiopía,0,6,6
2018-05,Etiopía,0,2,2
2018-06,Etiopía,3,17,20
2018-07,Etiopía,5,8,13
2018-08,Etiopía,3,13,16
2018-09,Etiopía,4,46,50
2018-10,Etiopía,2,43,45
2018-11,Etiopía,1,49,50
2018-12,Etiopía,4,30,34
2019-01,Etiopía,3,43,46
2019-02,Etiopía,5,36,41
2019-03,Etiopía,4,40,44
2019-04,Etiopía,2,53,55
2019-05,Etiopía,3,64,67
2019-06,Etiopía,2,53,55
2019-07,Etiopía,11,55,66
2019-08,Etiopía,3,62,65
2019-09,Etiopía,3,62,65
2019-10,Etiopía,2,62,64
2019-11,Etiopía,5,68,73
2019-12,Etiopía,7,55,62
2020-01,Etiopía,3,63,66
2020-02,Etiopía,6,64,70
2020-03,Etiopía,7,46,53
2020-04,Etiopía,3,15,18
2020-05,Etiopía,1,0,1
2020-06,Etiopía,0,7,7
2020-07,Etiopía,0,16,16
2020-08,Etiopía,2,11,13
2020-09,Etiopía,0,7,7
2020-11,Etiopía,1,0,1
2021-01,Etiopía,0,1,1
2021-02,Etiopía,1,1,2
2021-03,Etiopía,2,2,4
2021-04,Etiopía,0,15,15
2021-05,Etiopía,1,29,30
2021-06,Etiopía,3,19,22
2021-07,Etiopía,2,33,35
2021-08,Etiopía,2,29,31
2021-09,Etiopía,3,29,32
2021-10,Etiopía,2,26,28
2021-11,Etiopía,3,37,40
2021-12,Etiopía,1,39,40
2022-01,Etiopía,1,29,30
2022-02,Etiopía,2,38,40
2022-03,Etiopía,2,41,43
2022-04,Etiopía,2,29,31
2022-05,Etiopía,4,38,42
2022-06,Etiopía,3,25,28
2022-07,Etiopía,17,58,75
2022-08,Etiopía,2,33,35
2022-09,Etiopía,4,39,43
2022-10,Etiopía,11,68,79
2022-11,Etiopía,7,49,56
2022-12,Etiopía,4,41,45
2023-01,Etiopía,0,36,36
2023-02,Etiopía,3,42,45
2023-03,Etiopía,1,46,47
2023-04,Etiopía,2,34,36
2023-05,Etiopía,1,22,23
2023-06,Etiopía,4,42,46
2023-07,Etiopía,3,41,44
2023-08,Etiopía,5,42,47
2023-09,Etiopía,7,36,43
2023-10,Etiopía,2,42,44
2023-11,Etiopía,3,52,55
2023-12,Etiopía,5,51,56
2024-01,Etiopía,2,41,43
2024-02,Etiopía,0,33,33
2024-03,Etiopía,3,48,51
2024-04,Etiopía,3,36,39
2024-05,Etiopía,4,30,34
2024-06,Etiopía,3,47,50
2024-07,Etiopía,3,35,38
2024-08,Etiopía,5,46,51
2024-09,Etiopía,6,45,51
2024-10,Etiopía,7,44,51
2024-11,Etiopía,6,37,43
2024-12,Etiopía,5,44,49
2025-01,Etiopía,2,44,46
2025-02,Etiopía,3,49,52
2025-03,Etiopía,9,64,73
2025-04,Etiopía,7,54,61
2025-05,Etiopía,6,64,70
2025-06,Etiopía,3,75,78
2025-07,Etiopía,8,60,68
2025-08,Etiopía,7,46,53
2025-09,Etiopía,1,58,59
2025-10,Etiopía,16,67,83
2025-11,Etiopía,19,87,106
2025-12,Etiopía,2,38,40
