Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Filipinas,28,146,174
2012-02,Filipinas,21,216,237
2012-03,Filipinas,21,184,205
2012-04,Filipinas,16,127,143
2012-05,Filipinas,22,141,163
2012-06,Filipinas,23,152,175
2012-07,Filipinas,24,129,153
2012-08,Filipinas,23,165,188
2012-09,Filipinas,23,219,242
2012-10,Filipinas,23,193,216
2012-11,Filipinas,16,176,192
2012-12,Filipinas,11,163,174
2013-01,Filipinas,23,101,124
2013-02,Filipinas,23,98,121
2013-03,Filipinas,31,164,195
2013-04,Filipinas,25,103,128
2013-05,Filipinas,16,151,167
2013-06,Filipinas,20,176,196
2013-07,Filipinas,29,321,350
2013-08,Filipinas,19,214,233
2013-09,Filipinas,25,262,287
2013-10,Filipinas,27,262,289
2013-11,Filipinas,29,180,209
2013-12,Filipinas,25,161,186
2014-01,Filipinas,26,125,151
2014-02,Filipinas,25,172,197
2014-03,Filipinas,24,148,172
2014-04,Filipinas,33,202,235
2014-05,Filipinas,33,270,303
2014-06,Filipinas,37,194,231
2014-07,Filipinas,32,242,274
2014-08,Filipinas,54,201,255
2014-09,Filipinas,23,251,274
2014-10,Filipinas,20,216,236
2014-11,Filipinas,44,204,248
2014-12,Filipinas,28,208,236
2015-01,Filipinas,33,276,309
2015-02,Filipinas,18,235,253
2015-03,Filipinas,26,336,362
2015-04,Filipinas,35,183,218
2015-05,Filipinas,35,228,263
2015-06,Filipinas,42,239,281
2015-07,Filipinas,40,199,239
2015-08,Filipinas,50,264,314
2015-09,Filipinas,40,178,218
2015-10,Filipinas,31,277,308
2015-11,Filipinas,41,310,351
2015-12,Filipinas,52,273,325
2016-01,Filipinas,43,228,271
2016-02,Filipinas,128,344,472
2016-03,Filipinas,40,278,318
2016-04,Filipinas,42,339,381
2016-05,Filipinas,36,225,261
2016-06,Filipinas,38,243,281
2016-07,Filipinas,55,252,307
2016-08,Filipinas,53,261,314
2016-09,Filipinas,46,236,282
2016-10,Filipinas,58,261,319
2016-11,Filipinas,43,270,313
2016-12,Filipinas,43,291,334
2017-01,Filipinas,46,143,189
2017-02,Filipinas,52,319,371
2017-03,Filipinas,39,254,293
2017-04,Filipinas,43,362,405
2017-05,Filipinas,53,228,281
2017-06,Filipinas,69,287,356
2017-07,Filipinas,76,195,271
2017-08,Filipinas,59,315,374
2017-09,Filipinas,58,342,400
2017-10,Filipinas,73,243,316
2017-11,Filipinas,48,242,290
2017-12,Filipinas,62,208,270
2018-01,Filipinas,74,223,297
2018-02,Filipinas,57,230,287
2018-03,Filipinas,64,296,360
2018-04,Filipinas,75,267,342
2018-05,Filipinas,62,299,361
2018-06,Filipinas,62,215,277
2018-07,Filipinas,64,287,351
2018-08,Filipinas,72,218,290
2018-09,Filipinas,72,194,266
2018-10,Filipinas,71,244,315
2018-11,Filipinas,70,288,358
2018-12,Filipinas,70,172,242
2019-01,Filipinas,93,270,363
2019-02,Filipinas,69,291,360
2019-03,Filipinas,70,267,337
2019-04,Filipinas,55,278,333
2019-05,Filipinas,60,230,290
2019-06,Filipinas,84,244,328
2019-07,Filipinas,61,248,309
2019-08,Filipinas,64,184,248
2019-09,Filipinas,75,303,378
2019-10,Filipinas,61,258,319
2019-11,Filipinas,60,257,317
2019-12,Filipinas,60,232,292
2020-01,Filipinas,85,262,347
2020-02,Filipinas,65,202,267
2020-03,Filipinas,34,102,136
2020-04,Filipinas,0,2,2
2020-06,Filipinas,0,9,9
2020-07,Filipinas,0,2,2
2020-09,Filipinas,2,22,24
2020-10,Filipinas,4,56,60
2020-11,Filipinas,10,72,82
2020-12,Filipinas,31,91,122
2021-01,Filipinas,20,135,155
2021-02,Filipinas,25,165,190
2021-03,Filipinas,14,119,133
2021-04,Filipinas,23,130,153
2021-05,Filipinas,26,213,239
2021-06,Filipinas,25,123,148
2021-07,Filipinas,36,227,263
2021-08,Filipinas,34,376,410
2021-09,Filipinas,28,253,281
2021-10,Filipinas,37,286,323
2021-11,Filipinas,42,244,286
2021-12,Filipinas,58,165,224
2022-01,Filipinas,47,137,184
2022-02,Filipinas,44,262,306
2022-03,Filipinas,67,363,430
2022-04,Filipinas,70,703,773
2022-05,Filipinas,59,561,620
2022-06,Filipinas,53,423,476
2022-07,Filipinas,77,581,658
2022-08,Filipinas,77,467,544
2022-09,Filipinas,62,611,673
2022-10,Filipinas,110,737,847
2022-11,Filipinas,70,832,902
2022-12,Filipinas,108,1099,1207
2023-01,Filipinas,123,755,878
2023-02,Filipinas,61,1123,1184
2023-03,Filipinas,85,1070,1155
2023-04,Filipinas,90,1080,1170
2023-05,Filipinas,64,1083,1147
2023-06,Filipinas,67,1009,1076
2023-07,Filipinas,103,997,1100
2023-08,Filipinas,86,989,1075
2023-09,Filipinas,88,1254,1342
2023-10,Filipinas,89,1140,1229
2023-11,Filipinas,119,848,967
2023-12,Filipinas,97,964,1061
2024-01,Filipinas,121,833,954
2024-02,Filipinas,83,1037,1120
2024-03,Filipinas,86,1276,1362
2024-04,Filipinas,125,891,1016
2024-05,Filipinas,84,1106,1190
2024-06,Filipinas,108,961,1069
2024-07,Filipinas,138,1021,1159
2024-08,Filipinas,103,1237,1340
2024-09,Filipinas,112,1424,1536
2024-10,Filipinas,165,1376,1541
2024-11,Filipinas,110,1213,1323
2024-12,Filipinas,99,1112,1211
2025-01,Filipinas,170,1225,1395
2025-02,Filipinas,117,1108,1225
2025-03,Filipinas,128,1156,1284
2025-04,Filipinas,101,1195,1296
2025-05,Filipinas,98,1225,1323
2025-06,Filipinas,115,1256,1371
2025-07,Filipinas,103,938,1041
2025-08,Filipinas,112,911,1023
2025-09,Filipinas,115,1108,1223
2025-10,Filipinas,124,1352,1476
2025-11,Filipinas,144,1371,1515
2025-12,Filipinas,104,1174,1278
