Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Finlandia,270,289,559
2012-02,Finlandia,229,252,481
2012-03,Finlandia,149,161,310
2012-04,Finlandia,41,78,119
2012-05,Finlandia,50,70,120
2012-06,Finlandia,47,69,116
2012-07,Finlandia,40,62,102
2012-08,Finlandia,39,60,99
2012-09,Finlandia,32,70,102
2012-10,Finlandia,51,97,148
2012-11,Finlandia,37,92,129
2012-12,Finlandia,67,109,176
2013-01,Finlandia,68,98,166
2013-02,Finlandia,52,105,157
2013-03,Finlandia,47,75,122
2013-04,Finlandia,41,102,143
2013-05,Finlandia,50,108,158
2013-06,Finlandia,44,48,92
2013-07,Finlandia,58,66,124
2013-08,Finlandia,32,67,99
2013-09,Finlandia,28,65,93
2013-10,Finlandia,36,71,107
2013-11,Finlandia,59,77,136
2013-12,Finlandia,75,114,189
2014-01,Finlandia,68,101,169
2014-02,Finlandia,76,116,192
2014-03,Finlandia,47,103,150
2014-04,Finlandia,53,104,157
2014-05,Finlandia,41,86,127
2014-06,Finlandia,39,96,135
2014-07,Finlandia,52,57,109
2014-08,Finlandia,48,77,125
2014-09,Finlandia,33,76,109
2014-10,Finlandia,51,99,150
2014-11,Finlandia,66,124,190
2014-12,Finlandia,103,117,220
2015-01,Finlandia,88,111,199
2015-02,Finlandia,81,118,199
2015-03,Finlandia,70,129,199
2015-04,Finlandia,50,85,135
2015-05,Finlandia,49,98,147
2015-06,Finlandia,63,78,141
2015-07,Finlandia,74,59,133
2015-08,Finlandia,44,50,94
2015-09,Finlandia,32,83,115
2015-10,Finlandia,53,99,152
2015-11,Finlandia,87,121,208
2015-12,Finlandia,114,164,278
2016-01,Finlandia,80,115,195
2016-02,Finlandia,65,93,158
2016-03,Finlandia,78,129,207
2016-04,Finlandia,60,91,151
2016-05,Finlandia,54,68,122
2016-06,Finlandia,48,85,133
2016-07,Finlandia,56,64,120
2016-08,Finlandia,44,68,112
2016-09,Finlandia,45,57,102
2016-10,Finlandia,60,94,154
2016-11,Finlandia,70,105,175
2016-12,Finlandia,118,167,285
2017-01,Finlandia,99,129,228
2017-02,Finlandia,93,129,222
2017-03,Finlandia,65,112,177
2017-04,Finlandia,57,88,145
2017-05,Finlandia,59,80,139
2017-06,Finlandia,69,77,146
2017-07,Finlandia,66,88,154
2017-08,Finlandia,66,79,145
2017-09,Finlandia,39,59,98
2017-10,Finlandia,63,102,165
2017-11,Finlandia,78,116,194
2017-12,Finlandia,130,163,293
2018-01,Finlandia,116,107,223
2018-02,Finlandia,106,129,235
2018-03,Finlandia,84,104,188
2018-04,Finlandia,60,98,158
2018-05,Finlandia,69,81,150
2018-06,Finlandia,71,70,141
2018-07,Finlandia,64,61,125
2018-08,Finlandia,51,67,118
2018-09,Finlandia,49,81,130
2018-10,Finlandia,66,103,169
2018-11,Finlandia,90,112,202
2018-12,Finlandia,132,183,315
2019-01,Finlandia,110,151,261
2019-02,Finlandia,132,155,287
2019-03,Finlandia,96,114,210
2019-04,Finlandia,52,86,138
2019-05,Finlandia,48,70,118
2019-06,Finlandia,69,82,151
2019-07,Finlandia,62,85,147
2019-08,Finlandia,41,74,115
2019-09,Finlandia,58,82,140
2019-10,Finlandia,75,109,184
2019-11,Finlandia,75,126,201
2019-12,Finlandia,121,135,256
2020-01,Finlandia,83,133,216
2020-02,Finlandia,104,144,248
2020-03,Finlandia,22,62,84
2020-08,Finlandia,0,1,1
2020-09,Finlandia,4,4,8
2020-10,Finlandia,9,9,18
2020-11,Finlandia,4,11,15
2020-12,Finlandia,4,21,25
2021-01,Finlandia,6,24,30
2021-02,Finlandia,3,15,18
2021-03,Finlandia,7,20,27
2021-04,Finlandia,12,8,20
2021-05,Finlandia,12,15,27
2021-06,Finlandia,9,15,24
2021-07,Finlandia,8,19,27
2021-08,Finlandia,20,23,43
2021-09,Finlandia,14,34,48
2021-10,Finlandia,19,39,58
2021-11,Finlandia,14,49,63
2021-12,Finlandia,65,88,153
2022-01,Finlandia,48,111,159
2022-02,Finlandia,47,66,113
2022-03,Finlandia,51,83,134
2022-04,Finlandia,42,78,120
2022-05,Finlandia,43,58,101
2022-06,Finlandia,77,82,159
2022-07,Finlandia,84,99,183
2022-08,Finlandia,40,53,93
2022-09,Finlandia,39,70,109
2022-10,Finlandia,53,103,156
2022-11,Finlandia,79,100,179
2022-12,Finlandia,113,132,245
2023-01,Finlandia,94,168,262
2023-02,Finlandia,94,111,205
2023-03,Finlandia,75,110,185
2023-04,Finlandia,65,84,149
2023-05,Finlandia,52,70,122
2023-06,Finlandia,60,78,138
2023-07,Finlandia,65,58,123
2023-08,Finlandia,36,56,92
2023-09,Finlandia,46,72,118
2023-10,Finlandia,58,95,153
2023-11,Finlandia,83,123,206
2023-12,Finlandia,114,154,268
2024-01,Finlandia,117,154,271
2024-02,Finlandia,103,124,227
2024-03,Finlandia,81,108,189
2024-04,Finlandia,51,79,130
2024-05,Finlandia,68,94,162
2024-06,Finlandia,72,69,141
2024-07,Finlandia,47,61,108
2024-08,Finlandia,51,68,119
2024-09,Finlandia,52,79,131
2024-10,Finlandia,106,98,204
2024-11,Finlandia,86,128,214
2024-12,Finlandia,114,176,290
2025-01,Finlandia,101,149,250
2025-02,Finlandia,120,153,273
2025-03,Finlandia,49,99,148
2025-04,Finlandia,51,97,148
2025-05,Finlandia,50,86,136
2025-06,Finlandia,83,98,181
2025-07,Finlandia,66,88,154
2025-08,Finlandia,41,59,100
2025-09,Finlandia,53,75,128
2025-10,Finlandia,56,83,139
2025-11,Finlandia,67,129,196
2025-12,Finlandia,154,154,308
