Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Francia,185,360,545
2012-02,Francia,163,341,504
2012-03,Francia,972,337,485
2012-04,Francia,1027,336,515
2012-05,Francia,792,310,455
2012-06,Francia,1063,283,446
2012-07,Francia,251,429,680
2012-08,Francia,197,338,535
2012-09,Francia,779,275,391
2012-10,Francia,1044,289,436
2012-11,Francia,1043,343,493
2012-12,Francia,176,344,520
2013-01,Francia,207,366,574
2013-02,Francia,1158,362,567
2013-03,Francia,1104,379,614
2013-04,Francia,925,277,410
2013-05,Francia,878,314,463
2013-06,Francia,1032,275,444
2013-07,Francia,307,558,866
2013-08,Francia,221,454,675
2013-09,Francia,812,293,419
2013-10,Francia,1005,334,491
2013-11,Francia,969,328,481
2013-12,Francia,233,427,660
2014-01,Francia,372,516,888
2014-02,Francia,240,465,705
2014-03,Francia,205,401,606
2014-04,Francia,268,408,676
2014-05,Francia,1028,378,574
2014-06,Francia,201,321,522
2014-07,Francia,299,490,790
2014-08,Francia,247,476,724
2014-09,Francia,934,328,486
2014-10,Francia,169,347,516
2014-11,Francia,309,487,796
2014-12,Francia,288,538,826
2015-01,Francia,344,607,951
2015-02,Francia,294,541,835
2015-03,Francia,262,522,785
2015-04,Francia,297,462,760
2015-05,Francia,1248,436,696
2015-06,Francia,246,450,696
2015-07,Francia,526,763,1289
2015-08,Francia,390,625,1016
2015-09,Francia,1158,386,587
2015-10,Francia,258,557,815
2015-11,Francia,327,547,874
2015-12,Francia,492,771,1264
2016-01,Francia,487,782,1269
2016-02,Francia,511,790,1302
2016-03,Francia,329,592,921
2016-04,Francia,346,612,958
2016-05,Francia,360,628,989
2016-06,Francia,355,547,903
2016-07,Francia,601,857,1458
2016-08,Francia,436,731,1168
2016-09,Francia,236,415,652
2016-10,Francia,265,544,809
2016-11,Francia,310,540,850
2016-12,Francia,475,826,1301
2017-01,Francia,492,905,1397
2017-02,Francia,533,810,1343
2017-03,Francia,495,761,1257
2017-04,Francia,482,714,1197
2017-05,Francia,351,566,917
2017-06,Francia,412,631,1043
2017-07,Francia,745,1024,1769
2017-08,Francia,585,936,1522
2017-09,Francia,364,616,980
2017-10,Francia,334,661,996
2017-11,Francia,395,702,1098
2017-12,Francia,677,1042,1719
2018-01,Francia,722,1145,1868
2018-02,Francia,729,989,1718
2018-03,Francia,622,980,1603
2018-04,Francia,518,813,1332
2018-05,Francia,490,705,1195
2018-06,Francia,490,734,1224
2018-07,Francia,918,1238,2156
2018-08,Francia,704,1016,1721
2018-09,Francia,398,753,1151
2018-10,Francia,335,666,1003
2018-11,Francia,531,981,1513
2018-12,Francia,689,1157,1847
2019-01,Francia,839,1249,2089
2019-02,Francia,905,1373,2279
2019-03,Francia,750,1202,1953
2019-04,Francia,724,994,1718
2019-05,Francia,695,985,1680
2019-06,Francia,683,1350,2033
2019-07,Francia,915,1243,2161
2019-08,Francia,849,1264,2114
2019-09,Francia,423,772,1196
2019-10,Francia,482,781,1264
2019-11,Francia,544,881,1425
2019-12,Francia,748,1230,1980
2020-01,Francia,871,1304,2175
2020-02,Francia,979,1500,1435
2020-03,Francia,374,530,904
2020-04,Francia,7,12,19
2020-05,Francia,8,12,20
2020-06,Francia,18,32,50
2020-07,Francia,45,81,126
2020-08,Francia,75,105,180
2020-09,Francia,129,179,308
2020-10,Francia,147,390,537
2020-11,Francia,217,575,792
2020-12,Francia,604,303,416
2021-01,Francia,747,316,458
2021-02,Francia,364,712,1076
2021-03,Francia,411,959,273
2021-04,Francia,466,816,226
2021-05,Francia,381,745,1126
2021-06,Francia,444,952,243
2021-07,Francia,1066,316,468
2021-08,Francia,166,347,513
2021-09,Francia,730,252,359
2021-10,Francia,1080,361,554
2021-11,Francia,195,436,631
2021-12,Francia,441,785,1227
2022-01,Francia,431,751,1183
2022-02,Francia,500,797,1298
2022-03,Francia,443,767,1211
2022-04,Francia,500,699,1200
2022-05,Francia,347,750,1097
2022-06,Francia,396,549,945
2022-07,Francia,679,947,1628
2022-08,Francia,587,914,1502
2022-09,Francia,332,539,871
2022-10,Francia,355,585,941
2022-11,Francia,486,767,1254
2022-12,Francia,837,1214,2051
2023-01,Francia,789,1245,2036
2023-02,Francia,836,1181,2017
2023-03,Francia,659,1070,1729
2023-04,Francia,577,832,1409
2023-05,Francia,482,727,1210
2023-06,Francia,578,891,1470
2023-07,Francia,830,1151,1983
2023-08,Francia,759,1073,1833
2023-09,Francia,386,625,1011
2023-10,Francia,403,714,1119
2023-11,Francia,670,1075,1745
2023-12,Francia,808,1291,2100
2024-01,Francia,902,1337,2239
2024-02,Francia,865,1350,2216
2024-03,Francia,675,1120,1795
2024-04,Francia,667,967,1634
2024-05,Francia,591,949,1540
2024-06,Francia,686,1427,2113
2024-07,Francia,725,1013,1739
2024-08,Francia,666,1047,1713
2024-09,Francia,356,728,1085
2024-10,Francia,467,765,1232
2024-11,Francia,535,902,1438
2024-12,Francia,782,1237,2020
2025-01,Francia,850,1317,2168
2025-02,Francia,720,1165,1885
2025-03,Francia,632,1071,1704
2025-04,Francia,730,1661,2392
2025-05,Francia,505,878,1384
2025-06,Francia,535,821,1357
2025-07,Francia,902,1163,1065
2025-08,Francia,705,1134,1839
2025-09,Francia,355,644,999
2025-10,Francia,375,688,1063
2025-11,Francia,468,890,1359
2025-12,Francia,765,1304,2070
