Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Gabón,0,1,1
2012-02,Gabón,0,1,1
2012-05,Gabón,0,1,1
2012-06,Gabón,1,2,3
2012-07,Gabón,1,0,1
2012-10,Gabón,1,2,3
2012-11,Gabón,0,2,2
2012-12,Gabón,0,1,1
2013-01,Gabón,1,1,2
2013-02,Gabón,2,2,4
2013-03,Gabón,1,1,2
2013-04,Gabón,0,2,2
2013-08,Gabón,2,2,4
2013-09,Gabón,1,4,5
2013-10,Gabón,0,3,3
2013-12,Gabón,0,1,1
2014-02,Gabón,0,1,1
2014-04,Gabón,0,1,1
2014-11,Gabón,1,0,1
2015-06,Gabón,0,1,1
2015-07,Gabón,0,1,1
2015-08,Gabón,0,1,1
2016-02,Gabón,0,1,1
2016-04,Gabón,0,2,2
2016-07,Gabón,0,2,2
2016-10,Gabón,2,2,4
2017-07,Gabón,2,1,3
2017-08,Gabón,1,0,1
2017-09,Gabón,0,1,1
2017-10,Gabón,0,3,3
2017-12,Gabón,0,1,1
2018-04,Gabón,0,1,1
2018-05,Gabón,1,0,1
2018-06,Gabón,1,1,2
2018-10,Gabón,0,1,1
2018-11,Gabón,1,0,1
2019-02,Gabón,1,0,1
2019-07,Gabón,0,2,2
2019-09,Gabón,0,2,2
2019-10,Gabón,1,0,1
2020-02,Gabón,0,1,1
2021-12,Gabón,0,1,1
2022-03,Gabón,0,1,1
2022-04,Gabón,0,1,1
2022-07,Gabón,0,1,1
2023-02,Gabón,1,0,1
2023-04,Gabón,0,1,1
2023-05,Gabón,1,0,1
2024-01,Gabón,0,1,1
2024-03,Gabón,0,1,1
2024-04,Gabón,2,0,2
2024-05,Gabón,1,1,2
2024-06,Gabón,0,2,2
2024-10,Gabón,3,14,17
2024-11,Gabón,2,0,2
2024-12,Gabón,1,0,1
2025-02,Gabón,0,1,1
2025-07,Gabón,0,1,1
2025-11,Gabón,0,1,1
2025-12,Gabón,0,1,1
