Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Gambia,0,1,1
2012-08,Gambia,0,1,1
2012-12,Gambia,0,1,1
2013-02,Gambia,0,2,2
2013-04,Gambia,1,0,1
2014-04,Gambia,1,13,14
2015-09,Gambia,0,1,1
2015-10,Gambia,1,0,1
2016-03,Gambia,1,0,1
2016-08,Gambia,0,1,1
2017-01,Gambia,1,0,1
2017-09,Gambia,1,0,1
2017-10,Gambia,0,1,1
2018-07,Gambia,0,1,1
2018-09,Gambia,0,1,1
2018-11,Gambia,0,1,1
2019-04,Gambia,1,0,1
2019-05,Gambia,0,1,1
2019-06,Gambia,0,1,1
2019-09,Gambia,1,0,1
2019-11,Gambia,0,1,1
2019-12,Gambia,0,1,1
2020-01,Gambia,1,1,2
2020-02,Gambia,0,1,1
2021-07,Gambia,0,2,2
2021-09,Gambia,0,2,2
2021-10,Gambia,0,1,1
2021-11,Gambia,0,1,1
2021-12,Gambia,1,1,2
2022-01,Gambia,0,1,1
2022-03,Gambia,1,1,2
2022-09,Gambia,0,1,1
2022-11,Gambia,1,0,1
2023-03,Gambia,0,1,1
2023-05,Gambia,1,0,1
2023-06,Gambia,0,2,2
2023-09,Gambia,1,2,3
2023-11,Gambia,0,1,1
2024-10,Gambia,0,3,3
2024-11,Gambia,1,0,1
2025-01,Gambia,0,1,1
2025-03,Gambia,1,2,3
2025-04,Gambia,0,1,1
2025-11,Gambia,1,1,2
