Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Grecia,13,97,110
2012-02,Grecia,33,80,113
2012-03,Grecia,23,71,94
2012-04,Grecia,8,51,59
2012-05,Grecia,13,49,62
2012-06,Grecia,18,54,72
2012-07,Grecia,27,55,82
2012-08,Grecia,21,50,71
2012-09,Grecia,15,55,70
2012-10,Grecia,14,69,83
2012-11,Grecia,31,78,109
2012-12,Grecia,32,73,105
2013-01,Grecia,9,63,72
2013-02,Grecia,30,73,103
2013-03,Grecia,27,67,94
2013-04,Grecia,18,61,79
2013-05,Grecia,20,66,86
2013-06,Grecia,16,65,81
2013-07,Grecia,14,80,94
2013-08,Grecia,34,61,95
2013-09,Grecia,26,70,96
2013-10,Grecia,22,71,93
2013-11,Grecia,14,75,89
2013-12,Grecia,38,84,122
2014-01,Grecia,22,91,113
2014-02,Grecia,25,94,119
2014-03,Grecia,23,86,109
2014-04,Grecia,26,90,116
2014-05,Grecia,20,72,92
2014-06,Grecia,17,61,78
2014-07,Grecia,33,100,133
2014-08,Grecia,35,76,111
2014-09,Grecia,26,67,93
2014-10,Grecia,22,70,92
2014-11,Grecia,14,65,79
2014-12,Grecia,35,82,117
2015-01,Grecia,21,86,107
2015-02,Grecia,41,88,129
2015-03,Grecia,25,81,106
2015-04,Grecia,26,81,107
2015-05,Grecia,17,69,86
2015-06,Grecia,20,72,92
2015-07,Grecia,56,92,148
2015-08,Grecia,45,79,124
2015-09,Grecia,23,66,89
2015-10,Grecia,25,81,106
2015-11,Grecia,18,92,110
2015-12,Grecia,53,111,164
2016-01,Grecia,41,112,153
2016-02,Grecia,30,115,145
2016-03,Grecia,40,114,154
2016-04,Grecia,21,56,77
2016-05,Grecia,34,72,106
2016-06,Grecia,25,83,108
2016-07,Grecia,42,76,118
2016-08,Grecia,47,81,128
2016-09,Grecia,27,94,121
2016-10,Grecia,42,92,134
2016-11,Grecia,28,103,131
2016-12,Grecia,56,139,195
2017-01,Grecia,33,102,135
2017-02,Grecia,39,92,131
2017-03,Grecia,36,114,150
2017-04,Grecia,56,114,170
2017-05,Grecia,15,75,90
2017-06,Grecia,31,76,107
2017-07,Grecia,51,83,134
2017-08,Grecia,31,87,118
2017-09,Grecia,33,101,134
2017-10,Grecia,42,100,142
2017-11,Grecia,42,97,139
2017-12,Grecia,54,119,173
2018-01,Grecia,40,90,130
2018-02,Grecia,47,121,168
2018-03,Grecia,52,135,187
2018-04,Grecia,41,108,149
2018-05,Grecia,28,98,126
2018-06,Grecia,28,81,109
2018-07,Grecia,39,88,127
2018-08,Grecia,99,131,230
2018-09,Grecia,34,94,128
2018-10,Grecia,44,120,164
2018-11,Grecia,45,139,184
2018-12,Grecia,82,133,215
2019-01,Grecia,40,121,161
2019-02,Grecia,53,132,185
2019-03,Grecia,43,128,171
2019-04,Grecia,56,101,157
2019-05,Grecia,38,86,124
2019-06,Grecia,27,102,129
2019-07,Grecia,61,121,182
2019-08,Grecia,61,117,178
2019-09,Grecia,34,111,146
2019-10,Grecia,33,118,151
2019-11,Grecia,67,156,223
2019-12,Grecia,113,177,290
2020-01,Grecia,43,166,209
2020-02,Grecia,93,193,286
2020-03,Grecia,29,55,84
2020-05,Grecia,0,2,2
2020-07,Grecia,1,1,2
2020-09,Grecia,2,0,2
2020-10,Grecia,4,12,16
2020-11,Grecia,12,20,32
2020-12,Grecia,17,24,41
2021-01,Grecia,9,26,35
2021-02,Grecia,3,26,29
2021-03,Grecia,9,25,34
2021-04,Grecia,11,35,46
2021-05,Grecia,4,31,35
2021-06,Grecia,14,25,39
2021-07,Grecia,25,55,80
2021-08,Grecia,21,65,86
2021-09,Grecia,22,39,61
2021-10,Grecia,23,53,76
2021-11,Grecia,21,81,102
2021-12,Grecia,69,130,199
2022-01,Grecia,37,114,151
2022-02,Grecia,38,110,148
2022-03,Grecia,77,152,229
2022-04,Grecia,71,166,237
2022-05,Grecia,38,86,124
2022-06,Grecia,34,79,113
2022-07,Grecia,65,134,199
2022-08,Grecia,110,130,240
2022-09,Grecia,32,72,104
2022-10,Grecia,39,101,140
2022-11,Grecia,57,157,214
2022-12,Grecia,121,211,332
2023-01,Grecia,74,168,242
2023-02,Grecia,124,225,349
2023-03,Grecia,87,159,246
2023-04,Grecia,100,163,263
2023-05,Grecia,61,122,183
2023-06,Grecia,45,144,189
2023-07,Grecia,81,124,205
2023-08,Grecia,116,140,256
2023-09,Grecia,32,116,148
2023-10,Grecia,54,168,222
2023-11,Grecia,71,177,248
2023-12,Grecia,127,269,396
2024-01,Grecia,112,237,349
2024-02,Grecia,109,233,342
2024-03,Grecia,96,246,342
2024-04,Grecia,69,144,213
2024-05,Grecia,59,135,194
2024-06,Grecia,61,151,212
2024-07,Grecia,71,133,204
2024-08,Grecia,133,199,332
2024-09,Grecia,49,129,178
2024-10,Grecia,41,135,176
2024-11,Grecia,94,207,301
2024-12,Grecia,154,274,428
2025-01,Grecia,102,243,345
2025-02,Grecia,115,245,360
2025-03,Grecia,90,226,316
2025-04,Grecia,83,157,240
2025-05,Grecia,54,146,200
2025-06,Grecia,74,144,218
2025-07,Grecia,57,131,188
2025-08,Grecia,186,262,448
2025-09,Grecia,46,141,187
2025-10,Grecia,59,134,193
2025-11,Grecia,88,234,322
2025-12,Grecia,190,290,480
