Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Guatemala,209,405,614
2012-02,Guatemala,177,523,700
2012-03,Guatemala,270,591,861
2012-04,Guatemala,232,520,752
2012-05,Guatemala,233,524,757
2012-06,Guatemala,337,686,1023
2012-07,Guatemala,246,551,797
2012-08,Guatemala,281,613,894
2012-09,Guatemala,338,893,1231
2012-10,Guatemala,309,630,939
2012-11,Guatemala,329,720,1049
2012-12,Guatemala,310,538,848
2013-01,Guatemala,251,534,785
2013-02,Guatemala,353,728,1081
2013-03,Guatemala,268,627,895
2013-04,Guatemala,255,657,912
2013-05,Guatemala,271,700,971
2013-06,Guatemala,369,807,1176
2013-07,Guatemala,356,808,1164
2013-08,Guatemala,306,720,1026
2013-09,Guatemala,326,734,1060
2013-10,Guatemala,337,713,1050
2013-11,Guatemala,491,921,384
2013-12,Guatemala,439,780,1219
2014-01,Guatemala,320,663,983
2014-02,Guatemala,341,715,1056
2014-03,Guatemala,331,766,1097
2014-04,Guatemala,439,847,1286
2014-05,Guatemala,364,733,1097
2014-06,Guatemala,448,828,1276
2014-07,Guatemala,332,790,1122
2014-08,Guatemala,391,998,1389
2014-09,Guatemala,355,789,1144
2014-10,Guatemala,389,975,1364
2014-11,Guatemala,425,869,1294
2014-12,Guatemala,457,706,1163
2015-01,Guatemala,323,757,1080
2015-02,Guatemala,411,893,1304
2015-03,Guatemala,476,985,1461
2015-04,Guatemala,365,839,1204
2015-05,Guatemala,441,949,1390
2015-06,Guatemala,532,987,506
2015-07,Guatemala,539,1097,566
2015-08,Guatemala,534,1060,468
2015-09,Guatemala,593,1274,613
2015-10,Guatemala,668,1217,573
2015-11,Guatemala,806,1377,646
2015-12,Guatemala,921,1174,798
2016-01,Guatemala,521,889,1410
2016-02,Guatemala,484,992,427
2016-03,Guatemala,870,1191,772
2016-04,Guatemala,499,1003,1502
2016-05,Guatemala,551,1189,678
2016-06,Guatemala,697,1181,746
2016-07,Guatemala,558,1114,636
2016-08,Guatemala,760,1455,861
2016-09,Guatemala,810,1389,899
2016-10,Guatemala,877,1380,859
2016-11,Guatemala,1019,1432,823
2016-12,Guatemala,1024,1311,1044
2017-01,Guatemala,523,1000,1523
2017-02,Guatemala,597,1105,613
2017-03,Guatemala,630,1220,665
2017-04,Guatemala,803,1273,883
2017-05,Guatemala,762,1266,738
2017-06,Guatemala,673,1035,634
2017-07,Guatemala,569,1079,541
2017-08,Guatemala,594,1156,597
2017-09,Guatemala,772,1129,735
2017-10,Guatemala,735,1176,806
2017-11,Guatemala,951,1461,915
2017-12,Guatemala,1141,1345,1062
2018-01,Guatemala,615,973,1588
2018-02,Guatemala,968,1353,714
2018-03,Guatemala,798,1241,848
2018-04,Guatemala,603,1204,658
2018-05,Guatemala,590,1096,538
2018-06,Guatemala,857,1184,750
2018-07,Guatemala,835,433,698
2018-08,Guatemala,667,1184,672
2018-09,Guatemala,745,1426,799
2018-10,Guatemala,726,1379,740
2018-11,Guatemala,1048,1492,926
2018-12,Guatemala,1079,1256,866
2019-01,Guatemala,624,1026,534
2019-02,Guatemala,661,1107,547
2019-03,Guatemala,722,1130,713
2019-04,Guatemala,940,1225,792
2019-05,Guatemala,612,1138,595
2019-06,Guatemala,837,1180,564
2019-07,Guatemala,741,1230,512
2019-08,Guatemala,734,1236,635
2019-09,Guatemala,865,1375,806
2019-10,Guatemala,1044,499,877
2019-11,Guatemala,1179,416,830
2019-12,Guatemala,1176,341,656
2020-01,Guatemala,675,1082,468
2020-02,Guatemala,606,1061,476
2020-03,Guatemala,282,491,773
2020-05,Guatemala,2,0,2
2020-06,Guatemala,4,3,7
2020-07,Guatemala,2,2,4
2020-08,Guatemala,1,8,9
2020-09,Guatemala,3,23,26
2020-10,Guatemala,48,95,143
2020-11,Guatemala,148,227,375
2020-12,Guatemala,213,367,580
2021-01,Guatemala,185,257,443
2021-02,Guatemala,121,207,329
2021-03,Guatemala,216,354,570
2021-04,Guatemala,168,292,460
2021-05,Guatemala,170,240,410
2021-06,Guatemala,243,299,542
2021-07,Guatemala,235,396,631
