Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Guayana Francesa,0,1,1
2012-04,Guayana Francesa,0,1,1
2012-05,Guayana Francesa,0,3,3
2012-07,Guayana Francesa,0,1,1
2012-08,Guayana Francesa,0,1,1
2012-10,Guayana Francesa,0,1,1
2012-11,Guayana Francesa,0,1,1
2013-01,Guayana Francesa,0,1,1
2013-03,Guayana Francesa,0,1,1
2013-06,Guayana Francesa,0,1,1
2013-08,Guayana Francesa,0,1,1
2014-02,Guayana Francesa,1,0,1
2015-01,Guayana Francesa,0,1,1
2019-04,Guayana Francesa,0,2,2
2022-04,Guayana Francesa,0,1,1
2023-12,Guayana Francesa,0,1,1
2025-05,Guayana Francesa,0,2,2
