Fecha,Nacionalidad,Femenino,Masculino,Total
2012-03,Guinea-Bissau,0,1,1
2012-12,Guinea-Bissau,0,2,2
2013-01,Guinea-Bissau,0,1,1
2013-07,Guinea-Bissau,0,1,1
2013-08,Guinea-Bissau,0,1,1
2013-10,Guinea-Bissau,0,2,2
2013-11,Guinea-Bissau,0,1,1
2014-02,Guinea-Bissau,0,1,1
2014-03,Guinea-Bissau,1,3,4
2014-09,Guinea-Bissau,0,2,2
2015-05,Guinea-Bissau,0,1,1
2015-07,Guinea-Bissau,0,2,2
2015-11,Guinea-Bissau,0,1,1
2016-05,Guinea-Bissau,1,1,2
2016-09,Guinea-Bissau,2,0,2
2017-04,Guinea-Bissau,1,2,3
2017-08,Guinea-Bissau,0,2,2
2017-10,Guinea-Bissau,0,2,2
2017-11,Guinea-Bissau,1,1,2
2018-03,Guinea-Bissau,0,2,2
2018-08,Guinea-Bissau,1,0,1
2018-09,Guinea-Bissau,2,0,2
2019-03,Guinea-Bissau,2,0,2
2019-06,Guinea-Bissau,1,0,1
2019-10,Guinea-Bissau,1,0,1
2019-11,Guinea-Bissau,1,0,1
2019-12,Guinea-Bissau,3,1,4
2020-10,Guinea-Bissau,1,0,1
2021-12,Guinea-Bissau,0,1,1
2022-01,Guinea-Bissau,0,1,1
2022-02,Guinea-Bissau,1,0,1
2022-03,Guinea-Bissau,1,0,1
2022-04,Guinea-Bissau,0,2,2
2022-09,Guinea-Bissau,0,1,1
2022-10,Guinea-Bissau,0,1,1
2022-11,Guinea-Bissau,0,1,1
2022-12,Guinea-Bissau,0,2,2
2023-11,Guinea-Bissau,1,1,2
2023-12,Guinea-Bissau,1,0,1
2024-01,Guinea-Bissau,0,2,2
2024-03,Guinea-Bissau,0,1,1
2024-07,Guinea-Bissau,1,0,1
2024-10,Guinea-Bissau,3,18,21
2024-11,Guinea-Bissau,2,3,5
2025-03,Guinea-Bissau,1,0,1
2025-08,Guinea-Bissau,0,2,2
2025-09,Guinea-Bissau,0,1,1
