Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Guinea,1,0,1
2012-04,Guinea,1,1,2
2012-05,Guinea,0,1,1
2012-06,Guinea,0,1,1
2013-03,Guinea,0,1,1
2013-07,Guinea,0,1,1
2013-08,Guinea,0,1,1
2013-10,Guinea,0,4,4
2013-11,Guinea,0,1,1
2014-02,Guinea,0,2,2
2014-03,Guinea,0,1,1
2014-05,Guinea,0,2,2
2014-06,Guinea,1,1,2
2014-07,Guinea,0,1,1
2014-08,Guinea,1,1,2
2014-10,Guinea,1,2,3
2014-12,Guinea,1,0,1
2015-03,Guinea,0,1,1
2015-04,Guinea,1,0,1
2015-05,Guinea,0,1,1
2015-06,Guinea,0,2,2
2015-08,Guinea,0,1,1
2015-09,Guinea,0,2,2
2015-10,Guinea,1,2,3
2015-11,Guinea,0,1,1
2015-12,Guinea,0,1,1
2016-03,Guinea,1,0,1
2016-04,Guinea,0,1,1
2016-07,Guinea,1,0,1
2016-08,Guinea,0,1,1
2016-11,Guinea,0,1,1
2017-01,Guinea,0,1,1
2017-02,Guinea,0,3,3
2017-05,Guinea,0,1,1
2017-06,Guinea,1,7,8
2017-07,Guinea,1,0,1
2017-10,Guinea,0,2,2
2017-11,Guinea,0,3,3
2018-03,Guinea,0,1,1
2018-07,Guinea,0,1,1
2018-12,Guinea,1,0,1
2019-03,Guinea,0,1,1
2019-04,Guinea,0,1,1
2019-05,Guinea,0,2,2
2019-06,Guinea,0,1,1
2019-07,Guinea,0,3,3
2019-12,Guinea,0,2,2
2020-02,Guinea,0,2,2
2020-11,Guinea,1,0,1
2021-03,Guinea,0,1,1
2021-09,Guinea,0,2,2
2021-11,Guinea,0,1,1
2021-12,Guinea,0,1,1
2022-01,Guinea,0,1,1
2022-03,Guinea,0,1,1
2022-04,Guinea,0,1,1
2022-06,Guinea,1,0,1
2022-09,Guinea,0,1,1
2022-10,Guinea,1,0,1
2022-11,Guinea,2,0,2
2023-02,Guinea,0,1,1
2023-03,Guinea,0,2,2
2023-04,Guinea,0,2,2
2023-06,Guinea,0,1,1
2023-07,Guinea,1,0,1
2023-10,Guinea,3,0,3
2023-11,Guinea,0,1,1
2023-12,Guinea,3,4,7
2024-01,Guinea,0,1,1
2024-02,Guinea,0,1,1
2024-05,Guinea,0,2,2
2024-06,Guinea,0,1,1
2024-07,Guinea,0,1,1
2024-08,Guinea,0,2,2
2024-09,Guinea,0,1,1
2024-10,Guinea,3,8,11
2024-11,Guinea,0,1,1
2024-12,Guinea,0,1,1
2025-04,Guinea,0,1,1
2025-05,Guinea,0,1,1
2025-07,Guinea,0,3,3
2025-08,Guinea,1,0,1
2025-10,Guinea,0,2,2
2025-11,Guinea,1,2,3
