Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,India,41,239,280
2012-02,India,26,342,368
2012-03,India,55,275,330
2012-04,India,37,241,278
2012-05,India,57,301,358
2012-06,India,45,249,294
2012-07,India,30,281,311
2012-08,India,40,305,345
2012-09,India,31,312,343
2012-10,India,37,289,326
2012-11,India,34,284,318
2012-12,India,34,279,313
2013-01,India,47,267,314
2013-02,India,43,293,336
2013-03,India,40,298,338
2013-04,India,38,300,338
2013-05,India,43,309,352
2013-06,India,48,303,351
2013-07,India,65,346,411
2013-08,India,73,332,405
2013-09,India,35,256,291
2013-10,India,44,290,334
2013-11,India,39,298,337
2013-12,India,63,253,316
2014-01,India,62,300,362
2014-02,India,59,312,371
2014-03,India,66,366,432
2014-04,India,48,294,342
2014-05,India,56,331,387
2014-06,India,53,330,383
2014-07,India,65,335,400
2014-08,India,56,329,385
2014-09,India,39,344,383
2014-10,India,48,295,343
2014-11,India,65,335,400
2014-12,India,78,265,343
2015-01,India,45,353,398
2015-02,India,53,360,413
2015-03,India,60,439,499
2015-04,India,54,408,462
2015-05,India,70,503,573
2015-06,India,76,431,507
2015-07,India,82,449,531
2015-08,India,90,584,674
2015-09,India,90,585,675
2015-10,India,54,466,520
2015-11,India,103,559,662
2015-12,India,104,519,623
2016-01,India,93,545,638
2016-02,India,74,483,557
2016-03,India,94,446,540
2016-04,India,75,447,522
2016-05,India,86,534,620
2016-06,India,96,483,579
2016-07,India,82,493,575
2016-08,India,88,533,621
2016-09,India,77,526,603
2016-10,India,72,485,557
2016-11,India,96,618,714
2016-12,India,102,489,591
2017-01,India,91,538,629
2017-02,India,63,479,542
2017-03,India,160,682,842
2017-04,India,75,522,597
2017-05,India,122,618,740
2017-06,India,97,492,589
2017-07,India,146,569,715
2017-08,India,108,533,641
2017-09,India,84,543,627
2017-10,India,96,504,600
2017-11,India,125,565,690
2017-12,India,135,503,638
2018-01,India,123,566,689
2018-02,India,99,498,597
2018-03,India,157,579,737
2018-04,India,115,535,650
2018-05,India,129,606,736
2018-06,India,144,569,714
2018-07,India,162,558,720
2018-08,India,146,665,811
2018-09,India,133,904,1038
2018-10,India,108,628,737
2018-11,India,162,714,878
2018-12,India,180,598,778
2019-01,India,159,656,815
2019-02,India,125,623,751
2019-03,India,190,760,953
2019-04,India,129,611,745
2019-05,India,152,743,896
2019-06,India,112,606,719
2019-07,India,145,624,771
2019-08,India,172,650,824
2019-09,India,111,676,791
2019-10,India,122,650,777
2019-11,India,153,741,894
2019-12,India,155,562,720
2020-01,India,146,700,848
2020-02,India,141,673,816
2020-03,India,46,231,277
2020-06,India,0,2,2
2020-07,India,3,4,7
2020-08,India,1,1,2
2020-09,India,0,6,6
2020-10,India,5,67,72
2020-11,India,12,89,102
2020-12,India,23,133,156
2021-01,India,30,107,137
2021-02,India,17,89,106
2021-03,India,24,189,213
2021-04,India,20,154,175
2021-05,India,19,106,126
2021-06,India,30,106,136
2021-07,India,24,144,168
2021-08,India,46,258,304
2021-09,India,63,294,357
2021-10,India,42,388,430
2021-11,India,112,473,585
2021-12,India,80,344,425
2022-01,India,80,349,431
2022-02,India,85,402,487
2022-03,India,142,637,780
2022-04,India,128,673,801
2022-05,India,148,771,921
2022-06,India,89,582,671
2022-07,India,158,773,931
2022-08,India,154,644,798
2022-09,India,110,781,891
2022-10,India,155,810,965
2022-11,India,215,931,1146
2022-12,India,215,837,1053
2023-01,India,174,1027,1201
2023-02,India,167,928,1096
2023-03,India,230,1058,1290
2023-04,India,189,995,1184
2023-05,India,182,1218,1400
2023-06,India,207,1135,1342
2023-07,India,229,949,1179
2023-08,India,191,1080,1271
2023-09,India,142,1118,1262
2023-10,India,155,1186,1341
2023-11,India,236,1175,1412
2023-12,India,267,1021,1289
2024-01,India,163,1023,1187
2024-02,India,185,1091,1276
2024-03,India,312,1387,1700
2024-04,India,152,1147,1299
2024-05,India,200,1128,1328
2024-06,India,214,1113,1329
2024-07,India,191,1093,1285
2024-08,India,211,1262,1474
2024-09,India,221,1406,1629
2024-10,India,220,1398,1618
2024-11,India,247,1316,1564
2024-12,India,281,1308,1589
2025-01,India,248,1417,1665
2025-02,India,137,1158,1296
2025-03,India,295,1494,1790
2025-04,India,166,1150,1316
2025-05,India,192,1258,1450
2025-06,India,184,1265,1450
2025-07,India,244,1169,1413
2025-08,India,220,1184,1404
2025-09,India,142,1143,1285
2025-10,India,190,1214,1405
2025-11,India,286,1519,1805
2025-12,India,275,1337,1612
