Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Indonesia,17,16,33
2012-02,Indonesia,9,22,31
2012-03,Indonesia,9,44,53
2012-04,Indonesia,7,87,94
2012-05,Indonesia,10,16,26
2012-06,Indonesia,14,35,49
2012-07,Indonesia,5,36,41
2012-08,Indonesia,7,8,15
2012-09,Indonesia,7,60,67
2012-10,Indonesia,9,27,36
2012-11,Indonesia,4,70,74
2012-12,Indonesia,11,26,37
2013-01,Indonesia,5,23,28
2013-02,Indonesia,11,22,33
2013-03,Indonesia,10,19,29
2013-04,Indonesia,16,23,39
2013-05,Indonesia,14,30,44
2013-06,Indonesia,10,37,47
2013-07,Indonesia,16,45,61
2013-08,Indonesia,20,25,45
2013-09,Indonesia,10,38,48
2013-10,Indonesia,7,57,64
2013-11,Indonesia,12,31,43
2013-12,Indonesia,13,38,51
2014-01,Indonesia,5,20,25
2014-02,Indonesia,19,35,54
2014-03,Indonesia,9,20,29
2014-04,Indonesia,18,43,61
2014-05,Indonesia,12,30,42
2014-06,Indonesia,15,42,57
2014-07,Indonesia,14,19,33
2014-08,Indonesia,15,36,51
2014-09,Indonesia,5,37,42
2014-10,Indonesia,18,37,55
2014-11,Indonesia,12,52,64
2014-12,Indonesia,10,48,58
2015-01,Indonesia,12,27,39
2015-02,Indonesia,18,47,65
2015-03,Indonesia,7,26,33
2015-04,Indonesia,12,24,36
2015-05,Indonesia,7,39,46
2015-06,Indonesia,22,41,63
2015-07,Indonesia,21,36,57
2015-08,Indonesia,18,37,55
2015-09,Indonesia,9,27,36
2015-10,Indonesia,9,40,49
2015-11,Indonesia,16,63,79
2015-12,Indonesia,25,46,71
2016-01,Indonesia,11,28,39
2016-02,Indonesia,13,24,37
2016-03,Indonesia,9,36,45
2016-04,Indonesia,17,29,46
2016-05,Indonesia,11,47,58
2016-06,Indonesia,10,22,32
2016-07,Indonesia,19,30,49
2016-08,Indonesia,13,25,38
2016-09,Indonesia,13,27,40
2016-10,Indonesia,26,45,71
2016-11,Indonesia,32,68,100
2016-12,Indonesia,14,30,44
2017-01,Indonesia,25,30,55
2017-02,Indonesia,19,40,59
2017-03,Indonesia,17,42,59
2017-04,Indonesia,28,65,93
2017-05,Indonesia,23,35,58
2017-06,Indonesia,28,37,65
