Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Islandia,9,6,15
2012-02,Islandia,9,13,22
2012-03,Islandia,7,4,11
2012-04,Islandia,4,3,7
2012-05,Islandia,8,6,14
2012-06,Islandia,10,3,13
2012-07,Islandia,6,10,16
2012-08,Islandia,8,13,21
2012-09,Islandia,5,13,18
2012-10,Islandia,6,15,21
2012-11,Islandia,8,13,21
2012-12,Islandia,10,15,25
2013-01,Islandia,2,7,9
2013-02,Islandia,3,4,7
2013-03,Islandia,1,0,1
2013-04,Islandia,6,10,16
2013-05,Islandia,10,10,20
2013-06,Islandia,6,4,10
2013-07,Islandia,5,12,17
2013-08,Islandia,5,2,7
2013-09,Islandia,2,34,36
2013-10,Islandia,5,7,12
2013-11,Islandia,7,5,12
2013-12,Islandia,12,17,29
2014-01,Islandia,10,10,20
2014-02,Islandia,6,5,11
2014-03,Islandia,1,13,14
2014-04,Islandia,4,7,11
2014-05,Islandia,6,11,17
2014-06,Islandia,1,25,26
2014-07,Islandia,7,14,21
2014-08,Islandia,0,8,8
2014-09,Islandia,2,9,11
2014-10,Islandia,7,7,14
2014-11,Islandia,6,17,23
2014-12,Islandia,19,25,44
2015-01,Islandia,15,16,31
2015-02,Islandia,14,13,27
2015-03,Islandia,10,15,25
2015-04,Islandia,4,13,17
2015-05,Islandia,8,5,13
2015-06,Islandia,6,7,13
2015-07,Islandia,6,6,12
2015-08,Islandia,3,8,11
2015-09,Islandia,4,8,12
2015-10,Islandia,13,13,26
2015-11,Islandia,5,8,13
2015-12,Islandia,10,21,31
2016-01,Islandia,16,21,37
2016-02,Islandia,12,16,28
2016-03,Islandia,13,25,38
2016-04,Islandia,9,7,16
2016-05,Islandia,11,19,30
2016-06,Islandia,10,9,19
2016-07,Islandia,4,9,13
2016-08,Islandia,4,3,7
2016-09,Islandia,10,11,21
2016-10,Islandia,6,6,12
2016-11,Islandia,6,14,20
2016-12,Islandia,2,13,15
2017-01,Islandia,7,8,15
2017-02,Islandia,4,19,23
2017-03,Islandia,13,24,37
2017-04,Islandia,9,18,27
2017-05,Islandia,15,15,30
2017-06,Islandia,17,9,26
2017-07,Islandia,14,22,36
2017-08,Islandia,7,12,19
2017-09,Islandia,5,15,20
2017-10,Islandia,4,9,13
2017-11,Islandia,6,21,27
2017-12,Islandia,23,26,49
2018-01,Islandia,17,15,32
2018-02,Islandia,22,36,58
2018-03,Islandia,16,18,34
2018-04,Islandia,7,16,23
2018-05,Islandia,9,11,20
2018-06,Islandia,6,10,16
2018-07,Islandia,22,20,42
2018-08,Islandia,10,21,31
2018-09,Islandia,7,7,14
2018-10,Islandia,12,13,25
2018-11,Islandia,4,22,26
2018-12,Islandia,18,24,42
2019-01,Islandia,5,20,25
2019-02,Islandia,11,22,33
2019-03,Islandia,18,33,51
2019-04,Islandia,16,14,30
2019-05,Islandia,5,14,19
2019-06,Islandia,7,12,19
2019-07,Islandia,6,8,14
2019-08,Islandia,8,10,18
2019-09,Islandia,8,13,21
2019-10,Islandia,7,15,22
2019-11,Islandia,3,14,17
2019-12,Islandia,7,17,24
2020-01,Islandia,11,22,33
2020-02,Islandia,17,25,42
2020-03,Islandia,1,8,9
2020-10,Islandia,1,3,4
2020-11,Islandia,0,2,2
2020-12,Islandia,2,5,7
2021-01,Islandia,0,2,2
2021-02,Islandia,0,3,3
2021-03,Islandia,3,2,5
2021-04,Islandia,0,4,4
2021-05,Islandia,0,1,1
2021-06,Islandia,4,2,6
2021-07,Islandia,5,8,13
2021-08,Islandia,3,7,10
2021-09,Islandia,3,3,6
2021-10,Islandia,5,8,13
2021-11,Islandia,2,11,13
2021-12,Islandia,10,24,34
2022-01,Islandia,8,21,29
2022-02,Islandia,6,15,21
2022-03,Islandia,4,17,21
2022-04,Islandia,10,13,23
2022-05,Islandia,10,20,30
2022-06,Islandia,16,22,38
2022-07,Islandia,3,14,17
2022-08,Islandia,5,11,16
2022-09,Islandia,2,9,11
2022-10,Islandia,9,17,26
2022-11,Islandia,6,18,24
2022-12,Islandia,11,20,31
2023-01,Islandia,12,37,49
2023-02,Islandia,19,33,52
2023-03,Islandia,5,13,18
2023-04,Islandia,4,15,19
2023-05,Islandia,8,19,27
2023-06,Islandia,11,12,23
2023-07,Islandia,13,22,35
2023-08,Islandia,5,19,24
2023-09,Islandia,5,11,16
2023-10,Islandia,6,21,27
2023-11,Islandia,8,28,36
2023-12,Islandia,17,40,57
2024-01,Islandia,7,18,25
2024-02,Islandia,28,41,69
2024-03,Islandia,11,28,39
2024-04,Islandia,3,16,19
2024-05,Islandia,11,15,26
2024-06,Islandia,23,31,54
2024-07,Islandia,10,22,32
2024-08,Islandia,6,18,24
2024-09,Islandia,6,13,19
2024-10,Islandia,24,40,64
2024-11,Islandia,14,36,50
2024-12,Islandia,32,51,83
2025-01,Islandia,28,35,63
2025-02,Islandia,17,24,41
2025-03,Islandia,11,10,21
2025-04,Islandia,18,29,47
2025-05,Islandia,5,19,24
2025-06,Islandia,23,29,52
2025-07,Islandia,13,16,29
2025-08,Islandia,12,19,31
2025-09,Islandia,5,18,23
2025-10,Islandia,20,24,44
2025-11,Islandia,27,48,75
2025-12,Islandia,17,33,50
