Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Islas Caimán,2,8,10
2012-02,Islas Caimán,1,0,1
2012-03,Islas Caimán,1,2,3
2012-04,Islas Caimán,0,2,2
2012-05,Islas Caimán,3,1,4
2012-06,Islas Caimán,9,10,19
2012-07,Islas Caimán,4,10,14
2012-08,Islas Caimán,1,0,1
2012-09,Islas Caimán,1,2,3
2012-11,Islas Caimán,1,1,2
2012-12,Islas Caimán,14,26,40
2013-01,Islas Caimán,4,17,21
2013-02,Islas Caimán,2,2,4
2013-03,Islas Caimán,1,18,19
2013-04,Islas Caimán,6,7,13
2013-05,Islas Caimán,2,1,3
2013-06,Islas Caimán,3,5,8
2013-07,Islas Caimán,5,3,8
2013-08,Islas Caimán,4,2,6
2013-09,Islas Caimán,1,0,1
2013-10,Islas Caimán,2,1,3
2013-11,Islas Caimán,3,1,4
2013-12,Islas Caimán,4,10,14
2014-01,Islas Caimán,3,1,4
2014-02,Islas Caimán,2,4,6
2014-03,Islas Caimán,0,3,3
2014-04,Islas Caimán,7,20,27
2014-05,Islas Caimán,2,4,6
2014-06,Islas Caimán,1,4,5
2014-07,Islas Caimán,1,5,6
2014-08,Islas Caimán,3,5,8
2014-09,Islas Caimán,4,2,6
2014-10,Islas Caimán,1,1,2
2014-11,Islas Caimán,2,0,2
2014-12,Islas Caimán,3,8,11
2015-01,Islas Caimán,0,5,5
2015-02,Islas Caimán,2,3,5
2015-03,Islas Caimán,3,2,5
2015-04,Islas Caimán,0,2,2
2015-05,Islas Caimán,3,5,8
2015-06,Islas Caimán,0,1,1
2015-07,Islas Caimán,9,9,18
2015-08,Islas Caimán,3,5,8
2015-09,Islas Caimán,0,3,3
2015-10,Islas Caimán,4,0,4
2015-11,Islas Caimán,2,4,6
2015-12,Islas Caimán,2,6,8
2016-01,Islas Caimán,2,4,6
2016-02,Islas Caimán,5,1,6
2016-03,Islas Caimán,2,5,7
2016-04,Islas Caimán,4,2,6
2016-05,Islas Caimán,5,0,5
2016-06,Islas Caimán,2,4,6
2016-07,Islas Caimán,6,5,11
2016-08,Islas Caimán,16,15,31
2016-09,Islas Caimán,5,7,12
2016-10,Islas Caimán,3,2,5
2016-11,Islas Caimán,2,4,6
2016-12,Islas Caimán,6,29,35
2017-01,Islas Caimán,2,5,7
2017-02,Islas Caimán,1,7,8
2017-03,Islas Caimán,1,2,3
2017-04,Islas Caimán,4,11,15
2017-05,Islas Caimán,1,4,5
2017-06,Islas Caimán,1,4,5
2017-07,Islas Caimán,5,2,7
2017-08,Islas Caimán,3,3,6
2017-09,Islas Caimán,4,5,9
2017-10,Islas Caimán,1,0,1
2017-11,Islas Caimán,5,4,9
2017-12,Islas Caimán,15,9,24
2018-01,Islas Caimán,0,3,3
2018-02,Islas Caimán,2,4,6
2018-03,Islas Caimán,2,3,5
2018-04,Islas Caimán,1,3,4
2018-05,Islas Caimán,6,3,9
2018-06,Islas Caimán,13,7,20
2018-07,Islas Caimán,4,8,12
2018-08,Islas Caimán,1,1,2
2018-09,Islas Caimán,3,5,8
2018-10,Islas Caimán,2,0,2
2018-11,Islas Caimán,1,1,2
2018-12,Islas Caimán,2,6,8
2019-01,Islas Caimán,1,2,3
2019-02,Islas Caimán,0,2,2
2019-03,Islas Caimán,8,1,9
2019-04,Islas Caimán,1,3,4
2019-05,Islas Caimán,1,0,1
2019-06,Islas Caimán,2,5,7
2019-07,Islas Caimán,3,4,7
2019-08,Islas Caimán,8,12,20
2019-09,Islas Caimán,3,3,6
2019-10,Islas Caimán,2,2,5
