Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Islas Salomón,1,0,1
2012-06,Islas Salomón,0,1,1
2013-02,Islas Salomón,1,0,1
2013-03,Islas Salomón,1,0,1
2013-07,Islas Salomón,1,0,1
2014-01,Islas Salomón,1,0,1
2014-07,Islas Salomón,1,0,1
2015-01,Islas Salomón,1,0,1
2016-01,Islas Salomón,1,0,1
2016-04,Islas Salomón,0,1,1
2016-05,Islas Salomón,0,1,1
2016-06,Islas Salomón,1,0,1
2016-08,Islas Salomón,0,2,2
2016-09,Islas Salomón,0,20,20
2016-10,Islas Salomón,1,0,1
2017-03,Islas Salomón,1,0,1
2017-10,Islas Salomón,0,1,1
2018-02,Islas Salomón,0,1,1
2019-05,Islas Salomón,0,1,1
2019-09,Islas Salomón,0,1,1
2019-12,Islas Salomón,0,1,1
2020-02,Islas Salomón,0,1,1
2021-06,Islas Salomón,0,1,1
2021-12,Islas Salomón,0,1,1
2022-02,Islas Salomón,0,1,1
2022-11,Islas Salomón,0,2,2
2023-11,Islas Salomón,0,1,1
2024-02,Islas Salomón,1,0,1
2024-03,Islas Salomón,1,0,1
2024-05,Islas Salomón,0,1,1
2024-06,Islas Salomón,0,1,1
2024-10,Islas Salomón,4,8,12
2024-11,Islas Salomón,1,0,1
2024-12,Islas Salomón,1,0,1
2025-09,Islas Salomón,0,1,1
2025-11,Islas Salomón,1,0,1
2025-12,Islas Salomón,0,1,1
