Fecha,Nacionalidad,Femenino,Masculino,Total
2013-05,Islas Turcas Y Caicos,1,1,2
2013-10,Islas Turcas Y Caicos,1,2,3
2014-07,Islas Turcas Y Caicos,1,1,2
2014-11,Islas Turcas Y Caicos,1,0,1
2015-03,Islas Turcas Y Caicos,1,1,2
2015-04,Islas Turcas Y Caicos,0,2,2
2015-07,Islas Turcas Y Caicos,1,0,1
2015-08,Islas Turcas Y Caicos,0,1,1
2016-05,Islas Turcas Y Caicos,0,1,1
2016-11,Islas Turcas Y Caicos,1,0,1
2017-01,Islas Turcas Y Caicos,0,1,1
2017-02,Islas Turcas Y Caicos,1,0,1
2017-03,Islas Turcas Y Caicos,1,1,2
2017-07,Islas Turcas Y Caicos,1,0,1
2017-09,Islas Turcas Y Caicos,1,0,1
2018-01,Islas Turcas Y Caicos,0,1,1
2018-07,Islas Turcas Y Caicos,2,5,7
2018-08,Islas Turcas Y Caicos,0,1,1
2018-12,Islas Turcas Y Caicos,1,1,2
2019-01,Islas Turcas Y Caicos,0,3,3
2019-04,Islas Turcas Y Caicos,2,0,2
2019-07,Islas Turcas Y Caicos,4,0,4
2019-08,Islas Turcas Y Caicos,0,3,3
2019-11,Islas Turcas Y Caicos,2,1,3
2020-01,Islas Turcas Y Caicos,1,0,1
2020-11,Islas Turcas Y Caicos,0,1,1
2021-07,Islas Turcas Y Caicos,0,1,1
2021-09,Islas Turcas Y Caicos,1,1,2
2021-10,Islas Turcas Y Caicos,2,0,2
2021-11,Islas Turcas Y Caicos,0,1,1
2021-12,Islas Turcas Y Caicos,0,2,2
2022-01,Islas Turcas Y Caicos,1,0,1
2022-02,Islas Turcas Y Caicos,1,2,3
2022-05,Islas Turcas Y Caicos,1,2,3
2022-07,Islas Turcas Y Caicos,0,3,3
2022-08,Islas Turcas Y Caicos,1,1,2
2022-09,Islas Turcas Y Caicos,1,5,6
2022-11,Islas Turcas Y Caicos,2,0,2
2022-12,Islas Turcas Y Caicos,2,0,2
2023-02,Islas Turcas Y Caicos,2,0,2
2023-03,Islas Turcas Y Caicos,1,1,2
2023-04,Islas Turcas Y Caicos,2,0,2
2023-05,Islas Turcas Y Caicos,1,2,4
2023-06,Islas Turcas Y Caicos,0,3,3
2023-08,Islas Turcas Y Caicos,2,1,3
2023-09,Islas Turcas Y Caicos,2,3,5
2023-10,Islas Turcas Y Caicos,0,1,1
2023-12,Islas Turcas Y Caicos,1,0,1
2024-01,Islas Turcas Y Caicos,0,2,2
2024-02,Islas Turcas Y Caicos,3,4,7
2024-03,Islas Turcas Y Caicos,2,1,3
2024-04,Islas Turcas Y Caicos,2,4,6
2024-05,Islas Turcas Y Caicos,9,1,10
2024-06,Islas Turcas Y Caicos,4,2,6
2024-07,Islas Turcas Y Caicos,5,3,8
2024-08,Islas Turcas Y Caicos,2,4,6
2024-09,Islas Turcas Y Caicos,2,4,6
2024-10,Islas Turcas Y Caicos,5,4,10
2024-11,Islas Turcas Y Caicos,6,7,13
2024-12,Islas Turcas Y Caicos,0,3,3
2025-01,Islas Turcas Y Caicos,3,2,5
2025-02,Islas Turcas Y Caicos,1,0,1
2025-03,Islas Turcas Y Caicos,6,2,8
2025-04,Islas Turcas Y Caicos,2,2,4
2025-05,Islas Turcas Y Caicos,3,7,10
2025-06,Islas Turcas Y Caicos,4,6,10
2025-07,Islas Turcas Y Caicos,3,4,7
2025-08,Islas Turcas Y Caicos,3,6,9
2025-09,Islas Turcas Y Caicos,7,4,11
2025-10,Islas Turcas Y Caicos,1,3,4
2025-11,Islas Turcas Y Caicos,1,4,5
2025-12,Islas Turcas Y Caicos,4,1,5
