Fecha,Nacionalidad,Femenino,Masculino,Total
2012-05,Islas Vírgenes Británicas,0,1,1
2012-06,Islas Vírgenes Británicas,0,1,1
2013-04,Islas Vírgenes Británicas,0,1,1
2013-05,Islas Vírgenes Británicas,0,1,1
2013-08,Islas Vírgenes Británicas,0,1,1
2013-09,Islas Vírgenes Británicas,1,0,1
2014-09,Islas Vírgenes Británicas,0,1,1
2014-12,Islas Vírgenes Británicas,1,0,1
2015-03,Islas Vírgenes Británicas,1,1,2
2015-08,Islas Vírgenes Británicas,0,1,1
2016-03,Islas Vírgenes Británicas,1,2,3
2016-05,Islas Vírgenes Británicas,0,1,1
2016-07,Islas Vírgenes Británicas,1,1,2
2016-09,Islas Vírgenes Británicas,1,1,2
2016-12,Islas Vírgenes Británicas,2,1,3
2017-01,Islas Vírgenes Británicas,2,1,3
2017-02,Islas Vírgenes Británicas,2,0,2
2017-07,Islas Vírgenes Británicas,0,1,1
2017-08,Islas Vírgenes Británicas,0,1,1
2017-11,Islas Vírgenes Británicas,3,2,5
2017-12,Islas Vírgenes Británicas,1,0,1
2018-02,Islas Vírgenes Británicas,1,1,2
2018-04,Islas Vírgenes Británicas,0,1,1
2018-06,Islas Vírgenes Británicas,1,1,2
2018-07,Islas Vírgenes Británicas,1,1,2
2019-02,Islas Vírgenes Británicas,0,2,2
2019-07,Islas Vírgenes Británicas,0,1,1
2019-08,Islas Vírgenes Británicas,0,2,2
2019-09,Islas Vírgenes Británicas,0,1,1
2019-11,Islas Vírgenes Británicas,0,1,1
2020-01,Islas Vírgenes Británicas,0,1,1
2020-05,Islas Vírgenes Británicas,1,1,2
2020-12,Islas Vírgenes Británicas,0,1,1
2021-02,Islas Vírgenes Británicas,0,1,1
2021-03,Islas Vírgenes Británicas,1,0,1
2021-11,Islas Vírgenes Británicas,1,7,8
2022-07,Islas Vírgenes Británicas,1,0,1
2022-08,Islas Vírgenes Británicas,0,1,1
2023-03,Islas Vírgenes Británicas,1,0,1
2023-09,Islas Vírgenes Británicas,0,1,1
2023-10,Islas Vírgenes Británicas,1,0,1
2023-11,Islas Vírgenes Británicas,1,1,2
2024-04,Islas Vírgenes Británicas,1,2,3
2024-07,Islas Vírgenes Británicas,0,1,1
2024-08,Islas Vírgenes Británicas,1,2,3
2024-12,Islas Vírgenes Británicas,1,0,1
2025-01,Islas Vírgenes Británicas,2,1,3
2025-03,Islas Vírgenes Británicas,0,1,1
2025-04,Islas Vírgenes Británicas,1,0,1
2025-05,Islas Vírgenes Británicas,2,0,2
2025-06,Islas Vírgenes Británicas,2,2,4
2025-07,Islas Vírgenes Británicas,0,2,2
2025-08,Islas Vírgenes Británicas,1,2,3
2025-09,Islas Vírgenes Británicas,3,0,3
2025-10,Islas Vírgenes Británicas,2,3,5
2025-11,Islas Vírgenes Británicas,2,2,4
2025-12,Islas Vírgenes Británicas,1,3,4
