Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Italia,726,456,585
2012-02,Italia,621,370,516
2012-03,Italia,530,463,634
2012-04,Italia,415,302,372
2012-05,Italia,435,215,317
2012-06,Italia,537,292,379
2012-07,Italia,634,300,429
2012-08,Italia,838,494,684
2012-09,Italia,430,283,376
2012-10,Italia,484,339,421
2012-11,Italia,556,382,513
2012-12,Italia,718,460,617
2013-01,Italia,702,518,666
2013-02,Italia,600,441,595
2013-03,Italia,515,319,416
2013-04,Italia,442,318,409
2013-05,Italia,438,277,379
2013-06,Italia,544,274,389
2013-07,Italia,731,449,623
2013-08,Italia,873,445,627
2013-09,Italia,448,309,407
2013-10,Italia,507,305,409
2013-11,Italia,571,364,466
2013-12,Italia,706,456,619
2014-01,Italia,754,506,658
2014-02,Italia,617,358,486
2014-03,Italia,540,429,584
2014-04,Italia,564,349,471
2014-05,Italia,487,322,432
2014-06,Italia,617,302,415
2014-07,Italia,766,413,585
2014-08,Italia,1048,554,761
2014-09,Italia,569,308,427
2014-10,Italia,581,393,502
2014-11,Italia,682,422,565
2014-12,Italia,914,583,827
2015-01,Italia,1039,744,1111
2015-02,Italia,955,660,1012
2015-03,Italia,936,750,1182
2015-04,Italia,626,447,628
2015-05,Italia,574,402,513
2015-06,Italia,719,361,498
2015-07,Italia,935,575,830
2015-08,Italia,253,700,953
2015-09,Italia,996,493,877
2015-10,Italia,749,483,652
2015-11,Italia,756,514,661
2015-12,Italia,1141,733,1068
2016-01,Italia,1314,870,1326
2016-02,Italia,1059,692,1029
2016-03,Italia,945,629,946
2016-04,Italia,687,493,687
2016-05,Italia,640,469,645
2016-06,Italia,730,506,704
2016-07,Italia,958,460,672
2016-08,Italia,288,736,1024
2016-09,Italia,721,522,679
2016-10,Italia,799,508,676
2016-11,Italia,976,561,773
2016-12,Italia,281,614,895
2017-01,Italia,1167,799,1079
2017-02,Italia,1160,631,892
2017-03,Italia,922,570,792
2017-04,Italia,954,600,885
2017-05,Italia,722,456,636
2017-06,Italia,791,485,682
2017-07,Italia,1231,581,873
2017-08,Italia,362,851,1214
2017-09,Italia,957,563,792
2017-10,Italia,899,627,848
2017-11,Italia,989,730,942
2017-12,Italia,356,853,1209
2018-01,Italia,1277,983,1354
2018-02,Italia,1234,704,981
2018-03,Italia,1042,689,983
2018-04,Italia,961,564,802
2018-05,Italia,810,520,756
2018-06,Italia,961,534,813
2018-07,Italia,1269,570,911
2018-08,Italia,409,974,1384
2018-09,Italia,923,560,809
2018-10,Italia,900,641,856
2018-11,Italia,1028,739,1005
2018-12,Italia,340,858,1198
2019-01,Italia,340,943,1283
2019-02,Italia,1203,818,1082
2019-03,Italia,1037,754,1065
2019-04,Italia,1144,616,869
2019-05,Italia,918,634,915
2019-06,Italia,1072,685,1053
2019-07,Italia,414,767,1181
2019-08,Italia,605,1235,1840
2019-09,Italia,1182,734,1032
2019-10,Italia,1190,751,1075
2019-11,Italia,1202,891,1173
2019-12,Italia,538,1090,1628
2020-01,Italia,436,1102,1538
2020-02,Italia,365,984,1349
2020-03,Italia,530,1071,438
2020-04,Italia,8,9,17
2020-05,Italia,5,9,14
2020-06,Italia,4,13,17
2020-07,Italia,1,9,10
2020-08,Italia,7,4,11
2020-09,Italia,25,51,76
2020-10,Italia,119,347,466
2020-11,Italia,210,516,726
2020-12,Italia,261,688,949
2021-01,Italia,255,671,926
2021-02,Italia,182,564,746
2021-03,Italia,202,556,758
2021-04,Italia,214,558,773
2021-05,Italia,170,493,663
2021-06,Italia,325,742,1067
2021-07,Italia,465,1066,477
2021-08,Italia,646,1311,593
2021-09,Italia,538,1170,608
2021-10,Italia,514,1359,616
2021-11,Italia,667,497,722
2021-12,Italia,1015,668,1004
2022-01,Italia,836,651,936
2022-02,Italia,798,612,898
2022-03,Italia,985,752,1108
2022-04,Italia,1109,711,1080
2022-05,Italia,913,690,1031
2022-06,Italia,967,680,1046
2022-07,Italia,1507,876,1405
2022-08,Italia,650,1191,1842
2022-09,Italia,1116,739,1124
2022-10,Italia,1081,732,1106
2022-11,Italia,1225,887,1354
2022-12,Italia,598,1127,1726
2023-01,Italia,523,1152,1676
2023-02,Italia,453,1026,1479
2023-03,Italia,1312,899,1363
2023-04,Italia,1226,726,1155
2023-05,Italia,1059,841,1237
2023-06,Italia,1177,808,1247
2023-07,Italia,566,987,1555
2023-08,Italia,654,1246,1901
2023-09,Italia,476,888,1364
2023-10,Italia,1209,820,1256
2023-11,Italia,1433,1047,1574
2023-12,Italia,672,1168,1842
2024-01,Italia,594,1305,1899
2024-02,Italia,530,1153,1683
2024-03,Italia,467,953,1420
2024-04,Italia,1322,895,1365
2024-05,Italia,1033,788,1162
2024-06,Italia,1219,779,1200
2024-07,Italia,508,830,1338
2024-08,Italia,918,1634,1420
2024-09,Italia,510,939,1449
2024-10,Italia,526,898,1424
2024-11,Italia,618,1115,1733
2024-12,Italia,1065,1599,2664
2025-01,Italia,846,1659,2505
2025-02,Italia,881,1455,2337
2025-03,Italia,885,1405,2290
2025-04,Italia,747,1112,1859
2025-05,Italia,1303,889,1365
2025-06,Italia,1415,755,1194
2025-07,Italia,598,982,1580
2025-08,Italia,848,1705,1254
2025-09,Italia,489,849,1338
2025-10,Italia,1455,876,1360
2025-11,Italia,533,1151,1684
2025-12,Italia,1204,1847,2001
