Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Jamaica,22,24,46
2012-02,Jamaica,14,26,40
2012-03,Jamaica,10,29,39
2012-04,Jamaica,21,37,58
2012-05,Jamaica,11,33,44
2012-06,Jamaica,15,52,67
2012-07,Jamaica,33,33,66
2012-08,Jamaica,18,30,48
2012-09,Jamaica,12,11,23
2012-10,Jamaica,18,39,57
2012-11,Jamaica,17,18,35
2012-12,Jamaica,16,42,58
2013-01,Jamaica,16,27,43
2013-02,Jamaica,20,29,49
2013-03,Jamaica,23,41,64
2013-04,Jamaica,13,29,42
2013-05,Jamaica,15,32,47
2013-06,Jamaica,22,48,70
2013-07,Jamaica,39,37,76
2013-08,Jamaica,24,43,67
2013-09,Jamaica,20,45,65
2013-10,Jamaica,15,43,58
2013-11,Jamaica,17,42,59
2013-12,Jamaica,11,24,35
2014-01,Jamaica,18,31,49
2014-02,Jamaica,14,25,39
2014-03,Jamaica,31,38,69
2014-04,Jamaica,13,42,55
2014-05,Jamaica,23,65,88
2014-06,Jamaica,18,60,78
2014-07,Jamaica,25,42,67
2014-08,Jamaica,26,56,82
2014-09,Jamaica,10,27,37
2014-10,Jamaica,31,46,77
2014-11,Jamaica,19,39,58
2014-12,Jamaica,18,94,112
2015-01,Jamaica,30,29,59
2015-02,Jamaica,29,50,79
2015-03,Jamaica,12,34,46
2015-04,Jamaica,9,25,34
2015-05,Jamaica,23,39,62
2015-06,Jamaica,45,82,127
2015-07,Jamaica,54,74,128
2015-08,Jamaica,28,43,71
2015-09,Jamaica,22,63,85
2015-10,Jamaica,56,61,117
2015-11,Jamaica,24,44,68
2015-12,Jamaica,17,34,51
2016-01,Jamaica,39,44,83
2016-02,Jamaica,31,43,74
2016-03,Jamaica,34,47,81
2016-04,Jamaica,20,31,51
2016-05,Jamaica,22,38,60
2016-06,Jamaica,18,69,87
2016-07,Jamaica,38,41,79
2016-08,Jamaica,33,73,106
2016-09,Jamaica,31,55,86
2016-10,Jamaica,64,78,142
2016-11,Jamaica,20,44,64
2016-12,Jamaica,24,59,83
2017-01,Jamaica,22,40,62
2017-02,Jamaica,27,54,81
2017-03,Jamaica,31,24,55
2017-04,Jamaica,38,40,78
2017-05,Jamaica,26,40,66
2017-06,Jamaica,37,46,83
2017-07,Jamaica,42,54,96
2017-08,Jamaica,26,50,76
2017-09,Jamaica,27,61,88
2017-10,Jamaica,47,61,108
2017-11,Jamaica,36,56,92
2017-12,Jamaica,26,50,76
2018-01,Jamaica,43,49,92
2018-02,Jamaica,52,60,112
2018-03,Jamaica,48,51,99
