Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Japón,150,493,643
2012-02,Japón,186,500,686
2012-03,Japón,255,571,826
2012-04,Japón,142,449,591
2012-05,Japón,164,498,662
2012-06,Japón,167,491,658
2012-07,Japón,175,505,680
2012-08,Japón,204,536,740
2012-09,Japón,164,498,662
2012-10,Japón,101,528,629
2012-11,Japón,146,562,708
2012-12,Japón,184,396,580
2013-01,Japón,140,492,632
2013-02,Japón,185,498,683
2013-03,Japón,176,536,712
2013-04,Japón,124,525,649
2013-05,Japón,113,516,629
2013-06,Japón,115,492,607
2013-07,Japón,198,632,830
2013-08,Japón,173,560,733
2013-09,Japón,135,500,635
2013-10,Japón,126,486,612
2013-11,Japón,126,572,698
2013-12,Japón,178,451,629
2014-01,Japón,155,477,632
2014-02,Japón,150,616,766
2014-03,Japón,172,552,724
2014-04,Japón,153,532,685
2014-05,Japón,137,603,740
2014-06,Japón,153,501,654
2014-07,Japón,236,809,1045
2014-08,Japón,205,612,817
2014-09,Japón,161,596,757
2014-10,Japón,142,583,725
2014-11,Japón,140,609,749
2014-12,Japón,227,499,726
2015-01,Japón,236,585,821
2015-02,Japón,177,626,803
2015-03,Japón,218,621,839
2015-04,Japón,144,476,620
2015-05,Japón,147,568,715
2015-06,Japón,160,528,688
2015-07,Japón,183,608,791
2015-08,Japón,217,549,766
2015-09,Japón,226,549,775
2015-10,Japón,134,560,694
2015-11,Japón,153,607,760
2015-12,Japón,220,502,722
2016-01,Japón,227,559,786
2016-02,Japón,320,662,982
2016-03,Japón,246,590,836
2016-04,Japón,131,458,589
2016-05,Japón,146,534,680
2016-06,Japón,133,480,613
2016-07,Japón,214,585,799
2016-08,Japón,228,495,723
2016-09,Japón,213,644,857
2016-10,Japón,153,565,718
2016-11,Japón,159,603,762
2016-12,Japón,267,489,756
2017-01,Japón,196,506,702
2017-02,Japón,230,632,862
2017-03,Japón,234,662,896
2017-04,Japón,213,477,690
2017-05,Japón,139,554,693
2017-06,Japón,189,528,717
2017-07,Japón,161,496,657
2017-08,Japón,252,571,823
2017-09,Japón,176,586,762
2017-10,Japón,178,606,784
2017-11,Japón,164,657,821
2017-12,Japón,308,574,882
2018-01,Japón,252,568,820
2018-02,Japón,271,684,955
2018-03,Japón,298,636,934
2018-04,Japón,199,556,755
2018-05,Japón,160,573,733
2018-06,Japón,238,586,824
2018-07,Japón,209,523,732
2018-08,Japón,263,607,870
2018-09,Japón,270,640,910
2018-10,Japón,161,580,741
2018-11,Japón,172,620,792
2018-12,Japón,316,573,889
2019-01,Japón,228,558,786
2019-02,Japón,290,610,900
2019-03,Japón,259,602,861
2019-04,Japón,227,477,704
2019-05,Japón,202,522,724
2019-06,Japón,166,502,668
2019-07,Japón,194,567,761
2019-08,Japón,245,573,818
2019-09,Japón,195,561,756
2019-10,Japón,146,475,621
2019-11,Japón,172,493,665
2019-12,Japón,290,527,817
2020-01,Japón,244,512,756
2020-02,Japón,220,572,792
2020-03,Japón,111,165,276
2020-06,Japón,5,2,7
2020-07,Japón,2,0,2
2020-08,Japón,0,7,7
2020-09,Japón,2,3,5
2020-10,Japón,14,18,32
2020-11,Japón,23,23,46
2020-12,Japón,35,74,109
2021-01,Japón,37,48,85
2021-02,Japón,24,30,54
2021-03,Japón,27,31,58
2021-04,Japón,29,32,61
2021-05,Japón,15,31,46
2021-06,Japón,34,46,80
2021-07,Japón,46,58,104
2021-08,Japón,46,70,116
2021-09,Japón,38,84,122
2021-10,Japón,50,73,123
2021-11,Japón,73,137,210
2021-12,Japón,116,124,240
2022-01,Japón,95,131,226
2022-02,Japón,83,95,178
2022-03,Japón,79,174,253
2022-04,Japón,96,183,279
2022-05,Japón,81,157,238
2022-06,Japón,93,220,313
2022-07,Japón,159,277,436
2022-08,Japón,119,250,369
2022-09,Japón,111,243,354
2022-10,Japón,128,305,433
2022-11,Japón,122,323,445
2022-12,Japón,213,325,538
2023-01,Japón,181,312,493
2023-02,Japón,188,380,568
2023-03,Japón,165,370,535
2023-04,Japón,151,258,409
2023-05,Japón,147,360,507
2023-06,Japón,149,418,568
2023-07,Japón,208,358,566
2023-08,Japón,211,358,569
2023-09,Japón,160,331,491
2023-10,Japón,157,365,522
2023-11,Japón,174,448,622
2023-12,Japón,307,418,725
2024-01,Japón,244,387,631
2024-02,Japón,245,538,783
2024-03,Japón,241,405,646
2024-04,Japón,174,401,575
2024-05,Japón,178,393,571
2024-06,Japón,196,350,546
2024-07,Japón,194,374,568
2024-08,Japón,289,507,796
2024-09,Japón,195,525,720
2024-10,Japón,293,549,842
2024-11,Japón,203,466,669
2024-12,Japón,303,490,793
2025-01,Japón,263,468,731
2025-02,Japón,285,521,806
2025-03,Japón,279,523,802
2025-04,Japón,253,367,620
2025-05,Japón,182,465,647
2025-06,Japón,201,391,592
2025-07,Japón,241,441,682
2025-08,Japón,273,432,705
2025-09,Japón,211,465,676
2025-10,Japón,208,416,624
2025-11,Japón,250,555,805
2025-12,Japón,356,494,850
