Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Kazajstán,1,1,2
2012-02,Kazajstán,4,1,5
2012-03,Kazajstán,2,3,5
2012-04,Kazajstán,2,3,5
2012-05,Kazajstán,5,3,8
2012-06,Kazajstán,4,1,5
2012-07,Kazajstán,1,0,1
2012-08,Kazajstán,0,1,1
2012-09,Kazajstán,4,3,7
2012-10,Kazajstán,0,6,6
2012-11,Kazajstán,3,1,4
2012-12,Kazajstán,2,2,4
2013-02,Kazajstán,4,3,7
2013-03,Kazajstán,2,8,10
2013-05,Kazajstán,1,0,1
2013-06,Kazajstán,4,2,6
2013-07,Kazajstán,5,12,17
2013-08,Kazajstán,1,0,1
2013-09,Kazajstán,4,6,10
2013-10,Kazajstán,0,1,1
2013-11,Kazajstán,3,6,9
2013-12,Kazajstán,4,1,5
2014-01,Kazajstán,0,2,2
2014-02,Kazajstán,0,7,7
2014-03,Kazajstán,4,1,5
2014-04,Kazajstán,3,2,5
2014-05,Kazajstán,4,2,6
2014-06,Kazajstán,2,0,2
2014-07,Kazajstán,4,3,7
2014-08,Kazajstán,2,8,10
2014-09,Kazajstán,7,5,12
2014-10,Kazajstán,2,4,6
2014-11,Kazajstán,7,3,10
2014-12,Kazajstán,7,6,13
2015-01,Kazajstán,4,11,15
2015-02,Kazajstán,9,5,14
2015-03,Kazajstán,7,5,12
2015-04,Kazajstán,4,0,4
2015-05,Kazajstán,10,4,14
2015-06,Kazajstán,6,5,11
2015-07,Kazajstán,12,2,14
2015-08,Kazajstán,7,6,13
2015-09,Kazajstán,4,2,6
2015-10,Kazajstán,6,6,12
2015-11,Kazajstán,3,15,18
2015-12,Kazajstán,4,3,7
2016-01,Kazajstán,7,7,14
2016-02,Kazajstán,9,3,12
2016-03,Kazajstán,8,4,12
2016-04,Kazajstán,5,3,8
2016-05,Kazajstán,6,2,8
2016-06,Kazajstán,22,13,35
2016-07,Kazajstán,3,0,3
2016-08,Kazajstán,5,4,9
2016-09,Kazajstán,4,33,37
2016-10,Kazajstán,2,4,6
2016-11,Kazajstán,6,3,9
2016-12,Kazajstán,5,2,7
2017-01,Kazajstán,2,10,12
2017-02,Kazajstán,9,9,18
2017-03,Kazajstán,6,10,16
2017-04,Kazajstán,6,4,10
2017-05,Kazajstán,5,10,15
2017-06,Kazajstán,4,2,6
2017-07,Kazajstán,1,5,6
2017-08,Kazajstán,5,3,8
2017-09,Kazajstán,3,6,9
2017-10,Kazajstán,7,10,17
2017-11,Kazajstán,15,28,43
2017-12,Kazajstán,11,7,18
2018-01,Kazajstán,5,8,13
2018-02,Kazajstán,9,5,14
2018-03,Kazajstán,8,1,9
2018-04,Kazajstán,2,2,4
2018-05,Kazajstán,10,13,23
2018-06,Kazajstán,1,2,3
2018-07,Kazajstán,10,4,14
2018-08,Kazajstán,11,5,16
2018-09,Kazajstán,9,9,18
2018-10,Kazajstán,4,2,6
2018-11,Kazajstán,7,7,14
2018-12,Kazajstán,12,9,21
2019-01,Kazajstán,8,7,15
2019-02,Kazajstán,7,4,11
2019-03,Kazajstán,9,6,15
2019-04,Kazajstán,10,6,16
2019-05,Kazajstán,5,10,15
2019-06,Kazajstán,5,5,10
2019-07,Kazajstán,7,3,10
2019-08,Kazajstán,5,8,13
2019-09,Kazajstán,7,7,14
2019-10,Kazajstán,6,4,10
2019-11,Kazajstán,7,5,12
2019-12,Kazajstán,11,13,24
2020-01,Kazajstán,16,6,22
2020-02,Kazajstán,10,13,23
2020-03,Kazajstán,5,3,8
2020-10,Kazajstán,2,0,2
2020-11,Kazajstán,4,1,5
2020-12,Kazajstán,9,1,10
2021-01,Kazajstán,7,0,7
2021-02,Kazajstán,12,10,22
2021-03,Kazajstán,4,1,5
2021-04,Kazajstán,5,4,9
2021-05,Kazajstán,6,4,10
2021-06,Kazajstán,4,3,7
2021-07,Kazajstán,2,3,5
2021-08,Kazajstán,2,5,7
2021-09,Kazajstán,3,2,5
2021-10,Kazajstán,6,3,9
2021-11,Kazajstán,11,14,25
2021-12,Kazajstán,12,16,28
2022-01,Kazajstán,6,7,13
2022-02,Kazajstán,7,21,28
2022-03,Kazajstán,21,10,31
2022-04,Kazajstán,15,6,21
2022-05,Kazajstán,5,15,20
2022-06,Kazajstán,10,19,29
2022-07,Kazajstán,20,17,37
2022-08,Kazajstán,21,17,38
2022-09,Kazajstán,21,28,49
2022-10,Kazajstán,20,13,33
2022-11,Kazajstán,28,36,64
2022-12,Kazajstán,34,35,69
2023-01,Kazajstán,17,16,33
2023-02,Kazajstán,5,3,8
2023-03,Kazajstán,21,19,40
2023-04,Kazajstán,17,14,31
2023-05,Kazajstán,17,29,46
2023-06,Kazajstán,25,18,43
2023-07,Kazajstán,30,40,70
2023-08,Kazajstán,40,64,104
2023-09,Kazajstán,36,61,97
2023-10,Kazajstán,51,77,128
2023-11,Kazajstán,50,84,134
2023-12,Kazajstán,25,35,60
2024-01,Kazajstán,32,48,80
2024-02,Kazajstán,23,33,56
2024-03,Kazajstán,24,47,71
2024-04,Kazajstán,17,33,50
2024-05,Kazajstán,28,30,58
2024-06,Kazajstán,36,32,68
2024-07,Kazajstán,42,31,73
2024-08,Kazajstán,45,36,81
2024-09,Kazajstán,28,25,53
2024-10,Kazajstán,36,31,67
2024-11,Kazajstán,26,32,58
2024-12,Kazajstán,27,24,51
2025-01,Kazajstán,20,17,37
2025-02,Kazajstán,17,14,31
2025-03,Kazajstán,27,12,39
2025-04,Kazajstán,11,9,20
2025-05,Kazajstán,14,21,35
2025-06,Kazajstán,20,8,28
2025-07,Kazajstán,22,14,36
2025-08,Kazajstán,26,50,76
2025-09,Kazajstán,17,11,28
2025-10,Kazajstán,16,13,29
2025-11,Kazajstán,34,27,61
2025-12,Kazajstán,29,22,51
