Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Kirguistán,0,1,1
2012-03,Kirguistán,0,1,1
2012-04,Kirguistán,0,1,1
2012-05,Kirguistán,1,0,1
2012-07,Kirguistán,1,1,2
2012-10,Kirguistán,1,1,2
2012-11,Kirguistán,2,0,2
2012-12,Kirguistán,0,1,1
2013-01,Kirguistán,3,1,4
2013-02,Kirguistán,1,0,1
2013-05,Kirguistán,0,1,1
2013-06,Kirguistán,0,1,1
2013-07,Kirguistán,1,10,11
2013-08,Kirguistán,1,1,2
2013-09,Kirguistán,0,1,1
2013-10,Kirguistán,2,1,3
2013-11,Kirguistán,1,1,2
2013-12,Kirguistán,0,1,1
2014-02,Kirguistán,0,1,1
2014-03,Kirguistán,0,1,1
2014-05,Kirguistán,0,1,1
2014-07,Kirguistán,1,3,4
2014-08,Kirguistán,2,1,3
2014-11,Kirguistán,3,0,3
2014-12,Kirguistán,0,5,5
2015-01,Kirguistán,2,2,4
2015-02,Kirguistán,0,4,4
2015-03,Kirguistán,0,5,5
2015-05,Kirguistán,0,1,1
2015-07,Kirguistán,2,0,2
2015-08,Kirguistán,1,1,2
2015-09,Kirguistán,0,2,2
2015-10,Kirguistán,1,6,7
2015-11,Kirguistán,2,6,8
2016-03,Kirguistán,4,3,7
2016-05,Kirguistán,1,0,1
2016-06,Kirguistán,0,1,1
2016-09,Kirguistán,0,2,2
2016-10,Kirguistán,0,2,2
2016-11,Kirguistán,1,1,2
2016-12,Kirguistán,1,0,1
2017-01,Kirguistán,0,1,1
2017-06,Kirguistán,0,2,2
2017-10,Kirguistán,1,1,2
2017-11,Kirguistán,1,1,2
2018-01,Kirguistán,2,1,3
2018-02,Kirguistán,1,1,2
2018-03,Kirguistán,0,2,2
2018-05,Kirguistán,2,0,2
2018-06,Kirguistán,0,3,3
2018-10,Kirguistán,1,1,2
2019-01,Kirguistán,1,0,1
2019-02,Kirguistán,1,0,1
2019-03,Kirguistán,3,4,7
2019-06,Kirguistán,1,0,1
2019-07,Kirguistán,2,0,2
2019-08,Kirguistán,1,0,1
2019-09,Kirguistán,0,1,1
2019-11,Kirguistán,1,0,1
2019-12,Kirguistán,3,0,3
2020-03,Kirguistán,0,1,1
2020-11,Kirguistán,1,0,1
2020-12,Kirguistán,1,0,1
2021-08,Kirguistán,2,3,5
2021-09,Kirguistán,1,0,1
2021-10,Kirguistán,1,0,1
2021-11,Kirguistán,1,1,2
2021-12,Kirguistán,1,1,2
2022-03,Kirguistán,1,1,2
2022-04,Kirguistán,1,0,1
2022-07,Kirguistán,2,0,2
2022-08,Kirguistán,2,0,2
2022-10,Kirguistán,1,1,2
2022-11,Kirguistán,3,5,8
2022-12,Kirguistán,1,4,5
2023-01,Kirguistán,3,0,3
2023-02,Kirguistán,2,3,5
2023-03,Kirguistán,1,1,2
2023-04,Kirguistán,1,0,1
2023-05,Kirguistán,1,0,1
2023-06,Kirguistán,0,3,3
2023-07,Kirguistán,5,0,5
2023-08,Kirguistán,1,0,1
2023-11,Kirguistán,1,0,1
2023-12,Kirguistán,3,0,3
2024-01,Kirguistán,3,0,3
2024-04,Kirguistán,1,0,1
2024-05,Kirguistán,1,1,2
2024-06,Kirguistán,1,1,2
2024-08,Kirguistán,3,1,4
2024-10,Kirguistán,7,3,10
2024-11,Kirguistán,2,2,4
2024-12,Kirguistán,1,1,2
2025-01,Kirguistán,1,0,1
2025-04,Kirguistán,1,3,4
2025-05,Kirguistán,1,0,1
2025-06,Kirguistán,4,5,9
2025-07,Kirguistán,1,0,1
2025-09,Kirguistán,2,1,3
2025-10,Kirguistán,2,2,4
2025-11,Kirguistán,4,2,6
2025-12,Kirguistán,2,0,2
