Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Letonia,13,10,23
2012-02,Letonia,6,4,10
2012-03,Letonia,8,17,25
2012-04,Letonia,4,6,10
2012-05,Letonia,4,8,12
2012-06,Letonia,5,8,13
2012-07,Letonia,5,22,27
2012-08,Letonia,8,9,17
2012-09,Letonia,4,26,30
2012-10,Letonia,2,12,14
2012-11,Letonia,8,25,33
2012-12,Letonia,10,15,25
2013-01,Letonia,11,30,41
2013-02,Letonia,9,17,26
2013-03,Letonia,4,8,12
2013-04,Letonia,12,15,27
2013-05,Letonia,5,17,22
2013-06,Letonia,10,5,15
2013-07,Letonia,14,59,73
2013-08,Letonia,6,4,10
2013-09,Letonia,9,9,18
2013-10,Letonia,9,14,23
2013-11,Letonia,17,17,34
2013-12,Letonia,7,5,12
2014-01,Letonia,12,30,42
2014-02,Letonia,10,45,55
2014-03,Letonia,12,9,21
2014-04,Letonia,5,9,14
2014-05,Letonia,10,12,22
2014-06,Letonia,6,33,39
2014-07,Letonia,10,13,23
2014-08,Letonia,7,5,12
2014-09,Letonia,3,5,8
2014-10,Letonia,10,19,29
2014-11,Letonia,22,30,52
2014-12,Letonia,9,6,15
2015-01,Letonia,7,16,23
2015-02,Letonia,10,11,21
2015-03,Letonia,14,13,27
2015-04,Letonia,11,7,18
2015-05,Letonia,5,13,18
2015-06,Letonia,7,32,39
2015-07,Letonia,20,23,43
2015-08,Letonia,11,10,21
2015-09,Letonia,4,14,18
2015-10,Letonia,17,21,38
2015-11,Letonia,10,11,21
2015-12,Letonia,10,19,29
2016-01,Letonia,15,31,46
2016-02,Letonia,14,30,44
2016-03,Letonia,9,10,19
2016-04,Letonia,10,9,19
2016-05,Letonia,10,45,55
2016-06,Letonia,12,20,32
2016-07,Letonia,8,19,27
2016-08,Letonia,5,15,20
2016-09,Letonia,7,10,17
2016-10,Letonia,5,11,16
2016-11,Letonia,29,36,65
2016-12,Letonia,14,15,29
2017-01,Letonia,7,26,33
2017-02,Letonia,7,25,32
2017-03,Letonia,22,39,61
2017-04,Letonia,12,10,22
2017-05,Letonia,7,12,19
2017-06,Letonia,10,10,20
2017-07,Letonia,10,12,22
2017-08,Letonia,13,14,27
2017-09,Letonia,9,15,24
2017-10,Letonia,7,24,31
2017-11,Letonia,31,27,58
2017-12,Letonia,12,16,28
2018-01,Letonia,22,30,52
2018-02,Letonia,15,25,40
2018-03,Letonia,19,39,58
2018-04,Letonia,9,19,28
2018-05,Letonia,7,9,16
2018-06,Letonia,8,19,27
2018-07,Letonia,10,11,21
2018-08,Letonia,10,16,26
2018-09,Letonia,25,27,52
2018-10,Letonia,12,14,26
2018-11,Letonia,18,31,49
2018-12,Letonia,27,29,56
2019-01,Letonia,32,47,79
2019-02,Letonia,15,28,43
2019-03,Letonia,26,41,67
2019-04,Letonia,11,17,28
2019-05,Letonia,8,14,22
2019-06,Letonia,10,24,34
2019-07,Letonia,7,12,19
2019-08,Letonia,17,19,36
2019-09,Letonia,10,17,27
2019-10,Letonia,24,36,60
2019-11,Letonia,17,31,48
2019-12,Letonia,26,39,65
2020-01,Letonia,27,31,58
2020-02,Letonia,22,26,48
2020-03,Letonia,16,11,27
2020-08,Letonia,0,1,1
2020-10,Letonia,2,2,4
2020-11,Letonia,0,12,12
2020-12,Letonia,2,7,9
2021-01,Letonia,3,10,13
2021-02,Letonia,2,3,5
2021-03,Letonia,5,14,19
2021-04,Letonia,2,9,11
2021-05,Letonia,5,16,21
2021-06,Letonia,5,6,11
2021-07,Letonia,3,17,20
2021-08,Letonia,8,11,19
2021-09,Letonia,6,13,19
2021-10,Letonia,8,17,25
2021-11,Letonia,13,20,33
2021-12,Letonia,15,21,36
2022-01,Letonia,18,24,42
2022-02,Letonia,28,29,57
2022-03,Letonia,29,26,55
2022-04,Letonia,15,27,42
2022-05,Letonia,10,21,31
2022-06,Letonia,9,24,33
2022-07,Letonia,34,27,61
2022-08,Letonia,13,12,25
2022-09,Letonia,11,26,37
2022-10,Letonia,23,33,56
2022-11,Letonia,39,43,82
2022-12,Letonia,19,27,46
2023-01,Letonia,17,41,58
2023-02,Letonia,33,26,59
2023-03,Letonia,28,30,58
2023-04,Letonia,14,13,27
2023-05,Letonia,20,24,44
2023-06,Letonia,17,34,51
2023-07,Letonia,19,24,43
2023-08,Letonia,23,29,52
2023-09,Letonia,13,26,39
2023-10,Letonia,9,22,31
2023-11,Letonia,43,52,95
2023-12,Letonia,29,45,74
2024-01,Letonia,14,37,51
2024-02,Letonia,24,39,63
2024-03,Letonia,18,26,44
2024-04,Letonia,24,32,56
2024-05,Letonia,16,20,36
2024-06,Letonia,19,16,35
2024-07,Letonia,13,16,29
2024-08,Letonia,20,26,46
2024-09,Letonia,12,29,41
2024-10,Letonia,27,32,59
2024-11,Letonia,64,46,110
2024-12,Letonia,21,33,54
2025-01,Letonia,25,32,57
2025-02,Letonia,33,35,68
2025-03,Letonia,27,29,56
2025-04,Letonia,19,38,57
2025-05,Letonia,22,25,47
2025-06,Letonia,20,21,41
2025-07,Letonia,15,28,43
2025-08,Letonia,10,31,41
2025-09,Letonia,19,33,52
2025-10,Letonia,20,28,48
2025-11,Letonia,59,80,139
2025-12,Letonia,33,43,76
