Fecha,Nacionalidad,Femenino,Masculino,Total
2012-03,Liberia,0,1,1
2012-06,Liberia,0,2,2
2012-11,Liberia,3,1,4
2013-02,Liberia,2,1,3
2013-04,Liberia,0,1,1
2013-08,Liberia,1,0,1
2013-09,Liberia,1,0,1
2013-10,Liberia,0,1,1
2013-12,Liberia,1,2,3
2014-03,Liberia,0,3,3
2014-04,Liberia,1,0,1
2014-05,Liberia,0,1,1
2015-02,Liberia,1,0,1
2015-03,Liberia,1,0,1
2015-07,Liberia,0,1,1
2016-03,Liberia,1,4,5
2016-04,Liberia,0,1,1
2016-08,Liberia,2,0,2
2016-10,Liberia,1,0,1
2017-01,Liberia,2,0,2
2017-04,Liberia,1,0,1
2017-07,Liberia,0,1,1
2017-10,Liberia,1,2,3
2018-01,Liberia,1,0,1
2018-03,Liberia,1,0,1
2018-04,Liberia,1,0,1
2018-09,Liberia,0,1,1
2018-11,Liberia,0,2,2
2019-01,Liberia,1,0,1
2019-03,Liberia,0,1,1
2019-05,Liberia,1,0,1
2019-06,Liberia,0,2,2
2019-07,Liberia,0,2,2
2019-08,Liberia,0,1,1
2019-09,Liberia,0,2,2
2019-10,Liberia,1,3,4
2019-11,Liberia,0,1,1
2019-12,Liberia,0,1,1
2020-01,Liberia,0,3,3
2020-02,Liberia,1,2,3
2020-10,Liberia,0,1,1
2020-11,Liberia,0,2,2
2020-12,Liberia,1,0,1
2021-01,Liberia,1,0,1
2021-02,Liberia,1,1,2
2021-03,Liberia,0,2,2
2021-06,Liberia,0,1,1
2021-07,Liberia,0,1,1
2021-08,Liberia,3,1,4
2021-09,Liberia,1,3,4
2021-10,Liberia,2,4,6
2021-11,Liberia,1,1,2
2021-12,Liberia,1,1,2
2022-01,Liberia,0,1,1
2022-02,Liberia,0,1,1
2022-03,Liberia,0,1,1
2022-04,Liberia,0,2,2
2022-05,Liberia,0,2,2
2022-06,Liberia,2,1,3
2022-07,Liberia,1,3,4
2022-08,Liberia,0,1,1
2022-09,Liberia,1,1,2
2022-10,Liberia,2,2,4
2022-11,Liberia,0,2,2
2022-12,Liberia,0,4,4
2023-01,Liberia,0,2,2
2023-03,Liberia,1,1,2
2023-04,Liberia,3,4,7
2023-05,Liberia,0,3,3
2023-06,Liberia,1,1,2
2023-07,Liberia,0,1,1
2023-08,Liberia,0,4,4
2023-09,Liberia,1,0,1
2023-12,Liberia,0,1,1
2024-02,Liberia,0,2,2
2024-05,Liberia,0,2,2
2024-06,Liberia,1,0,1
2024-07,Liberia,1,2,3
2024-08,Liberia,1,0,1
2024-10,Liberia,4,11,15
2024-11,Liberia,1,2,3
2025-01,Liberia,2,1,3
2025-03,Liberia,1,4,5
2025-04,Liberia,1,1,2
2025-05,Liberia,2,2,4
2025-06,Liberia,1,3,4
2025-07,Liberia,2,4,6
2025-08,Liberia,2,1,3
2025-10,Liberia,1,1,2
