Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Lituania,7,12,19
2012-02,Lituania,16,15,31
2012-03,Lituania,10,14,24
2012-04,Lituania,11,16,27
2012-05,Lituania,9,10,19
2012-06,Lituania,6,8,14
2012-07,Lituania,7,12,19
2012-08,Lituania,12,13,25
2012-09,Lituania,3,18,21
2012-10,Lituania,13,15,28
2012-11,Lituania,6,8,14
2012-12,Lituania,17,12,29
2013-01,Lituania,17,16,33
2013-02,Lituania,11,32,43
2013-03,Lituania,20,17,37
2013-04,Lituania,18,14,32
2013-05,Lituania,11,15,26
2013-06,Lituania,13,18,31
2013-07,Lituania,20,25,45
2013-08,Lituania,10,7,17
2013-09,Lituania,18,12,30
2013-10,Lituania,7,9,16
2013-11,Lituania,27,12,39
2013-12,Lituania,22,22,44
2014-01,Lituania,15,11,26
2014-02,Lituania,15,18,33
2014-03,Lituania,16,28,44
2014-04,Lituania,13,18,31
2014-05,Lituania,5,10,15
2014-06,Lituania,9,9,18
2014-07,Lituania,15,27,42
2014-08,Lituania,13,15,28
2014-09,Lituania,18,18,36
2014-10,Lituania,14,23,37
2014-11,Lituania,19,26,45
2014-12,Lituania,21,30,51
2015-01,Lituania,22,18,40
2015-02,Lituania,27,24,51
2015-03,Lituania,15,16,31
2015-04,Lituania,15,21,36
2015-05,Lituania,19,17,36
2015-06,Lituania,22,24,46
2015-07,Lituania,24,18,42
2015-08,Lituania,21,24,45
2015-09,Lituania,25,17,42
2015-10,Lituania,35,30,65
2015-11,Lituania,36,23,59
2015-12,Lituania,38,35,73
2016-01,Lituania,39,32,71
2016-02,Lituania,34,35,69
2016-03,Lituania,28,31,59
2016-04,Lituania,21,14,35
2016-05,Lituania,26,43,69
2016-06,Lituania,25,34,59
2016-07,Lituania,34,33,67
2016-08,Lituania,23,28,51
2016-09,Lituania,34,40,74
2016-10,Lituania,33,38,71
2016-11,Lituania,35,34,69
2016-12,Lituania,28,30,58
2017-01,Lituania,32,36,68
2017-02,Lituania,35,49,84
2017-03,Lituania,34,37,71
2017-04,Lituania,30,42,72
2017-05,Lituania,23,17,40
2017-06,Lituania,40,25,65
2017-07,Lituania,25,24,49
2017-08,Lituania,23,21,44
2017-09,Lituania,29,25,54
2017-10,Lituania,32,39,71
2017-11,Lituania,25,41,66
2017-12,Lituania,32,33,65
2018-01,Lituania,24,48,72
2018-02,Lituania,55,48,103
2018-03,Lituania,28,40,68
2018-04,Lituania,29,28,57
2018-05,Lituania,26,39,65
2018-06,Lituania,39,28,67
2018-07,Lituania,29,24,53
2018-08,Lituania,22,18,40
2018-09,Lituania,47,48,96
2018-10,Lituania,38,39,77
2018-11,Lituania,51,52,103
2018-12,Lituania,46,41,87
2019-01,Lituania,40,44,84
2019-02,Lituania,37,59,96
2019-03,Lituania,46,50,96
2019-04,Lituania,33,33,66
2019-05,Lituania,21,43,64
2019-06,Lituania,43,33,76
2019-07,Lituania,32,30,62
2019-08,Lituania,25,29,54
2019-09,Lituania,27,29,56
2019-10,Lituania,30,55,85
2019-11,Lituania,51,55,106
2019-12,Lituania,51,59,110
2020-01,Lituania,54,67,121
2020-02,Lituania,74,76,150
2020-03,Lituania,14,15,29
2020-08,Lituania,1,1,2
2020-10,Lituania,2,5,7
2020-11,Lituania,4,8,12
2020-12,Lituania,12,12,24
2021-01,Lituania,11,16,27
2021-02,Lituania,11,17,28
2021-03,Lituania,7,20,27
2021-04,Lituania,13,16,29
2021-05,Lituania,6,21,27
2021-06,Lituania,11,21,32
2021-07,Lituania,14,16,30
2021-08,Lituania,12,21,33
2021-09,Lituania,21,23,44
2021-10,Lituania,22,37,59
2021-11,Lituania,25,41,66
2021-12,Lituania,49,49,98
2022-01,Lituania,33,38,71
2022-02,Lituania,41,49,90
2022-03,Lituania,67,66,133
2022-04,Lituania,40,33,73
2022-05,Lituania,28,36,64
2022-06,Lituania,36,40,76
2022-07,Lituania,46,39,85
2022-08,Lituania,32,38,70
2022-09,Lituania,37,44,81
2022-10,Lituania,58,56,114
2022-11,Lituania,69,71,140
2022-12,Lituania,52,61,113
2023-01,Lituania,88,72,160
2023-02,Lituania,89,116,205
2023-03,Lituania,69,76,145
2023-04,Lituania,48,52,100
2023-05,Lituania,28,49,77
2023-06,Lituania,35,40,75
2023-07,Lituania,37,51,88
2023-08,Lituania,30,44,74
2023-09,Lituania,42,43,85
2023-10,Lituania,35,49,84
2023-11,Lituania,44,55,99
2023-12,Lituania,46,70,116
2024-01,Lituania,77,132,209
2024-02,Lituania,95,83,178
2024-03,Lituania,60,52,112
2024-04,Lituania,55,64,119
2024-05,Lituania,27,50,77
2024-06,Lituania,38,66,104
2024-07,Lituania,24,48,72
2024-08,Lituania,33,36,69
2024-09,Lituania,30,59,89
2024-10,Lituania,54,60,114
2024-11,Lituania,76,103,179
2024-12,Lituania,78,88,166
2025-01,Lituania,66,89,155
2025-02,Lituania,99,121,220
2025-03,Lituania,83,77,160
2025-04,Lituania,53,49,102
2025-05,Lituania,20,46,66
2025-06,Lituania,33,32,65
2025-07,Lituania,59,62,121
2025-08,Lituania,32,61,93
2025-09,Lituania,49,66,115
2025-10,Lituania,84,101,185
2025-11,Lituania,100,107,207
2025-12,Lituania,85,113,198
