Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Luxemburgo,1,9,10
2012-02,Luxemburgo,4,13,17
2012-03,Luxemburgo,8,20,28
2012-04,Luxemburgo,4,9,13
2012-05,Luxemburgo,4,4,8
2012-06,Luxemburgo,3,12,15
2012-07,Luxemburgo,10,9,19
2012-08,Luxemburgo,13,24,37
2012-09,Luxemburgo,3,8,11
2012-10,Luxemburgo,3,13,16
2012-11,Luxemburgo,3,9,12
2012-12,Luxemburgo,5,13,18
2013-01,Luxemburgo,8,13,21
2013-02,Luxemburgo,9,9,18
2013-03,Luxemburgo,11,17,28
2013-04,Luxemburgo,5,15,20
2013-05,Luxemburgo,1,8,9
2013-06,Luxemburgo,1,6,7
2013-07,Luxemburgo,9,25,34
2013-08,Luxemburgo,7,16,23
2013-09,Luxemburgo,3,9,12
2013-10,Luxemburgo,5,17,22
2013-11,Luxemburgo,7,6,13
2013-12,Luxemburgo,5,9,14
2014-01,Luxemburgo,3,13,16
2014-02,Luxemburgo,4,12,16
2014-03,Luxemburgo,2,8,10
2014-04,Luxemburgo,8,9,17
2014-05,Luxemburgo,3,13,16
2014-06,Luxemburgo,1,6,7
2014-07,Luxemburgo,9,9,18
2014-08,Luxemburgo,31,39,70
2014-09,Luxemburgo,3,8,11
2014-10,Luxemburgo,2,7,9
2014-11,Luxemburgo,4,11,15
2014-12,Luxemburgo,5,10,15
2015-01,Luxemburgo,8,10,18
2015-02,Luxemburgo,5,10,15
2015-03,Luxemburgo,8,8,16
2015-04,Luxemburgo,6,12,18
2015-05,Luxemburgo,4,8,12
2015-06,Luxemburgo,2,2,4
2015-07,Luxemburgo,13,9,22
2015-08,Luxemburgo,13,17,30
2015-09,Luxemburgo,9,8,17
2015-10,Luxemburgo,11,21,32
2015-11,Luxemburgo,10,14,24
2015-12,Luxemburgo,16,19,35
2016-01,Luxemburgo,10,13,23
2016-02,Luxemburgo,10,12,22
2016-03,Luxemburgo,7,15,22
2016-04,Luxemburgo,5,8,13
2016-05,Luxemburgo,4,14,18
2016-06,Luxemburgo,3,12,15
2016-07,Luxemburgo,19,22,41
2016-08,Luxemburgo,14,23,37
2016-09,Luxemburgo,7,9,16
2016-10,Luxemburgo,3,10,13
2016-11,Luxemburgo,5,10,15
2016-12,Luxemburgo,6,13,19
2017-01,Luxemburgo,12,15,27
2017-02,Luxemburgo,13,18,31
2017-03,Luxemburgo,9,22,31
2017-04,Luxemburgo,4,9,13
2017-05,Luxemburgo,9,14,23
2017-06,Luxemburgo,2,12,14
2017-07,Luxemburgo,19,17,36
2017-08,Luxemburgo,15,29,44
2017-09,Luxemburgo,5,8,13
2017-10,Luxemburgo,11,12,23
2017-11,Luxemburgo,9,7,16
2017-12,Luxemburgo,10,26,36
2018-01,Luxemburgo,17,18,35
2018-02,Luxemburgo,12,22,34
2018-03,Luxemburgo,14,31,45
2018-04,Luxemburgo,10,12,22
2018-05,Luxemburgo,3,10,13
2018-06,Luxemburgo,18,14,32
2018-07,Luxemburgo,20,21,41
2018-08,Luxemburgo,24,35,59
2018-09,Luxemburgo,6,15,21
2018-10,Luxemburgo,11,17,28
2018-11,Luxemburgo,9,18,27
2018-12,Luxemburgo,27,26,53
2019-01,Luxemburgo,12,29,41
2019-02,Luxemburgo,20,23,43
2019-03,Luxemburgo,9,15,24
2019-04,Luxemburgo,11,21,32
2019-05,Luxemburgo,8,16,24
2019-06,Luxemburgo,12,14,26
2019-07,Luxemburgo,23,48,71
2019-08,Luxemburgo,28,42,70
2019-09,Luxemburgo,12,21,33
2019-10,Luxemburgo,8,12,20
2019-11,Luxemburgo,14,17,31
2019-12,Luxemburgo,19,30,49
2020-01,Luxemburgo,12,14,26
2020-02,Luxemburgo,19,25,44
2020-03,Luxemburgo,7,11,18
2020-09,Luxemburgo,0,1,1
2020-10,Luxemburgo,0,1,1
2020-11,Luxemburgo,3,0,3
2020-12,Luxemburgo,0,9,9
2021-01,Luxemburgo,2,5,7
2021-02,Luxemburgo,1,1,2
2021-03,Luxemburgo,2,7,9
2021-04,Luxemburgo,5,4,9
2021-05,Luxemburgo,0,3,3
2021-06,Luxemburgo,3,4,7
2021-07,Luxemburgo,4,12,16
2021-08,Luxemburgo,8,34,42
2021-09,Luxemburgo,7,5,12
2021-10,Luxemburgo,3,10,13
2021-11,Luxemburgo,8,11,19
2021-12,Luxemburgo,13,27,40
2022-01,Luxemburgo,4,23,27
2022-02,Luxemburgo,8,22,30
2022-03,Luxemburgo,17,42,59
2022-04,Luxemburgo,13,13,26
2022-05,Luxemburgo,10,17,27
2022-06,Luxemburgo,12,15,27
2022-07,Luxemburgo,10,23,33
2022-08,Luxemburgo,24,35,59
2022-09,Luxemburgo,10,8,18
