Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Líbano,14,39,53
2012-02,Líbano,20,38,58
2012-03,Líbano,16,45,61
2012-04,Líbano,19,34,53
2012-05,Líbano,13,34,47
2012-06,Líbano,11,37,48
2012-07,Líbano,27,37,64
2012-08,Líbano,30,49,79
2012-09,Líbano,32,49,81
2012-10,Líbano,21,44,65
2012-11,Líbano,21,35,56
2012-12,Líbano,17,35,52
2013-01,Líbano,21,39,60
2013-02,Líbano,18,25,43
2013-03,Líbano,13,34,47
2013-04,Líbano,17,32,49
2013-05,Líbano,19,32,51
2013-06,Líbano,20,45,65
2013-07,Líbano,25,33,58
2013-08,Líbano,15,35,50
2013-09,Líbano,25,35,60
2013-10,Líbano,17,35,52
2013-11,Líbano,16,35,51
2013-12,Líbano,15,27,42
2014-01,Líbano,12,24,36
2014-02,Líbano,17,32,49
2014-03,Líbano,17,23,40
2014-04,Líbano,15,44,59
2014-05,Líbano,17,32,49
2014-06,Líbano,10,27,37
2014-07,Líbano,17,32,49
2014-08,Líbano,17,26,43
2014-09,Líbano,23,31,54
2014-10,Líbano,17,36,53
2014-11,Líbano,13,36,49
2014-12,Líbano,17,52,69
2015-01,Líbano,22,24,46
2015-02,Líbano,24,32,56
2015-03,Líbano,14,42,56
2015-04,Líbano,12,23,35
2015-05,Líbano,20,28,48
2015-06,Líbano,29,36,65
2015-07,Líbano,18,32,50
2015-08,Líbano,26,41,67
2015-09,Líbano,25,36,61
2015-10,Líbano,15,42,57
2015-11,Líbano,13,24,37
2015-12,Líbano,13,29,42
2016-01,Líbano,18,24,42
2016-02,Líbano,16,13,29
2016-03,Líbano,10,28,38
2016-04,Líbano,14,24,38
2016-05,Líbano,12,32,44
2016-06,Líbano,9,17,26
2016-07,Líbano,25,34,59
2016-08,Líbano,33,31,64
2016-09,Líbano,20,35,55
2016-10,Líbano,16,42,58
2016-11,Líbano,13,30,43
2016-12,Líbano,18,37,55
2017-01,Líbano,23,42,65
2017-02,Líbano,10,29,39
2017-03,Líbano,25,32,57
2017-04,Líbano,19,29,48
2017-05,Líbano,16,37,53
2017-06,Líbano,22,25,47
2017-07,Líbano,31,31,62
2017-08,Líbano,33,39,72
2017-09,Líbano,23,22,45
2017-10,Líbano,22,31,53
2017-11,Líbano,22,36,58
2017-12,Líbano,21,57,78
2018-01,Líbano,13,27,40
2018-02,Líbano,24,31,55
2018-03,Líbano,24,36,60
2018-04,Líbano,18,24,42
2018-05,Líbano,18,39,57
2018-06,Líbano,20,32,52
2018-07,Líbano,16,35,51
2018-08,Líbano,22,46,68
2018-09,Líbano,19,32,51
2018-10,Líbano,18,39,57
2018-11,Líbano,22,39,61
2018-12,Líbano,18,45,63
2019-01,Líbano,25,40,65
2019-02,Líbano,8,36,44
2019-03,Líbano,20,42,62
2019-04,Líbano,20,39,59
2019-05,Líbano,12,34,46
2019-06,Líbano,20,44,64
2019-07,Líbano,15,25,40
2019-08,Líbano,19,34,53
2019-09,Líbano,26,45,71
2019-10,Líbano,13,24,37
2019-11,Líbano,14,29,43
2019-12,Líbano,21,38,59
2020-01,Líbano,22,30,52
2020-02,Líbano,20,29,49
2020-03,Líbano,10,21,31
2020-07,Líbano,0,1,1
2020-09,Líbano,3,4,7
2020-10,Líbano,2,1,3
2020-11,Líbano,5,12,17
2020-12,Líbano,3,24,27
2021-01,Líbano,5,2,7
2021-02,Líbano,1,10,11
2021-03,Líbano,11,12,23
2021-04,Líbano,4,13,17
2021-05,Líbano,6,6,12
2021-06,Líbano,6,8,14
2021-07,Líbano,13,21,34
2021-08,Líbano,24,13,37
2021-09,Líbano,15,29,44
2021-10,Líbano,6,17,23
2021-11,Líbano,21,22,43
2021-12,Líbano,12,27,39
2022-01,Líbano,15,33,48
2022-02,Líbano,10,30,40
2022-03,Líbano,13,26,39
2022-04,Líbano,8,21,29
2022-05,Líbano,11,34,45
2022-06,Líbano,11,28,39
2022-07,Líbano,24,25,49
2022-08,Líbano,18,14,32
2022-09,Líbano,29,19,48
2022-10,Líbano,20,31,51
2022-11,Líbano,14,43,57
2022-12,Líbano,15,39,54
2023-01,Líbano,19,26,45
2023-02,Líbano,15,16,31
2023-03,Líbano,13,21,34
2023-04,Líbano,4,18,22
2023-05,Líbano,17,41,58
2023-06,Líbano,15,28,43
2023-07,Líbano,26,36,62
2023-08,Líbano,19,22,41
2023-09,Líbano,18,23,41
2023-10,Líbano,7,12,19
2023-11,Líbano,23,24,47
2023-12,Líbano,23,38,61
2024-01,Líbano,15,27,42
2024-02,Líbano,14,28,42
2024-03,Líbano,18,33,51
2024-04,Líbano,17,24,41
2024-05,Líbano,12,24,36
2024-06,Líbano,9,31,40
2024-07,Líbano,16,25,41
2024-08,Líbano,28,32,60
2024-09,Líbano,17,16,33
2024-10,Líbano,32,21,53
2024-11,Líbano,19,30,49
2024-12,Líbano,13,44,57
2025-01,Líbano,24,31,55
2025-02,Líbano,17,29,46
2025-03,Líbano,15,24,39
2025-04,Líbano,16,31,47
2025-05,Líbano,17,31,48
2025-06,Líbano,7,33,40
2025-07,Líbano,26,20,46
2025-08,Líbano,22,20,42
2025-09,Líbano,22,19,41
2025-10,Líbano,25,24,49
2025-11,Líbano,11,21,32
2025-12,Líbano,27,35,62
