Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Macedonia Del Norte,0,1,1
2012-02,Macedonia Del Norte,1,0,1
2012-03,Macedonia Del Norte,1,4,5
2012-04,Macedonia Del Norte,1,1,2
2012-05,Macedonia Del Norte,1,1,2
2012-06,Macedonia Del Norte,3,2,5
2012-07,Macedonia Del Norte,2,2,4
2012-09,Macedonia Del Norte,0,1,1
2012-10,Macedonia Del Norte,0,1,1
2012-11,Macedonia Del Norte,5,1,6
2012-12,Macedonia Del Norte,1,0,1
2013-01,Macedonia Del Norte,0,2,2
2013-02,Macedonia Del Norte,0,1,1
2013-03,Macedonia Del Norte,0,1,1
2013-04,Macedonia Del Norte,1,2,3
2013-05,Macedonia Del Norte,1,2,3
2013-06,Macedonia Del Norte,0,3,3
2013-07,Macedonia Del Norte,2,11,13
2013-08,Macedonia Del Norte,2,2,4
2013-09,Macedonia Del Norte,1,1,2
2013-10,Macedonia Del Norte,2,1,3
2013-12,Macedonia Del Norte,0,2,2
2014-01,Macedonia Del Norte,2,0,2
2014-02,Macedonia Del Norte,1,3,4
2014-03,Macedonia Del Norte,0,4,4
2014-04,Macedonia Del Norte,0,1,1
2014-05,Macedonia Del Norte,1,0,1
2014-07,Macedonia Del Norte,1,5,6
2014-08,Macedonia Del Norte,3,3,6
2014-09,Macedonia Del Norte,1,0,1
2014-11,Macedonia Del Norte,2,2,4
2014-12,Macedonia Del Norte,0,2,2
2015-01,Macedonia Del Norte,2,1,3
2015-02,Macedonia Del Norte,1,2,3
2015-03,Macedonia Del Norte,0,5,5
2015-04,Macedonia Del Norte,1,1,2
2015-05,Macedonia Del Norte,0,3,3
2015-06,Macedonia Del Norte,0,2,2
2015-07,Macedonia Del Norte,4,5,9
2015-08,Macedonia Del Norte,0,1,1
2015-09,Macedonia Del Norte,0,1,1
2015-10,Macedonia Del Norte,0,3,3
2015-11,Macedonia Del Norte,0,4,4
2015-12,Macedonia Del Norte,1,3,4
2016-01,Macedonia Del Norte,2,3,5
2016-02,Macedonia Del Norte,1,2,3
2016-03,Macedonia Del Norte,1,3,4
2016-04,Macedonia Del Norte,2,0,2
2016-05,Macedonia Del Norte,1,2,3
2016-06,Macedonia Del Norte,0,4,4
2016-07,Macedonia Del Norte,1,3,4
2016-08,Macedonia Del Norte,1,2,3
2016-09,Macedonia Del Norte,1,3,4
2016-10,Macedonia Del Norte,1,1,2
2016-11,Macedonia Del Norte,1,3,4
2017-01,Macedonia Del Norte,1,5,6
2017-02,Macedonia Del Norte,2,0,2
2017-03,Macedonia Del Norte,2,2,4
2017-04,Macedonia Del Norte,2,6,8
2017-05,Macedonia Del Norte,2,3,5
2017-06,Macedonia Del Norte,0,4,4
2017-07,Macedonia Del Norte,2,3,5
2017-08,Macedonia Del Norte,1,0,1
2017-09,Macedonia Del Norte,1,3,4
2017-10,Macedonia Del Norte,0,9,9
2017-11,Macedonia Del Norte,1,4,5
2017-12,Macedonia Del Norte,3,5,8
2018-01,Macedonia Del Norte,0,2,2
2018-02,Macedonia Del Norte,0,4,4
2018-03,Macedonia Del Norte,1,3,4
2018-04,Macedonia Del Norte,2,4,6
2018-05,Macedonia Del Norte,1,3,4
2018-06,Macedonia Del Norte,1,4,5
2018-07,Macedonia Del Norte,1,2,3
