Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Malasia,13,17,30
2012-02,Malasia,9,26,35
2012-03,Malasia,7,22,29
2012-04,Malasia,7,22,29
2012-05,Malasia,12,28,40
2012-06,Malasia,11,27,38
2012-07,Malasia,7,19,26
2012-08,Malasia,10,24,34
2012-09,Malasia,26,71,97
2012-10,Malasia,15,20,35
2012-11,Malasia,13,20,33
2012-12,Malasia,11,27,38
2013-01,Malasia,10,12,22
2013-02,Malasia,16,21,37
2013-03,Malasia,15,28,43
2013-04,Malasia,10,35,45
2013-05,Malasia,8,35,43
2013-06,Malasia,10,24,34
2013-07,Malasia,19,50,69
2013-08,Malasia,13,20,33
2013-09,Malasia,13,28,41
2013-10,Malasia,12,33,45
2013-11,Malasia,18,22,40
2013-12,Malasia,22,29,51
2014-01,Malasia,9,11,20
2014-02,Malasia,16,32,48
2014-03,Malasia,13,30,43
2014-04,Malasia,24,41,65
2014-05,Malasia,15,28,43
2014-06,Malasia,17,32,49
2014-07,Malasia,14,29,43
2014-08,Malasia,22,27,49
2014-09,Malasia,14,36,50
2014-10,Malasia,16,24,40
2014-11,Malasia,11,40,51
2014-12,Malasia,24,39,63
2015-01,Malasia,16,21,37
2015-02,Malasia,12,14,26
2015-03,Malasia,14,37,51
2015-04,Malasia,18,39,57
2015-05,Malasia,8,23,31
2015-06,Malasia,16,27,43
2015-07,Malasia,22,36,58
2015-08,Malasia,23,46,69
2015-09,Malasia,17,72,89
2015-10,Malasia,21,40,61
2015-11,Malasia,29,32,61
2015-12,Malasia,24,21,45
2016-01,Malasia,24,35,59
2016-02,Malasia,33,25,58
2016-03,Malasia,16,29,45
2016-04,Malasia,16,26,42
2016-05,Malasia,17,36,53
2016-06,Malasia,22,34,56
2016-07,Malasia,14,16,30
2016-08,Malasia,12,20,32
2016-09,Malasia,18,50,68
2016-10,Malasia,15,32,47
2016-11,Malasia,37,41,78
2016-12,Malasia,22,31,53
2017-01,Malasia,14,30,44
2017-02,Malasia,10,31,41
2017-03,Malasia,24,35,59
2017-04,Malasia,12,30,42
2017-05,Malasia,9,30,39
2017-06,Malasia,12,33,45
2017-07,Malasia,16,34,50
2017-08,Malasia,19,15,34
2017-09,Malasia,12,37,49
2017-10,Malasia,26,37,63
2017-11,Malasia,25,33,58
2017-12,Malasia,31,24,55
2018-01,Malasia,17,26,43
2018-02,Malasia,27,22,49
2018-03,Malasia,31,34,65
2018-04,Malasia,39,53,93
2018-05,Malasia,37,39,77
2018-06,Malasia,31,27,58
2018-07,Malasia,24,37,61
2018-08,Malasia,22,30,52
2018-09,Malasia,18,76,94
2018-10,Malasia,30,39,69
2018-11,Malasia,23,39,63
2018-12,Malasia,28,45,74
2019-01,Malasia,17,22,39
2019-02,Malasia,14,9,23
2019-03,Malasia,15,22,37
2019-04,Malasia,15,20,35
2019-05,Malasia,24,30,54
2019-06,Malasia,12,22,34
2019-07,Malasia,19,23,42
2019-08,Malasia,24,14,38
2019-09,Malasia,16,25,43
2019-10,Malasia,25,37,65
2019-11,Malasia,10,25,36
2019-12,Malasia,8,20,29
2020-01,Malasia,21,13,34
2020-02,Malasia,20,18,38
2020-03,Malasia,7,11,18
2020-06,Malasia,0,1,1
2020-09,Malasia,0,1,1
2020-10,Malasia,2,0,2
2020-11,Malasia,2,0,2
2020-12,Malasia,1,0,1
2021-01,Malasia,2,2,4
2021-02,Malasia,1,0,1
2021-03,Malasia,2,5,7
2021-04,Malasia,1,0,1
2021-05,Malasia,4,0,4
2021-06,Malasia,0,2,2
2021-07,Malasia,4,3,7
2021-08,Malasia,5,4,9
2021-09,Malasia,4,13,18
2021-10,Malasia,4,6,10
2021-11,Malasia,10,8,18
2021-12,Malasia,6,9,16
2022-01,Malasia,6,2,8
2022-02,Malasia,5,5,10
2022-03,Malasia,6,14,20
2022-04,Malasia,10,12,22
2022-05,Malasia,6,15,21
2022-06,Malasia,9,19,28
2022-07,Malasia,4,19,23
2022-08,Malasia,8,11,19
2022-09,Malasia,11,36,47
2022-10,Malasia,12,25,37
2022-11,Malasia,24,22,46
2022-12,Malasia,9,4,13
2023-01,Malasia,16,18,34
2023-02,Malasia,15,15,30
2023-03,Malasia,18,31,49
2023-04,Malasia,16,13,29
2023-05,Malasia,13,37,50
2023-06,Malasia,14,24,38
2023-07,Malasia,19,42,61
2023-08,Malasia,16,46,62
2023-09,Malasia,7,17,25
2023-10,Malasia,19,12,31
2023-11,Malasia,11,107,118
2023-12,Malasia,21,62,83
2024-01,Malasia,13,56,69
2024-02,Malasia,11,19,30
2024-03,Malasia,15,28,43
2024-04,Malasia,15,21,36
2024-05,Malasia,16,66,82
2024-06,Malasia,10,73,83
2024-07,Malasia,16,61,78
2024-08,Malasia,29,41,70
2024-09,Malasia,43,62,105
2024-10,Malasia,39,65,107
2024-11,Malasia,8,49,57
2024-12,Malasia,14,36,50
2025-01,Malasia,6,22,28
2025-02,Malasia,12,38,50
2025-03,Malasia,15,35,50
2025-04,Malasia,12,21,33
2025-05,Malasia,27,44,72
2025-06,Malasia,16,18,36
2025-07,Malasia,11,23,34
2025-08,Malasia,26,40,66
2025-09,Malasia,25,75,100
2025-10,Malasia,18,20,38
2025-11,Malasia,24,26,50
2025-12,Malasia,19,20,39
