Fecha,Nacionalidad,Femenino,Masculino,Total
2012-03,Malawi,2,0,2
2012-04,Malawi,0,1,1
2012-05,Malawi,1,0,1
2012-08,Malawi,0,1,1
2012-10,Malawi,0,1,1
2012-11,Malawi,0,1,1
2013-01,Malawi,0,1,1
2013-02,Malawi,1,0,1
2013-08,Malawi,0,1,1
2013-09,Malawi,1,2,3
2013-10,Malawi,2,5,7
2014-02,Malawi,0,1,1
2014-04,Malawi,2,4,6
2014-06,Malawi,0,1,1
2014-08,Malawi,0,1,1
2014-09,Malawi,0,1,1
2015-02,Malawi,1,0,1
2015-04,Malawi,0,1,1
2015-06,Malawi,0,1,1
2015-08,Malawi,3,5,8
2016-01,Malawi,1,0,1
2016-03,Malawi,0,1,1
2016-10,Malawi,0,2,2
2016-11,Malawi,1,2,3
2017-01,Malawi,3,1,4
2017-03,Malawi,1,2,3
2017-04,Malawi,0,1,1
2017-05,Malawi,0,1,1
2017-07,Malawi,2,0,2
2017-08,Malawi,0,3,3
2017-09,Malawi,0,2,2
2017-10,Malawi,1,1,2
2017-11,Malawi,2,1,3
2018-01,Malawi,0,1,1
2018-02,Malawi,3,1,4
2018-03,Malawi,1,2,3
2018-04,Malawi,0,2,2
2018-06,Malawi,0,3,3
2018-08,Malawi,0,2,2
2018-09,Malawi,2,1,3
2018-10,Malawi,0,2,2
2018-11,Malawi,1,1,2
2018-12,Malawi,0,1,1
2019-02,Malawi,0,1,1
2019-04,Malawi,0,1,1
2019-06,Malawi,0,1,1
2019-07,Malawi,0,1,1
2019-09,Malawi,0,1,1
2019-10,Malawi,0,1,1
2019-11,Malawi,0,1,1
2020-01,Malawi,1,1,2
2020-02,Malawi,0,1,1
2020-03,Malawi,1,0,1
2020-12,Malawi,0,1,1
2021-09,Malawi,1,0,1
2022-01,Malawi,0,1,1
2022-04,Malawi,0,1,1
2022-05,Malawi,1,0,1
2022-07,Malawi,1,1,2
2022-09,Malawi,2,2,4
2022-10,Malawi,1,5,6
2022-11,Malawi,2,0,2
2022-12,Malawi,0,1,1
2023-01,Malawi,1,2,3
2023-02,Malawi,87,136,223
2023-06,Malawi,0,1,1
2023-07,Malawi,0,1,1
2023-11,Malawi,0,1,1
2023-12,Malawi,2,6,8
2024-02,Malawi,1,1,2
2024-03,Malawi,2,4,6
2024-04,Malawi,0,4,4
2024-05,Malawi,0,2,2
2024-06,Malawi,1,0,1
2024-07,Malawi,2,0,2
2024-08,Malawi,0,1,1
2024-09,Malawi,1,2,3
2024-10,Malawi,6,13,19
2024-11,Malawi,6,3,9
2025-01,Malawi,0,1,1
2025-02,Malawi,0,4,4
2025-03,Malawi,1,1,2
2025-06,Malawi,1,5,6
2025-09,Malawi,1,4,5
2025-10,Malawi,7,1,8
2025-11,Malawi,7,11,18
2025-12,Malawi,0,1,1
