Fecha,Nacionalidad,Femenino,Masculino,Total
2013-08,Maldivas,0,1,1
2014-04,Maldivas,2,0,2
2015-09,Maldivas,0,3,3
2016-10,Maldivas,1,0,1
2017-07,Maldivas,0,1,1
2017-10,Maldivas,1,0,1
2017-12,Maldivas,0,1,1
2018-03,Maldivas,1,0,1
2018-04,Maldivas,1,0,1
2018-06,Maldivas,1,0,1
2018-09,Maldivas,1,0,1
2019-02,Maldivas,0,1,1
2020-02,Maldivas,1,0,1
2020-11,Maldivas,1,0,1
2022-05,Maldivas,1,0,1
2022-06,Maldivas,0,1,1
2022-08,Maldivas,0,3,3
2022-10,Maldivas,0,1,1
2022-11,Maldivas,2,1,3
2022-12,Maldivas,1,0,1
2023-01,Maldivas,0,1,1
2023-04,Maldivas,0,1,1
2023-07,Maldivas,0,1,1
2023-09,Maldivas,0,1,1
2023-12,Maldivas,1,0,1
2024-04,Maldivas,1,1,2
2024-07,Maldivas,0,1,1
2024-10,Maldivas,3,5,8
2024-11,Maldivas,3,1,4
2024-12,Maldivas,1,0,1
2025-04,Maldivas,0,1,1
2025-08,Maldivas,1,0,1
2025-09,Maldivas,0,2,2
