Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Malta,2,3,5
2012-02,Malta,1,2,3
2012-03,Malta,1,6,7
2012-04,Malta,0,5,5
2012-05,Malta,2,5,7
2012-06,Malta,2,1,3
2012-07,Malta,1,2,3
2012-08,Malta,2,2,4
2012-09,Malta,0,2,2
2012-10,Malta,2,0,2
2012-11,Malta,0,2,2
2012-12,Malta,1,5,6
2013-01,Malta,0,1,1
2013-02,Malta,4,4,8
2013-03,Malta,1,6,7
2013-04,Malta,1,5,6
2013-05,Malta,0,8,8
2013-06,Malta,1,1,2
2013-07,Malta,1,4,5
2013-08,Malta,3,1,4
2013-09,Malta,4,2,6
2013-10,Malta,2,8,10
2013-11,Malta,1,6,7
2013-12,Malta,4,6,10
2014-01,Malta,5,10,15
2014-02,Malta,2,10,12
2014-03,Malta,2,4,6
2014-04,Malta,5,5,10
2014-05,Malta,1,4,5
2014-06,Malta,2,10,12
2014-07,Malta,5,8,13
2014-08,Malta,3,5,8
2014-09,Malta,3,5,8
2014-10,Malta,1,9,10
2014-11,Malta,1,4,5
2014-12,Malta,2,7,9
2015-01,Malta,2,14,16
2015-02,Malta,5,4,9
2015-03,Malta,2,8,10
2015-04,Malta,2,12,14
2015-05,Malta,0,5,5
2015-06,Malta,1,7,8
2015-07,Malta,4,4,8
2015-08,Malta,5,7,12
2015-09,Malta,4,8,12
2015-10,Malta,3,8,11
2015-11,Malta,2,15,17
2015-12,Malta,9,19,28
2016-01,Malta,12,14,26
2016-02,Malta,9,23,32
2016-03,Malta,5,15,20
2016-04,Malta,5,6,11
2016-05,Malta,4,13,17
2016-06,Malta,9,14,23
2016-07,Malta,5,13,18
2016-08,Malta,6,9,15
2016-09,Malta,7,12,19
2016-10,Malta,2,9,11
2016-11,Malta,2,7,9
2016-12,Malta,4,12,16
2017-01,Malta,6,12,18
2017-02,Malta,10,14,24
2017-03,Malta,2,6,8
2017-04,Malta,4,21,25
2017-05,Malta,6,8,14
2017-06,Malta,6,10,16
2017-07,Malta,8,10,18
2017-08,Malta,21,15,36
2017-09,Malta,7,12,19
2017-10,Malta,4,12,16
2017-11,Malta,9,11,20
2017-12,Malta,7,23,30
2018-01,Malta,7,14,21
2018-02,Malta,8,17,25
2018-03,Malta,5,15,20
2018-04,Malta,1,5,6
2018-05,Malta,3,7,10
2018-06,Malta,2,9,11
2018-07,Malta,3,7,10
2018-08,Malta,11,17,28
2018-09,Malta,1,4,5
2018-10,Malta,5,11,16
2018-11,Malta,9,8,17
2018-12,Malta,18,33,51
2019-01,Malta,7,13,20
2019-02,Malta,8,16,24
2019-03,Malta,5,9,14
2019-04,Malta,4,9,13
2019-05,Malta,3,14,17
2019-06,Malta,3,11,14
2019-07,Malta,6,7,13
2019-08,Malta,6,7,13
2019-09,Malta,11,16,27
2019-10,Malta,5,9,14
2019-11,Malta,4,10,14
2019-12,Malta,7,24,31
2020-01,Malta,13,17,30
2020-02,Malta,14,23,37
2020-03,Malta,2,4,6
2020-10,Malta,0,3,3
2020-11,Malta,0,3,3
2020-12,Malta,0,6,6
2021-01,Malta,1,2,3
2021-02,Malta,0,1,1
2021-03,Malta,0,5,5
2021-04,Malta,1,1,2
2021-05,Malta,0,2,2
2021-06,Malta,1,0,1
2021-07,Malta,0,2,2
2021-08,Malta,0,3,3
2021-09,Malta,1,2,3
2021-11,Malta,7,13,20
2021-12,Malta,5,16,21
2022-01,Malta,3,14,17
2022-02,Malta,11,22,33
2022-03,Malta,19,20,39
2022-04,Malta,5,18,23
2022-05,Malta,6,7,13
2022-06,Malta,8,13,21
2022-07,Malta,11,17,28
2022-08,Malta,4,11,15
2022-09,Malta,6,17,23
2022-10,Malta,3,13,16
2022-11,Malta,7,13,20
2022-12,Malta,17,26,43
2023-01,Malta,13,18,31
2023-03,Malta,19,33,52
2023-04,Malta,5,7,12
2023-05,Malta,2,12,14
2023-06,Malta,10,13,23
2023-07,Malta,8,18,26
2023-08,Malta,6,19,25
2023-09,Malta,16,23,39
2023-10,Malta,6,7,13
2023-11,Malta,6,13,19
2023-12,Malta,19,33,52
2024-01,Malta,32,57,89
2024-02,Malta,14,25,39
2024-03,Malta,7,27,34
2024-04,Malta,5,13,18
2024-05,Malta,5,18,23
2024-06,Malta,4,15,19
2024-07,Malta,33,29,62
2024-08,Malta,19,29,48
2024-09,Malta,7,19,26
2024-10,Malta,6,21,27
2024-11,Malta,8,27,35
2024-12,Malta,30,56,86
2025-01,Malta,12,56,68
2025-02,Malta,26,35,61
2025-03,Malta,7,26,33
2025-04,Malta,13,19,32
2025-05,Malta,6,17,23
2025-06,Malta,9,9,18
2025-07,Malta,7,18,25
2025-08,Malta,39,23,62
2025-09,Malta,14,27,41
2025-10,Malta,5,15,20
2025-11,Malta,11,28,39
2025-12,Malta,24,55,79
