Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Marruecos,2,6,8
2012-02,Marruecos,1,9,10
2012-03,Marruecos,6,10,16
2012-04,Marruecos,4,6,10
2012-05,Marruecos,2,5,7
2012-06,Marruecos,3,6,9
2012-07,Marruecos,5,13,18
2012-08,Marruecos,4,11,15
2012-09,Marruecos,11,7,18
2012-10,Marruecos,3,7,10
2012-11,Marruecos,0,5,5
2012-12,Marruecos,1,8,9
2013-01,Marruecos,1,15,16
2013-02,Marruecos,4,6,10
2013-03,Marruecos,4,9,13
2013-04,Marruecos,2,16,18
2013-05,Marruecos,2,7,9
2013-06,Marruecos,3,10,13
2013-07,Marruecos,5,18,23
2013-08,Marruecos,2,8,10
2013-09,Marruecos,7,8,15
2013-10,Marruecos,4,8,12
2013-11,Marruecos,4,14,18
2013-12,Marruecos,9,9,18
2014-01,Marruecos,4,15,19
2014-02,Marruecos,4,15,19
2014-03,Marruecos,1,7,8
2014-04,Marruecos,7,14,21
2014-05,Marruecos,8,15,23
2014-06,Marruecos,1,14,15
2014-07,Marruecos,2,13,15
2014-08,Marruecos,12,18,30
2014-09,Marruecos,11,6,17
2014-10,Marruecos,1,9,10
2014-11,Marruecos,1,11,12
2014-12,Marruecos,5,20,25
2015-01,Marruecos,7,8,15
2015-02,Marruecos,8,15,23
2015-03,Marruecos,4,11,15
2015-04,Marruecos,7,13,20
2015-05,Marruecos,8,9,17
2015-06,Marruecos,14,8,22
2015-07,Marruecos,6,26,32
2015-08,Marruecos,4,13,17
2015-09,Marruecos,12,20,32
2015-10,Marruecos,8,12,20
2015-11,Marruecos,5,25,30
2015-12,Marruecos,8,21,29
2016-01,Marruecos,12,23,35
2016-02,Marruecos,9,12,21
2016-03,Marruecos,5,20,25
2016-04,Marruecos,10,8,18
2016-05,Marruecos,4,10,14
2016-06,Marruecos,6,6,12
2016-07,Marruecos,13,23,36
2016-08,Marruecos,17,26,43
2016-09,Marruecos,9,48,57
2016-10,Marruecos,14,42,56
2016-11,Marruecos,6,13,19
2016-12,Marruecos,12,27,39
2017-01,Marruecos,7,16,23
2017-02,Marruecos,14,20,34
2017-03,Marruecos,4,14,18
2017-04,Marruecos,14,20,34
2017-05,Marruecos,8,14,22
2017-06,Marruecos,2,14,16
2017-07,Marruecos,20,15,35
2017-08,Marruecos,9,21,30
2017-09,Marruecos,12,27,39
2017-10,Marruecos,15,17,32
2017-11,Marruecos,5,22,27
2017-12,Marruecos,15,23,38
2018-01,Marruecos,15,19,34
2018-02,Marruecos,13,19,32
2018-03,Marruecos,12,14,26
2018-04,Marruecos,15,20,35
2018-05,Marruecos,6,12,18
2018-06,Marruecos,13,18,31
2018-07,Marruecos,18,24,42
2018-08,Marruecos,16,35,51
2018-09,Marruecos,20,25,45
2018-10,Marruecos,11,17,28
2018-11,Marruecos,21,24,45
2018-12,Marruecos,25,29,54
2019-01,Marruecos,13,15,28
2019-02,Marruecos,23,30,53
2019-03,Marruecos,26,35,61
2019-04,Marruecos,17,19,36
2019-05,Marruecos,18,15,33
2019-06,Marruecos,10,28,38
2019-07,Marruecos,17,27,44
2019-08,Marruecos,31,41,72
2019-09,Marruecos,13,22,35
2019-10,Marruecos,15,21,36
2019-11,Marruecos,12,32,44
2019-12,Marruecos,24,37,61
2020-01,Marruecos,23,29,52
2020-02,Marruecos,20,33,53
2020-03,Marruecos,9,10,19
2020-04,Marruecos,4,0,4
2020-06,Marruecos,0,1,1
2020-08,Marruecos,1,1,2
