Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Mongolia,1,0,1
2012-05,Mongolia,1,1,2
2012-06,Mongolia,1,0,1
2012-08,Mongolia,0,1,1
2012-09,Mongolia,1,0,1
2012-10,Mongolia,2,1,3
2012-12,Mongolia,1,0,1
2013-01,Mongolia,2,0,2
2013-02,Mongolia,1,0,1
2013-03,Mongolia,2,8,10
2013-07,Mongolia,5,25,30
2013-08,Mongolia,0,1,1
2013-09,Mongolia,2,0,2
2013-10,Mongolia,2,3,5
2013-11,Mongolia,0,1,1
2013-12,Mongolia,0,1,1
2014-01,Mongolia,1,0,1
2014-02,Mongolia,1,1,2
2014-03,Mongolia,1,0,1
2014-05,Mongolia,0,1,1
2014-06,Mongolia,0,2,2
2014-07,Mongolia,1,0,1
2014-09,Mongolia,0,3,3
2014-10,Mongolia,3,0,3
2014-11,Mongolia,2,0,2
2014-12,Mongolia,0,1,1
2015-01,Mongolia,3,0,3
2015-02,Mongolia,1,1,2
2015-03,Mongolia,1,2,3
2015-04,Mongolia,1,0,1
2015-05,Mongolia,3,2,5
2015-06,Mongolia,2,2,4
2015-07,Mongolia,0,1,1
2015-08,Mongolia,4,3,7
2015-09,Mongolia,7,5,12
2015-10,Mongolia,1,0,1
2015-11,Mongolia,1,1,2
2015-12,Mongolia,1,1,2
2016-01,Mongolia,0,1,1
2016-02,Mongolia,2,0,2
2016-05,Mongolia,1,0,1
2016-07,Mongolia,3,0,3
2016-08,Mongolia,0,1,1
2016-10,Mongolia,0,2,2
2016-11,Mongolia,1,1,2
2016-12,Mongolia,1,1,2
2017-01,Mongolia,3,0,3
2017-02,Mongolia,4,1,5
2017-03,Mongolia,2,6,8
2017-05,Mongolia,1,0,1
2017-06,Mongolia,5,5,10
2017-07,Mongolia,3,2,5
2017-08,Mongolia,3,0,3
2017-10,Mongolia,2,1,3
2017-11,Mongolia,1,3,4
2017-12,Mongolia,1,1,2
2018-01,Mongolia,4,2,6
2018-02,Mongolia,1,0,1
2018-04,Mongolia,1,0,1
2018-05,Mongolia,4,11,15
2018-06,Mongolia,2,0,2
2018-07,Mongolia,8,1,9
2018-08,Mongolia,4,0,4
2018-09,Mongolia,4,5,9
2018-10,Mongolia,3,1,4
2018-11,Mongolia,1,0,1
2018-12,Mongolia,2,1,3
2019-01,Mongolia,4,2,6
2019-02,Mongolia,1,1,2
2019-03,Mongolia,3,1,4
2019-04,Mongolia,2,0,2
2019-05,Mongolia,1,4,5
2019-06,Mongolia,1,6,7
2019-07,Mongolia,1,0,1
2019-08,Mongolia,1,0,1
2019-09,Mongolia,1,2,3
2019-10,Mongolia,1,2,3
2019-12,Mongolia,6,5,11
2020-02,Mongolia,0,2,2
2021-02,Mongolia,2,0,2
2021-08,Mongolia,1,0,1
2021-11,Mongolia,1,2,3
2021-12,Mongolia,0,1,1
2022-01,Mongolia,2,1,3
2022-02,Mongolia,0,2,2
2022-04,Mongolia,1,1,2
2022-05,Mongolia,5,0,5
2022-06,Mongolia,1,1,2
2022-07,Mongolia,1,0,1
2022-08,Mongolia,3,0,3
2022-09,Mongolia,1,0,1
2022-10,Mongolia,5,0,5
2022-11,Mongolia,3,2,5
2022-12,Mongolia,6,3,9
2023-01,Mongolia,1,0,1
2023-02,Mongolia,3,1,4
2023-04,Mongolia,0,1,1
2023-05,Mongolia,0,2,2
2023-06,Mongolia,1,0,1
2023-08,Mongolia,0,1,1
2023-09,Mongolia,4,0,4
2023-10,Mongolia,1,0,1
2023-11,Mongolia,1,1,2
2023-12,Mongolia,5,1,6
2024-01,Mongolia,2,1,3
2024-03,Mongolia,1,0,1
2024-04,Mongolia,0,2,2
2024-05,Mongolia,1,0,1
2024-06,Mongolia,1,2,3
2024-07,Mongolia,2,0,2
2024-08,Mongolia,1,0,1
2024-09,Mongolia,1,0,1
2024-10,Mongolia,2,5,7
2024-11,Mongolia,7,6,13
2024-12,Mongolia,1,3,4
2025-01,Mongolia,6,1,7
2025-03,Mongolia,5,2,7
2025-04,Mongolia,1,0,1
2025-05,Mongolia,1,1,2
2025-06,Mongolia,5,3,8
2025-07,Mongolia,1,1,2
2025-08,Mongolia,0,2,2
2025-10,Mongolia,2,4,6
2025-11,Mongolia,1,1,2
2025-12,Mongolia,2,0,2
