Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Myanmar,1,0,1
2012-02,Myanmar,1,1,2
2012-03,Myanmar,1,0,1
2012-05,Myanmar,0,1,1
2012-07,Myanmar,0,1,1
2012-10,Myanmar,0,1,1
2013-01,Myanmar,0,2,2
2013-03,Myanmar,1,1,2
2013-04,Myanmar,0,2,2
2013-06,Myanmar,2,3,5
2013-08,Myanmar,2,3,5
2013-10,Myanmar,0,3,3
2013-11,Myanmar,0,1,1
2013-12,Myanmar,0,53,53
2014-02,Myanmar,2,17,19
2014-04,Myanmar,4,10,14
2014-05,Myanmar,3,0,3
2014-06,Myanmar,1,1,2
2014-08,Myanmar,0,3,3
2014-09,Myanmar,0,3,3
2014-10,Myanmar,1,2,3
2014-11,Myanmar,1,7,8
2014-12,Myanmar,0,10,10
2015-01,Myanmar,0,4,4
2015-02,Myanmar,0,2,2
2015-03,Myanmar,0,2,2
2015-04,Myanmar,1,3,4
2015-05,Myanmar,1,0,1
2015-06,Myanmar,0,3,3
2015-08,Myanmar,1,3,4
2015-09,Myanmar,0,1,1
2015-10,Myanmar,1,2,3
2015-11,Myanmar,1,1,2
2015-12,Myanmar,3,19,22
2016-01,Myanmar,0,4,4
2016-02,Myanmar,1,9,10
2016-04,Myanmar,0,4,4
2016-05,Myanmar,0,1,1
2016-06,Myanmar,1,3,4
2016-07,Myanmar,2,3,5
2016-08,Myanmar,0,4,4
2016-09,Myanmar,1,1,2
2016-10,Myanmar,0,1,1
2016-11,Myanmar,1,15,16
2016-12,Myanmar,0,1,1
2017-01,Myanmar,0,6,6
2017-03,Myanmar,0,1,1
2017-04,Myanmar,0,19,19
2017-05,Myanmar,1,2,3
2017-06,Myanmar,1,1,2
2017-07,Myanmar,4,10,14
2017-08,Myanmar,0,2,2
2017-09,Myanmar,0,3,3
2017-10,Myanmar,9,20,29
2017-11,Myanmar,0,1,1
2017-12,Myanmar,2,5,7
2018-01,Myanmar,0,4,4
2018-02,Myanmar,1,6,7
2018-03,Myanmar,1,23,24
2018-04,Myanmar,1,0,1
2018-05,Myanmar,3,12,15
2018-06,Myanmar,0,4,4
2018-07,Myanmar,7,13,20
2018-08,Myanmar,0,7,7
2018-09,Myanmar,0,3,3
2018-10,Myanmar,1,6,7
2018-11,Myanmar,2,14,16
2018-12,Myanmar,1,3,4
2019-01,Myanmar,0,7,7
2019-02,Myanmar,1,37,38
2019-03,Myanmar,4,22,26
2019-04,Myanmar,0,19,19
2019-05,Myanmar,0,1,1
2019-06,Myanmar,2,1,3
2019-07,Myanmar,1,1,2
2019-08,Myanmar,2,26,28
2019-09,Myanmar,3,15,19
2019-10,Myanmar,0,24,24
2019-11,Myanmar,0,16,16
2019-12,Myanmar,2,1,3
2020-01,Myanmar,0,16,16
2020-02,Myanmar,1,8,9
2020-03,Myanmar,1,4,5
2020-05,Myanmar,0,1,1
2020-11,Myanmar,0,1,1
2020-12,Myanmar,2,17,19
2021-02,Myanmar,0,1,1
2021-03,Myanmar,1,1,2
2021-04,Myanmar,1,1,2
2021-05,Myanmar,0,1,1
2021-06,Myanmar,1,0,1
2021-07,Myanmar,0,1,1
2021-08,Myanmar,0,1,1
2021-09,Myanmar,0,20,20
2021-10,Myanmar,1,12,13
2021-11,Myanmar,3,11,14
2022-01,Myanmar,0,2,2
2022-02,Myanmar,0,2,2
2022-03,Myanmar,2,0,2
2022-04,Myanmar,2,24,26
2022-05,Myanmar,2,8,10
2022-07,Myanmar,1,27,28
2022-08,Myanmar,0,5,5
2022-09,Myanmar,0,9,9
2022-10,Myanmar,2,24,26
2022-11,Myanmar,0,33,33
2022-12,Myanmar,1,37,38
2023-01,Myanmar,1,4,5
2023-02,Myanmar,2,24,26
2023-03,Myanmar,0,37,37
2023-04,Myanmar,1,46,47
2023-05,Myanmar,0,37,37
2023-06,Myanmar,0,64,64
2023-07,Myanmar,1,81,82
2023-08,Myanmar,1,71,72
2023-09,Myanmar,1,80,81
2023-10,Myanmar,1,73,74
2023-11,Myanmar,2,67,69
2023-12,Myanmar,3,84,87
2024-01,Myanmar,1,79,80
2024-02,Myanmar,1,39,40
2024-03,Myanmar,1,23,24
2024-04,Myanmar,1,48,49
2024-05,Myanmar,3,66,69
2024-06,Myanmar,0,77,77
2024-07,Myanmar,1,62,63
2024-08,Myanmar,2,62,64
2024-09,Myanmar,1,52,53
2024-10,Myanmar,2,54,56
2024-11,Myanmar,1,101,102
2024-12,Myanmar,2,12,14
2025-01,Myanmar,1,22,24
2025-02,Myanmar,0,83,83
2025-03,Myanmar,6,91,97
2025-04,Myanmar,1,5,6
2025-05,Myanmar,4,46,50
2025-06,Myanmar,1,47,48
2025-07,Myanmar,5,42,47
2025-08,Myanmar,1,80,81
2025-09,Myanmar,3,41,44
2025-10,Myanmar,5,29,34
2025-11,Myanmar,4,34,39
2025-12,Myanmar,1,31,32
