Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,México,261,645,907
2012-02,México,225,547,773
2012-03,México,258,620,878
2012-04,México,336,731,1068
2012-05,México,254,683,938
2012-06,México,245,599,845
2012-07,México,504,870,1375
2012-08,México,343,863,1206
2012-09,México,354,894,1249
2012-10,México,385,914,1300
2012-11,México,335,868,1204
2012-12,México,546,966,1513
2013-01,México,297,855,1153
2013-02,México,262,761,1023
2013-03,México,362,778,1141
2013-04,México,300,830,1130
2013-05,México,544,1117,1661
2013-06,México,410,1034,1445
2013-07,México,926,1578,1346
2013-08,México,552,1192,1744
2013-09,México,362,924,1286
2013-10,México,298,805,1103
2013-11,México,1001,1445,2447
2013-12,México,496,975,1472
2014-01,México,311,801,1113
2014-02,México,294,727,1022
2014-03,México,327,834,1161
2014-04,México,492,929,1422
2014-05,México,273,743,1017
2014-06,México,308,647,956
2014-07,México,671,1041,1712
2014-08,México,470,975,1445
2014-09,México,354,792,1147
2014-10,México,407,891,1299
2014-11,México,367,911,1279
2014-12,México,547,943,1490
2015-01,México,347,773,1121
2015-02,México,478,877,1356
2015-03,México,563,1317,676
2015-04,México,618,1197,1816
2015-05,México,601,1245,746
2015-06,México,776,519,817
2015-07,México,1336,684,1192
2015-08,México,1151,691,1067
2015-09,México,924,604,939
2015-10,México,834,524,820
2015-11,México,820,650,951
2015-12,México,1091,697,1194
2016-01,México,761,575,901
2016-02,México,478,1251,689
2016-03,México,883,1707,1124
2016-04,México,833,1697,1280
2016-05,México,778,1616,1095
2016-06,México,1204,1100,764
2016-07,México,1615,1104,905
2016-08,México,1100,865,1412
2016-09,México,963,858,1333
2016-10,México,850,777,1183
2016-11,México,787,751,1119
2016-12,México,908,1704,1152
2017-01,México,749,655,967
2017-02,México,728,562,839
2017-03,México,820,674,1064
2017-04,México,1222,898,1524
2017-05,México,1039,836,1393
2017-06,México,1044,951,1504
2017-07,México,1389,880,1569
2017-08,México,1207,780,1282
2017-09,México,1156,847,1368
2017-10,México,1249,1016,1618
2017-11,México,1263,832,1338
2017-12,México,1298,795,1408
2018-01,México,921,647,1012
2018-02,México,873,672,1031
2018-03,México,1285,823,1342
2018-04,México,1043,688,1119
2018-05,México,1281,911,558
2018-06,México,1099,795,1307
2018-07,México,1900,1322,2279
2018-08,México,1137,703,1173
2018-09,México,1036,816,1251
2018-10,México,1061,733,1199
2018-11,México,1092,824,1331
2018-12,México,1246,899,1499
2019-01,México,971,759,1276
2019-02,México,871,1774,1373
2019-03,México,1152,1056,679
2019-04,México,1160,927,1529
2019-05,México,1027,928,1496
2019-06,México,403,788,1193
2019-07,México,787,914,1703
2019-08,México,542,835,1378
2019-09,México,511,807,1318
2019-10,México,446,879,1326
2019-11,México,474,730,1205
2019-12,México,979,1149,535
2020-01,México,910,331,485
2020-02,México,877,1292,523
2020-03,México,908,586,938
2020-04,México,0,7,7
2020-05,México,5,6,11
2020-06,México,8,32,40
2020-07,México,10,32,42
2020-08,México,15,69,84
2020-09,México,24,104,128
2020-10,México,655,1464,631
2020-11,México,1071,736,1056
2020-12,México,584,1093,500
2021-01,México,1080,737,1056
2021-02,México,797,631,896
2021-03,México,1420,985,347
2021-04,México,1087,799,1151
2021-05,México,1067,678,992
2021-06,México,520,1103,415
2021-07,México,861,383,619
2021-08,México,1043,398,634
2021-09,México,1194,447,775
2021-10,México,1180,448,698
2021-11,México,1289,490,855
2021-12,México,410,610,1021
2022-01,México,990,460,737
2022-02,México,1027,534,774
2022-03,México,461,748,1209
2022-04,México,788,1019,1808
2022-05,México,794,1328,2124
2022-06,México,1046,1474,1098
2022-07,México,1495,830,1378
2022-08,México,1437,795,1339
2022-09,México,380,644,1025
2022-10,México,1359,1690,1351
2022-11,México,1074,1496,902
2022-12,México,1392,1617,1223
2023-01,México,1069,1415,984
2023-02,México,1152,1305,807
2023-03,México,971,1252,946
2023-04,México,1075,1340,1003
2023-05,México,1033,1179,925
2023-06,México,449,1466,1090
2023-07,México,554,927,1481
2023-08,México,1366,1650,1218
2023-09,México,1368,1533,1007
2023-10,México,1250,1669,1233
2023-11,México,1357,1622,1186
2023-12,México,1476,1817,1534
2024-01,México,1257,1381,1053
2024-02,México,357,606,964
2024-03,México,473,1498,1040
2024-04,México,370,578,948
2024-05,México,322,580,905
2024-06,México,347,628,976
2024-07,México,417,585,1003
2024-08,México,408,665,1074
2024-09,México,314,519,833
2024-10,México,487,1549,1083
2024-11,México,502,734,1237
2024-12,México,531,715,1248
2025-01,México,388,566,955
2025-02,México,243,441,685
2025-03,México,272,553,826
2025-04,México,489,654,1145
2025-05,México,371,608,980
2025-06,México,651,825,1476
2025-07,México,1317,433,816
2025-08,México,974,1411,887
2025-09,México,902,1242,629
2025-10,México,1050,1343,788
2025-11,México,1105,1503,995
2025-12,México,1463,744,1335
