Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Mónaco,1,1,2
2012-03,Mónaco,0,1,1
2012-04,Mónaco,1,1,2
2012-05,Mónaco,0,1,1
2012-06,Mónaco,0,1,1
2012-08,Mónaco,0,1,1
2012-11,Mónaco,0,2,2
2012-12,Mónaco,3,0,3
2013-01,Mónaco,0,2,2
2013-03,Mónaco,0,1,1
2013-06,Mónaco,0,1,1
2013-07,Mónaco,1,0,1
2013-08,Mónaco,4,4,8
2013-10,Mónaco,2,3,5
2013-11,Mónaco,3,1,4
2013-12,Mónaco,3,2,5
2014-01,Mónaco,1,1,2
2014-02,Mónaco,0,1,1
2014-03,Mónaco,1,2,3
2014-04,Mónaco,0,1,1
2014-07,Mónaco,1,1,2
2014-08,Mónaco,1,0,1
2014-09,Mónaco,0,1,1
2014-12,Mónaco,1,2,3
2015-01,Mónaco,0,1,1
2015-03,Mónaco,1,1,2
2015-05,Mónaco,1,0,1
2015-06,Mónaco,0,1,1
2015-07,Mónaco,0,1,1
2015-08,Mónaco,2,3,5
2015-09,Mónaco,1,1,2
2015-10,Mónaco,0,1,1
2016-01,Mónaco,1,1,2
2016-02,Mónaco,4,0,4
2016-03,Mónaco,3,0,3
2016-07,Mónaco,3,3,6
2016-08,Mónaco,0,1,1
2016-11,Mónaco,0,2,2
2017-01,Mónaco,2,2,4
2017-02,Mónaco,4,3,7
2017-03,Mónaco,0,1,1
2017-04,Mónaco,3,0,3
2017-05,Mónaco,1,0,1
2017-06,Mónaco,1,0,1
2017-07,Mónaco,1,0,1
2017-08,Mónaco,2,1,3
2017-09,Mónaco,0,1,1
2017-10,Mónaco,0,1,1
2017-11,Mónaco,0,2,2
2017-12,Mónaco,0,1,1
2018-01,Mónaco,1,4,5
2018-02,Mónaco,0,1,1
2018-03,Mónaco,1,7,8
2018-04,Mónaco,1,1,2
2018-05,Mónaco,1,2,3
2018-06,Mónaco,1,0,1
2018-07,Mónaco,1,4,5
2018-08,Mónaco,1,3,4
2018-12,Mónaco,3,2,5
2019-01,Mónaco,0,3,3
2019-02,Mónaco,1,1,2
2019-03,Mónaco,1,2,3
2019-06,Mónaco,0,2,2
2019-07,Mónaco,2,1,3
2019-10,Mónaco,0,1,1
2019-11,Mónaco,0,4,4
2019-12,Mónaco,4,4,8
2020-01,Mónaco,0,1,1
2020-02,Mónaco,2,5,7
2021-03,Mónaco,0,2,2
2021-06,Mónaco,1,1,2
2021-07,Mónaco,0,1,1
2021-10,Mónaco,2,2,4
2021-11,Mónaco,2,1,3
2021-12,Mónaco,3,1,4
2022-02,Mónaco,2,2,4
2022-03,Mónaco,3,2,5
2022-04,Mónaco,2,1,3
2022-05,Mónaco,1,1,2
2022-06,Mónaco,1,0,1
2022-07,Mónaco,2,3,5
2022-09,Mónaco,0,1,1
2022-10,Mónaco,1,2,3
2022-11,Mónaco,2,0,2
2022-12,Mónaco,1,0,1
2023-01,Mónaco,1,3,4
2023-02,Mónaco,3,1,4
2023-03,Mónaco,1,0,1
2023-05,Mónaco,1,0,1
2023-06,Mónaco,0,1,1
2023-07,Mónaco,2,1,3
2023-11,Mónaco,1,3,4
2023-12,Mónaco,1,1,2
2024-01,Mónaco,1,3,4
2024-02,Mónaco,0,1,1
2024-04,Mónaco,2,1,3
2024-08,Mónaco,0,4,4
2024-10,Mónaco,3,0,3
2024-11,Mónaco,0,1,1
2024-12,Mónaco,1,4,5
2025-01,Mónaco,3,2,5
2025-03,Mónaco,0,3,3
2025-04,Mónaco,0,1,1
2025-05,Mónaco,0,1,1
2025-07,Mónaco,2,2,4
2025-08,Mónaco,0,1,1
2025-09,Mónaco,1,1,2
2025-11,Mónaco,0,1,1
2025-12,Mónaco,0,3,3
