Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Namibia,0,1,1
2012-03,Namibia,0,1,1
2012-04,Namibia,1,1,2
2012-06,Namibia,0,1,1
2012-07,Namibia,0,2,2
2012-09,Namibia,1,0,1
2012-10,Namibia,1,4,5
2012-11,Namibia,2,1,3
2013-03,Namibia,0,1,1
2013-04,Namibia,1,1,2
2013-07,Namibia,0,1,1
2013-08,Namibia,0,1,1
2013-09,Namibia,2,5,7
2013-10,Namibia,2,6,8
2013-11,Namibia,0,1,1
2014-03,Namibia,1,0,1
2014-04,Namibia,3,7,10
2014-08,Namibia,0,2,2
2014-09,Namibia,1,1,2
2014-10,Namibia,6,2,8
2014-11,Namibia,0,1,1
2014-12,Namibia,1,0,1
2015-02,Namibia,0,2,2
2015-04,Namibia,0,1,1
2015-07,Namibia,1,4,5
2015-09,Namibia,1,2,3
2015-10,Namibia,0,1,1
2015-12,Namibia,0,1,1
2016-03,Namibia,0,1,1
2016-05,Namibia,1,0,1
2016-06,Namibia,1,2,3
2016-09,Namibia,0,1,1
2016-10,Namibia,1,1,2
2016-12,Namibia,4,0,4
2017-01,Namibia,0,2,2
2017-02,Namibia,1,2,3
2017-05,Namibia,1,0,1
2017-06,Namibia,2,0,2
2017-07,Namibia,1,0,1
2017-09,Namibia,0,1,1
2017-10,Namibia,1,1,2
2017-11,Namibia,0,1,1
2017-12,Namibia,1,1,2
2018-02,Namibia,0,1,1
2018-03,Namibia,1,0,1
2018-04,Namibia,1,1,2
2018-07,Namibia,0,1,1
2018-08,Namibia,0,2,2
2018-09,Namibia,0,2,2
2018-11,Namibia,0,1,1
2018-12,Namibia,3,2,5
2019-01,Namibia,0,2,2
2019-02,Namibia,1,0,1
2019-03,Namibia,1,0,1
2019-06,Namibia,0,1,1
2019-07,Namibia,1,4,5
2019-08,Namibia,1,0,1
2019-09,Namibia,1,1,2
2019-11,Namibia,1,1,2
2020-03,Namibia,0,1,1
2021-12,Namibia,1,0,1
2022-03,Namibia,1,0,1
2022-05,Namibia,1,1,2
2022-07,Namibia,4,2,6
2022-08,Namibia,0,1,1
2022-10,Namibia,1,0,1
2022-11,Namibia,5,2,7
2022-12,Namibia,1,0,1
2023-03,Namibia,0,1,1
2023-06,Namibia,0,1,1
2023-07,Namibia,0,1,1
2023-08,Namibia,1,1,2
2023-11,Namibia,3,4,7
2024-02,Namibia,1,0,1
2024-03,Namibia,1,2,3
2024-05,Namibia,0,1,1
2024-06,Namibia,0,1,1
2024-07,Namibia,1,1,2
2024-08,Namibia,0,1,1
2024-09,Namibia,0,1,1
2024-10,Namibia,9,14,23
2024-11,Namibia,8,4,12
2024-12,Namibia,0,1,1
2025-01,Namibia,0,1,1
2025-04,Namibia,1,1,2
2025-05,Namibia,0,1,1
2025-07,Namibia,3,1,4
2025-08,Namibia,1,0,1
2025-09,Namibia,1,2,3
2025-10,Namibia,7,4,11
2025-11,Namibia,3,0,3
2025-12,Namibia,1,3,4
