Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Nueva Zelanda,47,86,133
2012-02,Nueva Zelanda,36,101,137
2012-03,Nueva Zelanda,49,97,146
2012-04,Nueva Zelanda,53,88,141
2012-05,Nueva Zelanda,58,110,168
2012-06,Nueva Zelanda,62,97,159
2012-07,Nueva Zelanda,77,128,205
2012-08,Nueva Zelanda,58,102,160
2012-09,Nueva Zelanda,60,101,161
2012-10,Nueva Zelanda,67,110,177
2012-11,Nueva Zelanda,49,94,143
2012-12,Nueva Zelanda,68,149,217
2013-01,Nueva Zelanda,55,89,144
2013-02,Nueva Zelanda,41,83,124
2013-03,Nueva Zelanda,67,129,196
2013-04,Nueva Zelanda,63,82,145
2013-05,Nueva Zelanda,40,98,138
2013-06,Nueva Zelanda,43,95,138
2013-07,Nueva Zelanda,84,129,213
2013-08,Nueva Zelanda,66,117,183
2013-09,Nueva Zelanda,35,98,133
2013-10,Nueva Zelanda,44,97,141
2013-11,Nueva Zelanda,64,120,184
2013-12,Nueva Zelanda,75,125,200
2014-01,Nueva Zelanda,62,87,149
2014-02,Nueva Zelanda,42,94,136
2014-03,Nueva Zelanda,59,122,181
2014-04,Nueva Zelanda,54,95,149
2014-05,Nueva Zelanda,64,119,183
2014-06,Nueva Zelanda,62,113,175
2014-07,Nueva Zelanda,81,148,229
2014-08,Nueva Zelanda,79,146,225
2014-09,Nueva Zelanda,66,115,181
2014-10,Nueva Zelanda,63,129,192
2014-11,Nueva Zelanda,61,140,201
2014-12,Nueva Zelanda,87,139,226
2015-01,Nueva Zelanda,74,117,191
2015-02,Nueva Zelanda,46,89,135
2015-03,Nueva Zelanda,66,101,167
2015-04,Nueva Zelanda,61,112,173
2015-05,Nueva Zelanda,64,128,192
2015-06,Nueva Zelanda,80,135,215
2015-07,Nueva Zelanda,116,164,280
2015-08,Nueva Zelanda,90,120,210
2015-09,Nueva Zelanda,65,121,186
2015-10,Nueva Zelanda,89,145,234
2015-11,Nueva Zelanda,79,138,217
2015-12,Nueva Zelanda,116,179,295
2016-01,Nueva Zelanda,82,151,233
2016-02,Nueva Zelanda,67,132,199
2016-03,Nueva Zelanda,81,117,198
2016-04,Nueva Zelanda,71,140,211
2016-05,Nueva Zelanda,124,190,314
2016-06,Nueva Zelanda,97,154,251
2016-07,Nueva Zelanda,117,176,293
2016-08,Nueva Zelanda,107,176,283
2016-09,Nueva Zelanda,95,141,236
2016-10,Nueva Zelanda,82,161,243
2016-11,Nueva Zelanda,84,142,226
2016-12,Nueva Zelanda,138,188,326
2017-01,Nueva Zelanda,81,125,206
2017-02,Nueva Zelanda,84,139,223
2017-03,Nueva Zelanda,79,130,209
2017-04,Nueva Zelanda,72,134,206
2017-05,Nueva Zelanda,116,172,288
2017-06,Nueva Zelanda,101,152,253
2017-07,Nueva Zelanda,173,209,382
2017-08,Nueva Zelanda,119,181,300
2017-09,Nueva Zelanda,121,158,279
2017-10,Nueva Zelanda,100,186,286
2017-11,Nueva Zelanda,102,190,292
2017-12,Nueva Zelanda,115,213,328
2018-01,Nueva Zelanda,130,183,313
2018-02,Nueva Zelanda,75,111,186
2018-03,Nueva Zelanda,106,177,283
2018-04,Nueva Zelanda,109,170,279
2018-05,Nueva Zelanda,95,173,268
2018-06,Nueva Zelanda,128,187,315
2018-07,Nueva Zelanda,114,187,301
2018-08,Nueva Zelanda,126,199,325
2018-09,Nueva Zelanda,88,142,230
