Fecha,Nacionalidad,Femenino,Masculino,Total
2012-04,Níger,0,1,1
2012-05,Níger,1,1,2
2012-11,Níger,0,1,1
2013-02,Níger,0,1,1
2013-09,Níger,0,5,5
2013-10,Níger,0,3,3
2014-04,Níger,0,3,3
2014-06,Níger,1,0,1
2014-10,Níger,0,2,2
2015-09,Níger,0,2,2
2016-08,Níger,1,0,1
2017-02,Níger,4,0,4
2018-01,Níger,0,1,1
2018-06,Níger,1,0,1
2018-09,Níger,1,0,1
2018-12,Níger,0,1,1
2019-02,Níger,1,0,1
2019-07,Níger,0,1,1
2019-09,Níger,0,3,3
2019-10,Níger,1,0,1
2019-12,Níger,0,1,1
2022-05,Níger,0,2,2
2022-07,Níger,0,3,3
2022-10,Níger,0,1,1
2022-11,Níger,1,3,4
2022-12,Níger,1,0,1
2023-06,Níger,0,1,1
2023-07,Níger,0,3,3
2023-11,Níger,2,1,3
2024-04,Níger,0,1,1
2024-06,Níger,0,2,2
2024-08,Níger,0,1,1
2024-09,Níger,0,1,1
2024-10,Níger,1,0,1
2024-11,Níger,0,1,1
2024-12,Níger,0,1,1
2025-02,Níger,0,1,1
2025-03,Níger,1,1,2
2025-09,Níger,0,2,2
2025-10,Níger,0,2,2
2025-11,Níger,1,9,10
