Fecha,Nacionalidad,Femenino,Masculino,Total
2012-03,Omán,0,2,2
2012-05,Omán,1,1,2
2012-06,Omán,0,1,1
2012-08,Omán,1,0,1
2012-11,Omán,0,1,1
2012-12,Omán,1,0,1
2013-02,Omán,0,2,2
2013-05,Omán,4,4,8
2013-09,Omán,0,1,1
2013-10,Omán,0,3,3
2014-02,Omán,1,1,2
2014-03,Omán,1,1,2
2014-04,Omán,0,2,2
2014-05,Omán,0,2,2
2014-09,Omán,1,2,3
2014-10,Omán,0,8,8
2014-11,Omán,0,4,4
2015-01,Omán,0,1,1
2015-06,Omán,0,2,2
2015-07,Omán,0,5,5
2015-08,Omán,0,2,2
2015-09,Omán,0,5,5
2015-11,Omán,0,3,3
2015-12,Omán,0,6,6
2016-01,Omán,0,1,1
2016-02,Omán,0,3,3
2016-03,Omán,1,0,1
2016-06,Omán,0,2,2
2016-07,Omán,0,2,2
2016-08,Omán,0,1,1
2016-09,Omán,0,1,1
2016-11,Omán,0,2,2
2016-12,Omán,0,1,1
2017-03,Omán,0,4,4
2017-04,Omán,0,2,2
2017-06,Omán,1,2,3
2017-07,Omán,0,2,2
2017-09,Omán,5,3,8
2017-10,Omán,1,5,6
2017-11,Omán,0,3,3
2017-12,Omán,0,1,1
2018-01,Omán,0,1,1
2018-03,Omán,1,2,3
2018-04,Omán,0,1,1
2018-06,Omán,0,1,1
2018-07,Omán,0,2,2
2018-08,Omán,0,1,1
2018-10,Omán,0,3,3
2018-11,Omán,0,1,1
2018-12,Omán,0,7,7
2019-01,Omán,0,1,1
2019-02,Omán,1,2,3
2019-03,Omán,0,4,4
2019-04,Omán,0,2,2
2019-05,Omán,1,0,1
2019-07,Omán,2,6,8
2019-09,Omán,0,2,2
2019-10,Omán,0,6,6
2019-12,Omán,0,12,12
2020-01,Omán,0,1,1
2020-02,Omán,0,2,2
2020-03,Omán,0,2,2
2021-03,Omán,1,0,1
2021-07,Omán,0,1,1
2021-12,Omán,1,4,5
2022-03,Omán,0,1,1
2022-05,Omán,0,2,2
2022-06,Omán,0,1,1
2022-07,Omán,0,6,6
2022-08,Omán,0,2,2
2022-09,Omán,0,1,1
2022-11,Omán,2,0,2
2022-12,Omán,0,5,5
2023-01,Omán,1,1,2
2023-02,Omán,4,3,7
2023-03,Omán,1,3,4
2023-04,Omán,0,2,2
2023-05,Omán,0,6,6
2023-06,Omán,1,1,2
2023-07,Omán,1,2,3
2023-08,Omán,1,0,1
2023-09,Omán,0,6,6
2023-10,Omán,0,2,2
2023-11,Omán,0,3,3
2023-12,Omán,0,8,8
2024-01,Omán,0,6,6
2024-03,Omán,1,0,1
2024-04,Omán,0,6,6
2024-05,Omán,1,6,7
2024-06,Omán,2,6,8
2024-07,Omán,1,5,6
2024-08,Omán,0,12,12
2024-10,Omán,1,18,19
2024-11,Omán,2,17,19
2024-12,Omán,3,11,14
2025-01,Omán,2,9,11
2025-02,Omán,0,3,3
2025-03,Omán,3,1,4
2025-04,Omán,0,10,10
2025-05,Omán,2,6,8
2025-06,Omán,2,8,10
2025-07,Omán,1,6,7
2025-08,Omán,1,5,6
2025-09,Omán,3,5,8
2025-10,Omán,2,5,7
2025-11,Omán,0,21,21
2025-12,Omán,3,20,23
