Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Paraguay,111,127,238
2012-02,Paraguay,101,128,229
2012-03,Paraguay,59,104,163
2012-04,Paraguay,98,100,198
2012-05,Paraguay,72,93,165
2012-06,Paraguay,168,296,464
2012-07,Paraguay,72,97,169
2012-08,Paraguay,110,101,211
2012-09,Paraguay,125,189,314
2012-10,Paraguay,228,351,579
2012-11,Paraguay,180,159,339
2012-12,Paraguay,96,95,191
2013-01,Paraguay,118,134,252
2013-02,Paraguay,204,219,423
2013-03,Paraguay,86,123,209
2013-04,Paraguay,131,173,304
2013-05,Paraguay,109,146,255
2013-06,Paraguay,158,292,450
2013-07,Paraguay,170,421,591
2013-08,Paraguay,117,175,292
2013-09,Paraguay,135,200,335
2013-10,Paraguay,116,165,281
2013-11,Paraguay,147,196,343
2013-12,Paraguay,122,107,229
2014-01,Paraguay,142,151,293
2014-02,Paraguay,142,200,342
2014-03,Paraguay,179,197,376
2014-04,Paraguay,165,176,341
2014-05,Paraguay,173,187,360
2014-06,Paraguay,169,204,373
2014-07,Paraguay,172,202,374
2014-08,Paraguay,187,212,399
2014-09,Paraguay,169,256,425
2014-10,Paraguay,260,247,507
2014-11,Paraguay,288,237,525
2014-12,Paraguay,175,214,389
2015-01,Paraguay,308,244,552
2015-02,Paraguay,376,307,683
2015-03,Paraguay,299,228,527
2015-04,Paraguay,324,253,577
2015-05,Paraguay,420,431,851
2015-06,Paraguay,437,345,782
2015-07,Paraguay,167,157,324
2015-08,Paraguay,275,234,509
2015-09,Paraguay,314,363,677
2015-10,Paraguay,385,286,671
2015-11,Paraguay,372,445,817
2015-12,Paraguay,248,194,442
2016-01,Paraguay,357,321,678
2016-02,Paraguay,377,317,694
2016-03,Paraguay,366,300,666
2016-04,Paraguay,345,257,602
2016-05,Paraguay,259,227,486
2016-06,Paraguay,343,285,628
2016-07,Paraguay,241,259,500
2016-08,Paraguay,302,319,621
2016-09,Paraguay,417,503,920
2016-10,Paraguay,388,425,813
2016-11,Paraguay,311,367,678
2016-12,Paraguay,318,297,615
2017-01,Paraguay,364,365,729
2017-02,Paraguay,274,274,548
2017-03,Paraguay,294,277,571
2017-04,Paraguay,318,302,620
2017-05,Paraguay,413,339,752
2017-06,Paraguay,366,339,705
2017-07,Paraguay,255,227,482
2017-08,Paraguay,448,354,802
2017-09,Paraguay,384,541,925
2017-10,Paraguay,360,417,777
2017-11,Paraguay,483,493,976
2017-12,Paraguay,297,215,512
2018-01,Paraguay,480,345,825
2018-02,Paraguay,353,456,809
2018-03,Paraguay,388,327,715
2018-04,Paraguay,356,290,646
2018-05,Paraguay,420,337,757
2018-06,Paraguay,418,362,780
2018-07,Paraguay,281,239,520
2018-08,Paraguay,541,434,976
2018-09,Paraguay,540,430,970
2018-10,Paraguay,439,365,804
2018-11,Paraguay,385,383,768
2018-12,Paraguay,275,223,498
2019-01,Paraguay,446,324,773
2019-02,Paraguay,312,328,640
2019-03,Paraguay,323,267,590
2019-04,Paraguay,364,397,761
2019-05,Paraguay,399,379,778
2019-06,Paraguay,275,293,568
2019-07,Paraguay,210,212,422
2019-08,Paraguay,466,349,815
2019-09,Paraguay,430,287,717
2019-10,Paraguay,670,455,1125
2019-11,Paraguay,526,345,871
2019-12,Paraguay,336,265,601
2020-01,Paraguay,654,512,1166
2020-02,Paraguay,542,479,1021
2020-03,Paraguay,421,321,743
2020-06,Paraguay,0,8,8
2020-07,Paraguay,0,3,3
2020-08,Paraguay,6,10,16
2020-09,Paraguay,1,9,10
2020-10,Paraguay,4,13,17
2020-11,Paraguay,29,35,64
2020-12,Paraguay,84,65,149
2021-01,Paraguay,152,115,267
2021-02,Paraguay,119,88,207
2021-03,Paraguay,126,118,244
2021-04,Paraguay,99,137,236
2021-05,Paraguay,65,52,117
2021-06,Paraguay,56,59,115
2021-07,Paraguay,123,155,278
2021-08,Paraguay,172,134,306
2021-09,Paraguay,431,261,692
2021-10,Paraguay,455,312,767
2021-11,Paraguay,557,475,1032
2021-12,Paraguay,362,223,585
2022-01,Paraguay,401,260,661
2022-02,Paraguay,451,315,766
2022-03,Paraguay,570,439,1010
2022-04,Paraguay,746,439,1185
2022-05,Paraguay,446,353,799
2022-06,Paraguay,533,460,993
2022-07,Paraguay,336,343,680
2022-08,Paraguay,410,341,751
2022-09,Paraguay,444,309,753
2022-10,Paraguay,514,343,857
2022-11,Paraguay,405,304,709
2022-12,Paraguay,341,241,582
2023-01,Paraguay,488,412,900
2023-02,Paraguay,492,357,849
2023-03,Paraguay,390,303,693
2023-04,Paraguay,426,330,756
2023-05,Paraguay,375,333,709
2023-06,Paraguay,318,244,562
2023-07,Paraguay,351,349,700
2023-08,Paraguay,398,297,695
2023-09,Paraguay,433,353,786
2023-10,Paraguay,641,373,1014
2023-11,Paraguay,445,333,778
2023-12,Paraguay,284,181,465
2024-01,Paraguay,568,415,983
2024-02,Paraguay,486,389,876
2024-03,Paraguay,502,363,865
2024-04,Paraguay,531,461,992
2024-05,Paraguay,552,398,950
2024-06,Paraguay,502,338,840
2024-07,Paraguay,493,322,815
2024-08,Paraguay,459,332,791
2024-09,Paraguay,533,379,912
2024-10,Paraguay,685,497,1182
2024-11,Paraguay,509,377,886
2024-12,Paraguay,576,445,1021
2025-01,Paraguay,620,516,1136
2025-02,Paraguay,531,383,915
2025-03,Paraguay,482,735,1217
