Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Perú,956,1411,2368
2012-02,Perú,1178,1352,2530
2012-03,Perú,823,1299,2122
2012-04,Perú,791,1090,1881
2012-05,Perú,609,965,1574
2012-06,Perú,805,1040,1846
2012-07,Perú,1005,1184,2189
2012-08,Perú,949,1350,2299
2012-09,Perú,822,1193,2015
2012-10,Perú,906,1324,2230
2012-11,Perú,824,1229,2053
2012-12,Perú,742,1156,1899
2013-01,Perú,933,1393,2327
2013-02,Perú,1989,1988,2392
2013-03,Perú,915,1310,2225
2013-04,Perú,642,1177,1820
2013-05,Perú,731,1135,1866
2013-06,Perú,742,1514,2256
2013-07,Perú,924,1379,2303
2013-08,Perú,1132,1677,2809
2013-09,Perú,1074,1546,2620
2013-10,Perú,984,1448,2433
2013-11,Perú,988,1560,2548
2013-12,Perú,1035,1554,2590
2014-01,Perú,1704,2136,3840
2014-02,Perú,1786,2044,2720
2014-03,Perú,1368,1857,3226
2014-04,Perú,1421,1795,3216
2014-05,Perú,1524,1849,2288
2014-06,Perú,1134,1581,2716
2014-07,Perú,1564,1898,3463
2014-08,Perú,1758,2226,2855
2014-09,Perú,1190,1766,2957
2014-10,Perú,1458,1829,2229
2014-11,Perú,1159,1661,2820
2014-12,Perú,1266,1735,3002
2015-01,Perú,1459,1980,3439
2015-02,Perú,1692,1995,3688
2015-03,Perú,1244,1758,3002
2015-04,Perú,1153,1649,2802
2015-05,Perú,1315,1646,2962
2015-06,Perú,901,1314,2216
2015-07,Perú,1224,1747,2971
2015-08,Perú,1232,1782,3014
2015-09,Perú,1027,1508,2535
2015-10,Perú,1255,1933,3189
2015-11,Perú,886,1403,2289
2015-12,Perú,908,1432,2340
2016-01,Perú,1236,1772,3009
2016-02,Perú,1706,1937,3644
2016-03,Perú,1336,1682,3019
2016-04,Perú,1001,1475,2476
2016-05,Perú,1123,1657,2780
2016-06,Perú,1802,1415,1272
2016-07,Perú,1996,2160,1829
2016-08,Perú,1373,1990,2154
2016-09,Perú,1118,1735,1809
2016-10,Perú,1490,2031,3522
2016-11,Perú,1261,1791,3052
2016-12,Perú,1081,1647,2728
2017-01,Perú,1849,2340,3126
2017-02,Perú,2125,2447,3408
2017-03,Perú,1652,1993,2439
2017-04,Perú,1340,1564,2904
2017-05,Perú,1452,1654,3106
2017-06,Perú,1410,1573,2983
2017-07,Perú,1589,1744,3333
2017-08,Perú,1608,1851,3460
2017-09,Perú,1645,1993,2431
2017-10,Perú,2104,2579,3307
2017-11,Perú,1516,2055,3571
2017-12,Perú,1764,2118,3882
2018-01,Perú,1883,2370,4253
2018-02,Perú,2184,2412,3154
2018-03,Perú,1847,2276,1944
2018-04,Perú,1922,2138,2731
2018-05,Perú,1985,2152,1652
2018-06,Perú,1725,1945,2463
2018-07,Perú,1344,2558,1767
2018-08,Perú,1565,2772,1927
2018-09,Perú,1198,2451,1663
2018-10,Perú,1484,2734,2006
2018-11,Perú,1238,2521,1584
2018-12,Perú,2649,2753,2146
2019-01,Perú,3071,2118,2733
2019-02,Perú,1807,1674,1245
2019-03,Perú,1747,2835,2126
2019-04,Perú,1701,1751,2062
2019-05,Perú,1827,1975,2257
2019-06,Perú,1278,2601,1710
2019-07,Perú,1078,1255,2333
2019-08,Perú,2166,1406,2593
2019-09,Perú,1580,2158,2134
2019-10,Perú,1950,1252,2286
2019-11,Perú,1347,1960,1910
2019-12,Perú,1446,1975,2084
2020-01,Perú,1762,2244,2564
2020-02,Perú,1613,1699,3313
2020-03,Perú,1382,1413,2795
2020-04,Perú,2,40,42
2020-05,Perú,2,69,71
2020-06,Perú,40,119,159
2020-07,Perú,5,96,101
2020-08,Perú,13,58,71
2020-09,Perú,10,99,109
2020-10,Perú,280,658,938
2020-11,Perú,648,1206,408
2020-12,Perú,982,512,805
2021-01,Perú,1022,446,731
2021-02,Perú,683,1081,419
2021-03,Perú,991,445,698
2021-04,Perú,1082,458,818
2021-05,Perú,1386,622,1081
2021-06,Perú,1504,669,1223
2021-07,Perú,1060,1071,606
2021-08,Perú,1170,1273,752
2021-09,Perú,1179,376,726
2021-10,Perú,399,367,767
2021-11,Perú,481,542,1023
2021-12,Perú,653,605,1258
2022-01,Perú,802,1092,1895
2022-02,Perú,1154,978,908
2022-03,Perú,1107,968,914
2022-04,Perú,283,1125,708
2022-05,Perú,1308,1045,770
2022-06,Perú,1103,1023,808
2022-07,Perú,714,1556,1523
2022-08,Perú,660,1805,1558
2022-09,Perú,729,1675,1637
2022-10,Perú,1082,2116,2213
2022-11,Perú,685,1456,1466
2022-12,Perú,793,1777,1762
2023-01,Perú,1178,2017,2426
2023-02,Perú,1192,2082,2384
2023-03,Perú,1416,2789,1669
2023-04,Perú,1057,2137,1150
2023-05,Perú,995,2274,982
2023-06,Perú,872,1987,927
2023-07,Perú,1519,2559,1440
2023-08,Perú,1195,1460,1108
2023-09,Perú,1009,2205,957
2023-10,Perú,1002,2350,1034
2023-11,Perú,403,1416,1018
2023-12,Perú,649,876,1525
2024-01,Perú,1013,1104,2118
2024-02,Perú,833,899,1734
2024-03,Perú,687,878,1565
2024-04,Perú,627,836,1464
2024-05,Perú,505,661,1168
2024-06,Perú,697,886,1585
2024-07,Perú,808,933,1741
2024-08,Perú,706,833,1539
2024-09,Perú,509,590,1102
2024-10,Perú,726,834,1562
2024-11,Perú,551,834,1387
2024-12,Perú,818,1020,1839
2025-01,Perú,850,1044,1897
2025-02,Perú,895,912,1808
2025-03,Perú,601,828,1431
2025-04,Perú,540,691,1233
2025-05,Perú,455,596,1053
2025-06,Perú,417,604,1023
2025-07,Perú,715,776,1492
2025-08,Perú,594,745,1341
2025-09,Perú,488,581,1070
2025-10,Perú,730,774,1506
2025-11,Perú,617,684,1303
2025-12,Perú,898,1071,1970
