Fecha,Nacionalidad,Femenino,Masculino,Total
2016-11,Refugiado,0,2,2
2016-12,Refugiado,1,6,7
2017-01,Refugiado,0,4,4
2017-02,Refugiado,5,7,12
2017-03,Refugiado,1,2,3
2017-04,Refugiado,1,2,3
2017-05,Refugiado,2,3,5
2017-06,Refugiado,1,3,4
2017-07,Refugiado,2,1,3
2017-08,Refugiado,1,2,3
2017-09,Refugiado,1,5,6
2017-10,Refugiado,0,5,5
2017-11,Refugiado,0,1,1
2017-12,Refugiado,1,12,13
2018-01,Refugiado,5,6,11
2018-02,Refugiado,3,11,14
2018-03,Refugiado,3,12,15
2018-04,Refugiado,10,7,17
2018-05,Refugiado,4,2,6
2018-06,Refugiado,1,8,9
2018-07,Refugiado,1,3,4
2018-08,Refugiado,8,9,17
2018-09,Refugiado,5,8,13
2018-10,Refugiado,2,7,9
2018-11,Refugiado,2,5,7
2018-12,Refugiado,4,15,19
2019-01,Refugiado,2,9,11
2019-02,Refugiado,2,4,6
2019-03,Refugiado,6,7,13
2019-04,Refugiado,0,1,1
2019-10,Refugiado,1,0,1
