Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Reino Unido De Gran Bretaña E Irlanda Del Norte,603,1502,1062
2012-02,Reino Unido De Gran Bretaña E Irlanda Del Norte,531,1286,1817
2012-03,Reino Unido De Gran Bretaña E Irlanda Del Norte,628,1467,2095
2012-04,Reino Unido De Gran Bretaña E Irlanda Del Norte,482,1302,1784
2012-05,Reino Unido De Gran Bretaña E Irlanda Del Norte,507,1297,1804
2012-06,Reino Unido De Gran Bretaña E Irlanda Del Norte,591,1252,1843
2012-07,Reino Unido De Gran Bretaña E Irlanda Del Norte,750,1474,2224
2012-08,Reino Unido De Gran Bretaña E Irlanda Del Norte,677,1375,2052
2012-09,Reino Unido De Gran Bretaña E Irlanda Del Norte,514,1279,1793
2012-10,Reino Unido De Gran Bretaña E Irlanda Del Norte,517,1452,1969
2012-11,Reino Unido De Gran Bretaña E Irlanda Del Norte,563,1389,1952
2012-12,Reino Unido De Gran Bretaña E Irlanda Del Norte,780,1806,1372
2013-01,Reino Unido De Gran Bretaña E Irlanda Del Norte,656,1467,2123
2013-02,Reino Unido De Gran Bretaña E Irlanda Del Norte,664,1439,2103
2013-03,Reino Unido De Gran Bretaña E Irlanda Del Norte,682,1571,2253
2013-04,Reino Unido De Gran Bretaña E Irlanda Del Norte,577,1387,1964
2013-05,Reino Unido De Gran Bretaña E Irlanda Del Norte,592,1366,1958
2013-06,Reino Unido De Gran Bretaña E Irlanda Del Norte,662,1326,1988
2013-07,Reino Unido De Gran Bretaña E Irlanda Del Norte,1004,1895,794
2013-08,Reino Unido De Gran Bretaña E Irlanda Del Norte,774,1533,2307
2013-09,Reino Unido De Gran Bretaña E Irlanda Del Norte,577,1545,784
2013-10,Reino Unido De Gran Bretaña E Irlanda Del Norte,613,352,511
2013-11,Reino Unido De Gran Bretaña E Irlanda Del Norte,738,338,487
2013-12,Reino Unido De Gran Bretaña E Irlanda Del Norte,948,482,714
2014-01,Reino Unido De Gran Bretaña E Irlanda Del Norte,814,439,626
2014-02,Reino Unido De Gran Bretaña E Irlanda Del Norte,859,406,626
2014-03,Reino Unido De Gran Bretaña E Irlanda Del Norte,768,402,614
2014-04,Reino Unido De Gran Bretaña E Irlanda Del Norte,974,480,760
2014-05,Reino Unido De Gran Bretaña E Irlanda Del Norte,792,503,773
2014-06,Reino Unido De Gran Bretaña E Irlanda Del Norte,808,426,654
2014-07,Reino Unido De Gran Bretaña E Irlanda Del Norte,287,500,787
2014-08,Reino Unido De Gran Bretaña E Irlanda Del Norte,1064,499,770
2014-09,Reino Unido De Gran Bretaña E Irlanda Del Norte,735,394,560
2014-10,Reino Unido De Gran Bretaña E Irlanda Del Norte,735,449,605
