Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,República Centroafricana,0,1,1
2012-02,República Centroafricana,1,1,2
2012-03,República Centroafricana,0,4,4
2012-06,República Centroafricana,0,2,2
2012-08,República Centroafricana,0,1,1
2012-09,República Centroafricana,1,2,3
2012-10,República Centroafricana,0,2,2
2012-11,República Centroafricana,1,3,4
2012-12,República Centroafricana,1,0,1
2013-02,República Centroafricana,0,3,3
2013-04,República Centroafricana,0,2,2
2013-07,República Centroafricana,0,2,2
2013-09,República Centroafricana,5,1,6
2013-10,República Centroafricana,0,1,1
2013-11,República Centroafricana,0,1,1
2013-12,República Centroafricana,0,1,1
2014-01,República Centroafricana,5,0,5
2014-04,República Centroafricana,0,3,3
2014-05,República Centroafricana,1,0,1
2014-08,República Centroafricana,5,0,5
2014-09,República Centroafricana,0,3,3
2014-11,República Centroafricana,1,0,1
2014-12,República Centroafricana,0,1,1
2015-01,República Centroafricana,1,0,1
2015-06,República Centroafricana,0,1,1
2015-07,República Centroafricana,1,0,1
2015-08,República Centroafricana,5,0,5
2016-01,República Centroafricana,5,0,5
2016-02,República Centroafricana,0,1,1
2016-03,República Centroafricana,1,0,1
2016-04,República Centroafricana,1,1,2
2016-05,República Centroafricana,5,0,5
2016-06,República Centroafricana,2,0,2
2016-08,República Centroafricana,5,0,5
2016-10,República Centroafricana,0,2,2
2017-01,República Centroafricana,5,0,5
2017-02,República Centroafricana,0,1,1
2017-05,República Centroafricana,1,0,1
2017-06,República Centroafricana,1,0,1
2017-07,República Centroafricana,0,1,1
2017-12,República Centroafricana,0,1,1
2018-04,República Centroafricana,1,0,1
2018-05,República Centroafricana,1,0,1
2018-06,República Centroafricana,0,1,1
2018-07,República Centroafricana,0,1,1
2018-10,República Centroafricana,1,0,1
2018-12,República Centroafricana,1,0,1
2019-08,República Centroafricana,1,0,1
2019-09,República Centroafricana,0,1,1
2019-12,República Centroafricana,0,2,2
2020-11,República Centroafricana,0,1,1
2022-11,República Centroafricana,0,1,1
2023-04,República Centroafricana,0,1,1
2023-06,República Centroafricana,0,1,1
2023-08,República Centroafricana,0,1,1
2024-02,República Centroafricana,0,2,2
2024-04,República Centroafricana,0,2,2
2024-08,República Centroafricana,0,1,1
2024-10,República Centroafricana,1,2,3
2024-11,República Centroafricana,1,2,3
2025-10,República Centroafricana,1,1,2
2025-11,República Centroafricana,1,1,2
