Fecha,Nacionalidad,Femenino,Masculino,Total
2012-06,República Democrática Popular Lao,0,2,2
2013-08,República Democrática Popular Lao,2,2,4
2013-12,República Democrática Popular Lao,1,0,1
2014-02,República Democrática Popular Lao,3,1,4
2014-04,República Democrática Popular Lao,1,0,1
2014-07,República Democrática Popular Lao,2,0,2
2014-08,República Democrática Popular Lao,0,2,2
2014-09,República Democrática Popular Lao,0,1,1
2015-08,República Democrática Popular Lao,0,1,1
2016-01,República Democrática Popular Lao,0,1,1
2016-07,República Democrática Popular Lao,0,1,1
2016-09,República Democrática Popular Lao,1,2,3
2017-06,República Democrática Popular Lao,1,1,2
2017-07,República Democrática Popular Lao,2,2,4
2017-09,República Democrática Popular Lao,2,0,2
2017-10,República Democrática Popular Lao,1,0,1
2017-12,República Democrática Popular Lao,1,0,1
2018-01,República Democrática Popular Lao,1,0,1
2018-07,República Democrática Popular Lao,1,2,3
2018-10,República Democrática Popular Lao,2,4,6
2018-11,República Democrática Popular Lao,0,1,1
2019-01,República Democrática Popular Lao,1,0,1
2019-04,República Democrática Popular Lao,0,3,3
2019-05,República Democrática Popular Lao,0,2,2
2019-06,República Democrática Popular Lao,0,1,1
2019-08,República Democrática Popular Lao,3,4,7
2019-09,República Democrática Popular Lao,1,1,2
2019-10,República Democrática Popular Lao,0,4,4
2019-11,República Democrática Popular Lao,0,2,2
2019-12,República Democrática Popular Lao,0,2,2
2021-12,República Democrática Popular Lao,1,0,1
2023-02,República Democrática Popular Lao,3,3,6
2023-03,República Democrática Popular Lao,0,1,1
2023-08,República Democrática Popular Lao,1,0,1
2023-10,República Democrática Popular Lao,0,1,1
2024-03,República Democrática Popular Lao,1,0,1
2024-05,República Democrática Popular Lao,0,1,1
2024-07,República Democrática Popular Lao,1,2,3
2024-09,República Democrática Popular Lao,1,0,1
2024-10,República Democrática Popular Lao,4,1,5
2024-12,República Democrática Popular Lao,2,0,2
2025-01,República Democrática Popular Lao,1,0,1
2025-03,República Democrática Popular Lao,0,1,1
2025-06,República Democrática Popular Lao,1,0,1
2025-07,República Democrática Popular Lao,1,0,1
2025-10,República Democrática Popular Lao,1,1,2
2025-12,República Democrática Popular Lao,3,2,5
