Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,República Popular Democrática De Corea,1,1,2
2013-02,República Popular Democrática De Corea,1,0,1
2013-07,República Popular Democrática De Corea,0,8,8
2013-09,República Popular Democrática De Corea,0,1,1
2013-11,República Popular Democrática De Corea,0,1,1
2014-01,República Popular Democrática De Corea,0,1,1
2014-04,República Popular Democrática De Corea,1,2,3
2014-10,República Popular Democrática De Corea,0,1,1
2015-05,República Popular Democrática De Corea,1,1,2
2016-09,República Popular Democrática De Corea,2,0,2
2019-07,República Popular Democrática De Corea,0,6,6
2019-09,República Popular Democrática De Corea,0,3,3
2022-08,República Popular Democrática De Corea,1,0,1
2024-04,República Popular Democrática De Corea,1,0,1
2024-08,República Popular Democrática De Corea,25,6,31
