Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Saint Kitts Y Nevis,1,2,3
2012-03,Saint Kitts Y Nevis,0,2,2
2012-04,Saint Kitts Y Nevis,2,3,5
2012-05,Saint Kitts Y Nevis,0,3,3
2012-06,Saint Kitts Y Nevis,0,6,6
2012-07,Saint Kitts Y Nevis,0,1,1
2012-08,Saint Kitts Y Nevis,1,4,5
2012-09,Saint Kitts Y Nevis,0,5,5
2012-10,Saint Kitts Y Nevis,0,1,1
2012-11,Saint Kitts Y Nevis,2,2,4
2013-02,Saint Kitts Y Nevis,0,3,3
2013-03,Saint Kitts Y Nevis,0,2,2
2013-04,Saint Kitts Y Nevis,0,1,1
2013-05,Saint Kitts Y Nevis,3,2,5
2013-06,Saint Kitts Y Nevis,1,6,7
2013-07,Saint Kitts Y Nevis,1,4,5
2013-08,Saint Kitts Y Nevis,2,12,14
2013-09,Saint Kitts Y Nevis,3,9,12
2013-10,Saint Kitts Y Nevis,1,3,4
2013-11,Saint Kitts Y Nevis,1,0,1
2013-12,Saint Kitts Y Nevis,1,1,2
2014-01,Saint Kitts Y Nevis,1,2,3
2014-02,Saint Kitts Y Nevis,0,5,5
2014-03,Saint Kitts Y Nevis,2,1,3
2014-04,Saint Kitts Y Nevis,4,5,9
2014-05,Saint Kitts Y Nevis,1,3,4
2014-06,Saint Kitts Y Nevis,2,5,7
2014-07,Saint Kitts Y Nevis,2,3,5
2014-08,Saint Kitts Y Nevis,2,3,5
2014-09,Saint Kitts Y Nevis,0,2,2
2014-11,Saint Kitts Y Nevis,3,5,8
2014-12,Saint Kitts Y Nevis,1,3,4
2015-01,Saint Kitts Y Nevis,0,2,2
2015-02,Saint Kitts Y Nevis,2,6,8
2015-03,Saint Kitts Y Nevis,0,1,1
2015-04,Saint Kitts Y Nevis,1,1,2
2015-05,Saint Kitts Y Nevis,2,2,4
2015-06,Saint Kitts Y Nevis,1,5,6
2015-07,Saint Kitts Y Nevis,6,9,15
2015-08,Saint Kitts Y Nevis,1,5,6
2015-09,Saint Kitts Y Nevis,1,2,3
2015-10,Saint Kitts Y Nevis,2,4,6
2015-11,Saint Kitts Y Nevis,0,7,7
2015-12,Saint Kitts Y Nevis,2,5,7
2016-01,Saint Kitts Y Nevis,2,4,6
2016-02,Saint Kitts Y Nevis,0,2,2
2016-03,Saint Kitts Y Nevis,1,4,5
2016-04,Saint Kitts Y Nevis,0,3,3
2016-05,Saint Kitts Y Nevis,0,5,5
2016-06,Saint Kitts Y Nevis,1,3,4
2016-07,Saint Kitts Y Nevis,1,2,3
2016-08,Saint Kitts Y Nevis,0,3,3
2016-09,Saint Kitts Y Nevis,6,4,10
2016-10,Saint Kitts Y Nevis,1,2,3
2016-11,Saint Kitts Y Nevis,2,1,3
2016-12,Saint Kitts Y Nevis,0,4,4
2017-01,Saint Kitts Y Nevis,1,7,8
2017-02,Saint Kitts Y Nevis,3,7,10
2017-03,Saint Kitts Y Nevis,0,2,2
2017-04,Saint Kitts Y Nevis,1,2,3
2017-05,Saint Kitts Y Nevis,0,6,6
2017-06,Saint Kitts Y Nevis,0,3,3
2017-07,Saint Kitts Y Nevis,1,6,7
2017-08,Saint Kitts Y Nevis,0,5,5
2017-09,Saint Kitts Y Nevis,3,0,3
2017-10,Saint Kitts Y Nevis,0,10,10
2017-11,Saint Kitts Y Nevis,6,12,18
2017-12,Saint Kitts Y Nevis,3,8,11
2018-01,Saint Kitts Y Nevis,4,5,9
2018-02,Saint Kitts Y Nevis,3,3,6
2018-03,Saint Kitts Y Nevis,3,7,10
2018-04,Saint Kitts Y Nevis,3,4,7
2018-05,Saint Kitts Y Nevis,2,3,5
2018-06,Saint Kitts Y Nevis,2,7,9
