Fecha,Nacionalidad,Femenino,Masculino,Total
2012-02,Samoa,1,0,1
2013-01,Samoa,1,0,1
2013-06,Samoa,1,0,1
2013-10,Samoa,1,0,1
2013-11,Samoa,1,0,1
2014-04,Samoa,0,1,1
2014-08,Samoa,3,2,5
2014-10,Samoa,1,0,1
2014-11,Samoa,2,0,2
2014-12,Samoa,1,0,1
2015-01,Samoa,1,0,1
2015-06,Samoa,1,0,1
2015-09,Samoa,1,0,1
2015-10,Samoa,1,0,1
2015-11,Samoa,1,0,1
2016-03,Samoa,1,0,1
2016-08,Samoa,1,0,1
2017-02,Samoa,1,0,1
2017-03,Samoa,0,1,1
2017-09,Samoa,0,1,1
2017-10,Samoa,0,1,1
2018-08,Samoa,0,1,1
2019-01,Samoa,1,0,1
2019-10,Samoa,1,0,1
2020-01,Samoa,1,0,1
2022-07,Samoa,1,0,1
2022-08,Samoa,0,1,1
2022-10,Samoa,1,1,2
2022-11,Samoa,2,1,3
2023-09,Samoa,0,1,1
2023-10,Samoa,0,1,1
2023-11,Samoa,1,1,2
2023-12,Samoa,0,3,3
2024-01,Samoa,0,1,1
2024-04,Samoa,0,1,1
2024-06,Samoa,1,1,2
2024-07,Samoa,0,1,1
2024-10,Samoa,3,4,7
2024-11,Samoa,0,1,1
2025-06,Samoa,1,1,2
2025-07,Samoa,1,0,1
