Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,San Marino,0,3,3
2012-02,San Marino,0,2,2
2012-03,San Marino,0,1,1
2012-04,San Marino,1,3,4
2012-07,San Marino,0,1,1
2012-12,San Marino,0,3,3
2013-03,San Marino,1,3,4
2013-10,San Marino,1,0,1
2013-11,San Marino,0,1,1
2014-01,San Marino,0,1,1
2014-12,San Marino,0,1,1
2015-01,San Marino,2,1,3
2015-03,San Marino,0,2,2
2015-04,San Marino,0,1,1
2015-05,San Marino,1,2,3
2015-07,San Marino,2,1,3
2015-08,San Marino,0,1,1
2015-09,San Marino,0,2,2
2015-12,San Marino,1,7,8
2016-02,San Marino,1,2,3
2016-04,San Marino,0,1,1
2016-06,San Marino,1,0,1
2016-08,San Marino,0,1,1
2016-09,San Marino,0,1,1
2016-11,San Marino,1,1,2
2016-12,San Marino,2,3,5
2017-02,San Marino,0,2,2
2017-04,San Marino,1,0,1
2017-05,San Marino,1,1,2
2017-06,San Marino,0,2,2
2017-07,San Marino,1,1,2
2017-08,San Marino,4,3,7
2017-10,San Marino,0,2,2
2017-12,San Marino,0,1,1
2018-01,San Marino,1,1,2
2018-02,San Marino,0,2,2
2018-03,San Marino,1,3,4
2018-04,San Marino,1,2,3
2018-08,San Marino,0,1,1
2018-10,San Marino,0,1,1
2018-11,San Marino,0,1,1
2019-01,San Marino,1,1,2
2019-02,San Marino,0,1,1
2019-03,San Marino,1,2,3
2019-04,San Marino,0,3,3
2019-05,San Marino,0,1,1
2019-07,San Marino,0,1,1
2019-08,San Marino,0,1,1
2019-09,San Marino,0,1,1
2019-11,San Marino,0,2,2
2020-01,San Marino,1,1,2
2020-02,San Marino,1,1,2
2021-01,San Marino,0,4,4
2021-04,San Marino,0,3,3
2021-09,San Marino,0,2,2
2021-10,San Marino,0,2,2
2021-11,San Marino,0,1,1
2022-01,San Marino,0,1,1
2022-02,San Marino,0,1,1
2022-04,San Marino,0,1,1
2022-07,San Marino,3,1,4
2022-08,San Marino,1,0,1
2022-09,San Marino,1,0,1
2022-11,San Marino,0,1,1
2022-12,San Marino,0,1,1
2023-01,San Marino,0,4,4
2023-02,San Marino,2,1,3
2023-03,San Marino,0,1,1
2023-04,San Marino,2,5,7
2023-07,San Marino,1,2,3
2023-08,San Marino,1,2,3
2023-10,San Marino,1,2,3
2023-11,San Marino,0,2,2
2023-12,San Marino,2,2,4
2024-01,San Marino,2,1,3
2024-02,San Marino,0,1,1
2024-03,San Marino,0,2,2
2024-04,San Marino,0,3,3
2024-06,San Marino,1,2,3
2024-07,San Marino,1,0,1
2024-08,San Marino,0,1,1
2024-09,San Marino,0,1,1
2024-12,San Marino,2,1,3
2025-01,San Marino,2,3,5
2025-02,San Marino,1,4,5
2025-03,San Marino,1,6,7
2025-05,San Marino,0,1,1
2025-06,San Marino,1,0,1
2025-07,San Marino,2,1,3
2025-08,San Marino,3,2,5
2025-09,San Marino,1,1,2
2025-10,San Marino,0,1,1
2025-11,San Marino,1,2,3
2025-12,San Marino,1,3,4
