Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Santa Lucía,2,3,5
2012-02,Santa Lucía,2,3,5
2012-03,Santa Lucía,5,11,16
2012-04,Santa Lucía,4,7,11
2012-05,Santa Lucía,5,2,7
2012-06,Santa Lucía,2,5,7
2012-07,Santa Lucía,6,3,9
2012-08,Santa Lucía,8,3,11
2012-09,Santa Lucía,3,4,7
2012-10,Santa Lucía,12,6,18
2012-11,Santa Lucía,4,5,9
2012-12,Santa Lucía,6,4,10
2013-01,Santa Lucía,10,4,14
2013-02,Santa Lucía,1,2,3
2013-03,Santa Lucía,4,2,6
2013-04,Santa Lucía,3,3,6
2013-05,Santa Lucía,2,1,3
2013-06,Santa Lucía,3,4,7
2013-07,Santa Lucía,3,11,14
2013-08,Santa Lucía,3,1,4
2013-09,Santa Lucía,4,9,13
2013-10,Santa Lucía,4,1,5
2013-11,Santa Lucía,4,2,6
2013-12,Santa Lucía,3,8,11
2014-01,Santa Lucía,1,1,2
2014-02,Santa Lucía,7,1,8
2014-03,Santa Lucía,1,3,4
2014-04,Santa Lucía,3,3,6
2014-05,Santa Lucía,3,1,4
2014-06,Santa Lucía,2,2,4
2014-07,Santa Lucía,2,3,5
2014-08,Santa Lucía,7,7,14
2014-10,Santa Lucía,7,3,10
2014-11,Santa Lucía,5,9,14
2014-12,Santa Lucía,6,5,11
2015-01,Santa Lucía,0,1,1
2015-02,Santa Lucía,5,1,6
2015-03,Santa Lucía,2,5,7
2015-04,Santa Lucía,4,9,13
2015-05,Santa Lucía,4,4,8
2015-06,Santa Lucía,5,2,7
2015-07,Santa Lucía,6,6,12
2015-08,Santa Lucía,3,9,12
2015-09,Santa Lucía,4,8,12
2015-10,Santa Lucía,4,11,15
2015-11,Santa Lucía,8,6,14
2015-12,Santa Lucía,4,3,7
2016-01,Santa Lucía,6,3,9
2016-02,Santa Lucía,1,5,6
2016-03,Santa Lucía,7,5,12
2016-04,Santa Lucía,3,5,8
2016-05,Santa Lucía,1,4,5
2016-06,Santa Lucía,5,8,13
