Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Santa Sede,0,2,2
2012-03,Santa Sede,0,1,1
2012-04,Santa Sede,1,0,1
2012-05,Santa Sede,0,1,1
2012-06,Santa Sede,0,1,1
2012-07,Santa Sede,0,4,4
2012-10,Santa Sede,0,1,1
2012-12,Santa Sede,0,1,1
2013-01,Santa Sede,0,1,1
2013-03,Santa Sede,0,1,1
2013-05,Santa Sede,0,3,3
2013-07,Santa Sede,0,3,3
2013-08,Santa Sede,0,2,2
2013-10,Santa Sede,0,2,2
2013-12,Santa Sede,0,1,1
2014-01,Santa Sede,0,2,2
2014-04,Santa Sede,0,1,1
2014-05,Santa Sede,0,1,1
2014-09,Santa Sede,0,1,1
2014-10,Santa Sede,0,3,3
2015-01,Santa Sede,0,1,1
2015-04,Santa Sede,0,1,1
2015-05,Santa Sede,0,2,2
2015-06,Santa Sede,0,1,1
2015-08,Santa Sede,0,2,2
2015-09,Santa Sede,0,1,1
2015-12,Santa Sede,0,1,1
2016-01,Santa Sede,0,2,2
2016-02,Santa Sede,0,1,1
2016-03,Santa Sede,0,1,1
2016-05,Santa Sede,0,2,2
2016-06,Santa Sede,0,2,2
2016-08,Santa Sede,0,3,3
2016-09,Santa Sede,0,3,3
2016-10,Santa Sede,0,2,2
2016-11,Santa Sede,0,2,2
2017-01,Santa Sede,0,2,2
2017-02,Santa Sede,0,1,1
2017-05,Santa Sede,0,5,5
2017-06,Santa Sede,0,2,2
2017-08,Santa Sede,0,6,6
2017-09,Santa Sede,0,11,11
2017-10,Santa Sede,0,1,1
2017-11,Santa Sede,0,2,2
2018-01,Santa Sede,0,1,1
2018-03,Santa Sede,1,0,1
2018-04,Santa Sede,0,2,2
2018-06,Santa Sede,0,1,1
2018-07,Santa Sede,0,1,1
2018-08,Santa Sede,0,4,4
2018-09,Santa Sede,0,1,1
2018-11,Santa Sede,0,1,1
2019-02,Santa Sede,0,1,1
2019-04,Santa Sede,0,1,1
2019-05,Santa Sede,0,1,1
2019-06,Santa Sede,0,4,4
2019-07,Santa Sede,0,1,1
2019-09,Santa Sede,0,2,2
2019-11,Santa Sede,0,1,1
2020-01,Santa Sede,0,2,2
2021-07,Santa Sede,0,1,1
2021-08,Santa Sede,0,1,1
2021-11,Santa Sede,0,1,1
2021-12,Santa Sede,0,3,3
2022-01,Santa Sede,0,1,1
2022-03,Santa Sede,0,1,1
2022-05,Santa Sede,0,2,2
2022-07,Santa Sede,0,4,4
2022-08,Santa Sede,0,1,1
2022-09,Santa Sede,0,1,1
2022-10,Santa Sede,0,4,4
2022-12,Santa Sede,0,2,2
2023-04,Santa Sede,0,2,2
2023-09,Santa Sede,0,1,1
2023-10,Santa Sede,1,0,1
2023-11,Santa Sede,0,1,1
2024-01,Santa Sede,0,2,2
2024-02,Santa Sede,0,1,1
2024-04,Santa Sede,0,1,1
2024-06,Santa Sede,0,2,2
2024-07,Santa Sede,0,1,1
2024-08,Santa Sede,0,1,1
2024-09,Santa Sede,0,1,1
2024-12,Santa Sede,0,2,2
2025-01,Santa Sede,0,1,1
2025-02,Santa Sede,0,1,1
2025-04,Santa Sede,0,1,1
2025-05,Santa Sede,0,1,1
2025-06,Santa Sede,0,2,2
2025-08,Santa Sede,1,2,3
2025-09,Santa Sede,0,2,2
