Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Santo Tomé Y Príncipe,0,1,1
2013-07,Santo Tomé Y Príncipe,0,1,1
2016-07,Santo Tomé Y Príncipe,0,1,1
2017-03,Santo Tomé Y Príncipe,1,1,2
2017-09,Santo Tomé Y Príncipe,0,1,1
2017-10,Santo Tomé Y Príncipe,0,1,1
2017-11,Santo Tomé Y Príncipe,0,2,2
2018-10,Santo Tomé Y Príncipe,0,1,1
2019-02,Santo Tomé Y Príncipe,1,0,1
2022-10,Santo Tomé Y Príncipe,0,4,4
2023-09,Santo Tomé Y Príncipe,0,2,2
2024-10,Santo Tomé Y Príncipe,0,3,3
2025-07,Santo Tomé Y Príncipe,0,1,1
2025-08,Santo Tomé Y Príncipe,1,0,1
2025-09,Santo Tomé Y Príncipe,0,2,2
