Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Senegal,1,0,1
2012-02,Senegal,1,0,1
2012-03,Senegal,1,2,3
2012-04,Senegal,0,1,1
2012-05,Senegal,1,2,3
2012-06,Senegal,0,2,2
2012-07,Senegal,0,1,1
2012-09,Senegal,1,2,3
2012-10,Senegal,4,4,8
2012-11,Senegal,0,1,1
2012-12,Senegal,0,4,4
2013-01,Senegal,0,1,1
2013-02,Senegal,0,1,1
2013-03,Senegal,0,1,1
2013-04,Senegal,0,2,2
2013-05,Senegal,0,1,1
2013-06,Senegal,1,1,2
2013-07,Senegal,2,5,7
2013-08,Senegal,0,5,5
2013-09,Senegal,3,8,11
2013-10,Senegal,0,4,4
2013-11,Senegal,0,2,2
2013-12,Senegal,0,2,2
2014-01,Senegal,1,0,1
2014-02,Senegal,0,1,1
2014-03,Senegal,0,2,2
2014-04,Senegal,5,10,15
2014-05,Senegal,3,14,17
2014-06,Senegal,0,1,1
2014-07,Senegal,0,5,5
2014-08,Senegal,1,8,9
2014-09,Senegal,2,2,4
2014-10,Senegal,0,5,5
2014-11,Senegal,1,0,1
2014-12,Senegal,1,1,2
2015-03,Senegal,1,1,2
2015-04,Senegal,1,3,4
2015-05,Senegal,0,2,2
2015-06,Senegal,4,7,11
2015-07,Senegal,4,5,9
2015-08,Senegal,1,4,5
2015-09,Senegal,1,5,6
2015-10,Senegal,0,3,3
2015-11,Senegal,0,2,2
2015-12,Senegal,1,0,1
2016-01,Senegal,1,1,2
2016-02,Senegal,0,3,3
2016-03,Senegal,1,1,2
2016-04,Senegal,2,6,8
2016-05,Senegal,1,3,4
2016-06,Senegal,1,1,2
2016-07,Senegal,1,1,2
2016-08,Senegal,6,1,7
2016-09,Senegal,1,6,7
2016-10,Senegal,5,4,9
2016-11,Senegal,2,5,7
2017-01,Senegal,0,1,1
2017-02,Senegal,0,2,2
2017-03,Senegal,1,2,3
2017-04,Senegal,0,3,3
2017-05,Senegal,1,3,4
2017-06,Senegal,1,0,1
2017-07,Senegal,0,1,1
2017-08,Senegal,3,2,5
2017-09,Senegal,0,2,2
2017-10,Senegal,1,2,3
2017-11,Senegal,1,4,5
2017-12,Senegal,1,2,3
2018-01,Senegal,0,2,2
2018-02,Senegal,2,2,4
2018-03,Senegal,2,7,9
2018-04,Senegal,0,3,3
2018-05,Senegal,0,3,3
2018-06,Senegal,0,1,1
2018-07,Senegal,3,1,4
2018-08,Senegal,1,1,2
2018-09,Senegal,1,1,2
2018-10,Senegal,0,1,1
2018-11,Senegal,2,2,4
2018-12,Senegal,2,3,5
2019-01,Senegal,2,0,2
2019-02,Senegal,4,4,8
2019-03,Senegal,2,1,3
2019-04,Senegal,0,1,1
2019-05,Senegal,1,1,2
2019-06,Senegal,1,9,10
2019-07,Senegal,1,2,3
2019-08,Senegal,2,0,2
2019-09,Senegal,1,4,5
2019-10,Senegal,0,1,1
2019-11,Senegal,1,2,3
2019-12,Senegal,1,2,3
2020-01,Senegal,0,3,3
2020-02,Senegal,2,2,4
2020-03,Senegal,0,1,1
2020-06,Senegal,1,0,1
2020-12,Senegal,0,3,3
2021-03,Senegal,0,1,1
2021-04,Senegal,0,1,1
2021-05,Senegal,1,0,1
2021-08,Senegal,0,1,1
2021-10,Senegal,0,2,2
2021-11,Senegal,3,2,5
2021-12,Senegal,2,8,10
2022-01,Senegal,0,2,2
2022-02,Senegal,1,0,1
2022-03,Senegal,1,4,5
2022-04,Senegal,0,2,2
2022-05,Senegal,0,3,3
2022-06,Senegal,1,2,3
2022-07,Senegal,2,4,6
2022-08,Senegal,2,3,5
2022-09,Senegal,2,4,6
2022-10,Senegal,7,34,41
2022-11,Senegal,5,6,11
2022-12,Senegal,2,14,16
2023-01,Senegal,1,2,3
2023-02,Senegal,2,22,24
2023-03,Senegal,0,1,1
2023-04,Senegal,0,1,1
2023-05,Senegal,0,3,3
2023-06,Senegal,1,1,2
2023-07,Senegal,1,2,3
2023-08,Senegal,1,7,8
2023-09,Senegal,0,6,6
2023-10,Senegal,1,25,26
2023-11,Senegal,4,7,11
2023-12,Senegal,1,2,3
2024-01,Senegal,0,1,1
2024-02,Senegal,2,49,51
2024-03,Senegal,0,1,1
2024-04,Senegal,0,3,3
2024-05,Senegal,0,4,4
2024-06,Senegal,1,2,3
2024-07,Senegal,2,4,6
2024-08,Senegal,0,3,3
2024-09,Senegal,2,3,5
2024-10,Senegal,12,28,40
2024-11,Senegal,2,0,2
2024-12,Senegal,0,3,3
2025-02,Senegal,2,3,5
2025-04,Senegal,5,2,7
2025-05,Senegal,0,2,2
2025-06,Senegal,1,1,2
2025-07,Senegal,1,0,1
2025-08,Senegal,0,10,10
2025-09,Senegal,3,8,11
2025-10,Senegal,4,3,7
2025-11,Senegal,8,14,22
2025-12,Senegal,3,5,8
