Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Serbia,2,7,9
2012-02,Serbia,8,9,17
2012-03,Serbia,16,20,36
2012-04,Serbia,1,5,6
2012-05,Serbia,1,2,3
2012-06,Serbia,2,5,7
2012-07,Serbia,3,6,9
2012-08,Serbia,3,3,6
2012-09,Serbia,2,6,8
2012-10,Serbia,3,7,10
2012-11,Serbia,2,7,9
2012-12,Serbia,8,12,20
2013-01,Serbia,5,5,10
2013-02,Serbia,9,16,25
2013-03,Serbia,7,9,16
2013-04,Serbia,5,6,11
2013-05,Serbia,4,10,14
2013-06,Serbia,5,10,15
2013-07,Serbia,11,20,31
2013-08,Serbia,7,9,16
2013-09,Serbia,4,3,7
2013-10,Serbia,6,16,22
2013-11,Serbia,3,13,16
2013-12,Serbia,11,5,16
2014-01,Serbia,10,11,21
2014-02,Serbia,3,10,13
2014-03,Serbia,4,22,26
2014-04,Serbia,11,14,25
2014-05,Serbia,1,10,11
2014-06,Serbia,6,8,14
2014-07,Serbia,7,11,18
2014-08,Serbia,8,10,18
2014-09,Serbia,11,4,15
2014-10,Serbia,7,8,15
2014-11,Serbia,4,9,13
2014-12,Serbia,18,10,28
2015-01,Serbia,13,25,38
2015-02,Serbia,5,12,17
2015-03,Serbia,11,19,30
2015-04,Serbia,6,6,12
2015-05,Serbia,5,13,18
2015-06,Serbia,7,15,22
2015-07,Serbia,15,18,33
2015-08,Serbia,12,22,34
2015-09,Serbia,3,9,12
2015-10,Serbia,1,6,7
2015-11,Serbia,8,14,22
2015-12,Serbia,20,13,33
2016-01,Serbia,21,37,58
2016-02,Serbia,10,23,33
2016-03,Serbia,13,16,29
2016-04,Serbia,11,20,31
2016-05,Serbia,7,18,25
2016-06,Serbia,4,5,9
2016-07,Serbia,9,13,22
2016-08,Serbia,17,13,30
2016-09,Serbia,10,7,17
2016-10,Serbia,7,17,24
2016-11,Serbia,9,21,30
2016-12,Serbia,15,19,34
2017-01,Serbia,8,31,39
2017-02,Serbia,5,29,34
2017-03,Serbia,16,21,37
2017-04,Serbia,11,20,31
2017-05,Serbia,10,14,24
2017-06,Serbia,4,19,23
2017-07,Serbia,14,14,28
2017-08,Serbia,17,14,31
2017-09,Serbia,7,6,13
2017-10,Serbia,12,14,26
2017-11,Serbia,7,27,34
2017-12,Serbia,14,22,36
2018-01,Serbia,9,31,40
2018-02,Serbia,15,26,41
2018-03,Serbia,12,28,40
2018-04,Serbia,12,33,45
2018-05,Serbia,13,30,43
2018-06,Serbia,12,24,36
2018-07,Serbia,16,26,42
2018-08,Serbia,11,25,36
2018-09,Serbia,10,19,29
2018-10,Serbia,9,34,43
2018-11,Serbia,26,52,78
2018-12,Serbia,30,75,105
2019-01,Serbia,33,78,111
2019-02,Serbia,25,56,81
2019-03,Serbia,35,58,93
2019-04,Serbia,23,61,84
2019-05,Serbia,13,27,40
2019-06,Serbia,20,49,69
2019-07,Serbia,26,34,60
2019-08,Serbia,21,22,43
2019-09,Serbia,17,34,51
2019-10,Serbia,35,55,90
2019-11,Serbia,22,66,88
2019-12,Serbia,44,70,114
2020-01,Serbia,46,75,121
2020-02,Serbia,34,61,95
2020-03,Serbia,3,23,26
2020-05,Serbia,0,1,1
2020-06,Serbia,1,0,1
2020-08,Serbia,0,1,1
2020-09,Serbia,2,0,2
2020-10,Serbia,4,6,10
2020-11,Serbia,2,10,12
2020-12,Serbia,6,23,29
2021-01,Serbia,11,18,29
2021-02,Serbia,11,24,35
2021-03,Serbia,9,24,33
2021-04,Serbia,6,19,25
2021-05,Serbia,1,13,14
2021-06,Serbia,9,22,31
2021-07,Serbia,20,39,59
2021-08,Serbia,19,32,51
2021-09,Serbia,16,33,49
2021-10,Serbia,13,37,50
2021-11,Serbia,26,58,84
2021-12,Serbia,28,52,80
2022-01,Serbia,36,65,101
2022-02,Serbia,42,83,125
2022-03,Serbia,21,70,91
2022-04,Serbia,23,58,81
2022-05,Serbia,13,39,52
2022-06,Serbia,16,35,51
2022-07,Serbia,40,59,99
2022-08,Serbia,24,47,71
2022-09,Serbia,22,62,84
2022-10,Serbia,20,74,94
2022-11,Serbia,43,72,115
2022-12,Serbia,33,60,93
2023-01,Serbia,46,70,116
2023-02,Serbia,28,63,91
2023-03,Serbia,27,68,95
2023-04,Serbia,13,45,58
2023-05,Serbia,39,75,114
2023-06,Serbia,64,72,136
2023-07,Serbia,22,32,54
2023-08,Serbia,33,51,84
2023-09,Serbia,21,41,62
2023-10,Serbia,20,24,44
2023-11,Serbia,31,55,86
2023-12,Serbia,34,84,118
2024-01,Serbia,72,106,178
2024-02,Serbia,56,123,179
2024-03,Serbia,27,59,86
2024-04,Serbia,50,79,129
2024-05,Serbia,17,42,59
2024-06,Serbia,58,72,130
2024-07,Serbia,29,37,66
2024-08,Serbia,18,50,68
2024-09,Serbia,17,38,55
2024-10,Serbia,25,57,82
2024-11,Serbia,30,72,102
2024-12,Serbia,83,101,184
2025-01,Serbia,62,117,179
2025-02,Serbia,62,118,180
2025-03,Serbia,43,89,132
2025-04,Serbia,81,84,165
2025-05,Serbia,21,61,82
2025-06,Serbia,19,38,57
2025-07,Serbia,33,52,85
2025-08,Serbia,14,30,44
2025-09,Serbia,17,49,66
2025-10,Serbia,28,41,69
2025-11,Serbia,34,94,128
2025-12,Serbia,69,124,193
