Fecha,Nacionalidad,Femenino,Masculino,Total
2013-09,Seychelles,1,0,1
2015-06,Seychelles,0,2,2
2015-07,Seychelles,0,1,1
2015-09,Seychelles,2,1,3
2016-11,Seychelles,0,1,1
2017-10,Seychelles,1,0,1
2018-04,Seychelles,0,1,1
2018-08,Seychelles,0,1,1
2018-09,Seychelles,0,1,1
2018-12,Seychelles,0,1,1
2019-10,Seychelles,0,1,1
2021-04,Seychelles,0,1,1
2021-10,Seychelles,0,1,1
2022-03,Seychelles,0,1,1
2022-07,Seychelles,1,1,2
2022-08,Seychelles,1,0,1
2024-06,Seychelles,0,1,1
2024-07,Seychelles,0,1,1
2024-10,Seychelles,9,5,14
2025-02,Seychelles,0,2,2
2025-10,Seychelles,0,1,1
