Fecha,Nacionalidad,Femenino,Masculino,Total
2012-01,Sudáfrica,30,84,114
2012-02,Sudáfrica,16,82,98
2012-03,Sudáfrica,39,91,130
2012-04,Sudáfrica,20,74,94
2012-05,Sudáfrica,46,100,146
2012-06,Sudáfrica,22,96,118
2012-07,Sudáfrica,15,71,86
2012-08,Sudáfrica,36,113,149
2012-09,Sudáfrica,26,71,97
2012-10,Sudáfrica,29,94,123
2012-11,Sudáfrica,27,110,137
2012-12,Sudáfrica,35,76,111
2013-01,Sudáfrica,41,77,118
2013-02,Sudáfrica,23,71,94
2013-03,Sudáfrica,49,86,135
2013-04,Sudáfrica,53,162,215
2013-05,Sudáfrica,34,81,115
2013-06,Sudáfrica,33,84,117
2013-07,Sudáfrica,59,136,195
2013-08,Sudáfrica,47,100,147
2013-09,Sudáfrica,42,85,127
2013-10,Sudáfrica,32,87,119
2013-11,Sudáfrica,59,140,199
2013-12,Sudáfrica,42,59,101
2014-01,Sudáfrica,31,66,97
2014-02,Sudáfrica,29,74,103
2014-03,Sudáfrica,29,91,120
2014-04,Sudáfrica,82,134,216
2014-05,Sudáfrica,33,95,128
2014-06,Sudáfrica,23,92,115
2014-07,Sudáfrica,46,122,168
2014-08,Sudáfrica,36,98,134
2014-09,Sudáfrica,34,100,134
2014-10,Sudáfrica,18,78,96
2014-11,Sudáfrica,25,101,126
2014-12,Sudáfrica,43,66,109
2015-01,Sudáfrica,45,78,123
2015-02,Sudáfrica,42,85,127
2015-03,Sudáfrica,46,122,168
2015-04,Sudáfrica,35,91,126
2015-05,Sudáfrica,58,103,161
2015-06,Sudáfrica,48,107,155
2015-07,Sudáfrica,78,121,199
2015-08,Sudáfrica,69,139,208
2015-09,Sudáfrica,49,118,167
2015-10,Sudáfrica,43,98,141
2015-11,Sudáfrica,44,99,143
2015-12,Sudáfrica,46,83,129
2016-01,Sudáfrica,59,95,154
2016-02,Sudáfrica,44,150,194
2016-03,Sudáfrica,67,93,160
2016-04,Sudáfrica,50,103,153
2016-05,Sudáfrica,46,93,139
2016-06,Sudáfrica,49,107,156
2016-07,Sudáfrica,56,92,148
2016-08,Sudáfrica,43,85,128
2016-09,Sudáfrica,51,101,152
2016-10,Sudáfrica,69,149,218
2016-11,Sudáfrica,44,92,136
2016-12,Sudáfrica,58,101,159
2017-01,Sudáfrica,57,78,135
2017-02,Sudáfrica,45,65,110
2017-03,Sudáfrica,50,95,145
2017-04,Sudáfrica,59,87,146
2017-05,Sudáfrica,38,63,101
2017-06,Sudáfrica,43,103,146
2017-07,Sudáfrica,80,131,211
2017-08,Sudáfrica,38,96,134
2017-09,Sudáfrica,31,78,109
2017-10,Sudáfrica,60,85,145
2017-11,Sudáfrica,32,58,90
2017-12,Sudáfrica,53,67,120
2018-01,Sudáfrica,36,55,91
2018-02,Sudáfrica,18,43,61
2018-03,Sudáfrica,56,80,136
2018-04,Sudáfrica,23,71,94
2018-05,Sudáfrica,28,56,84
2018-06,Sudáfrica,33,58,91
2018-07,Sudáfrica,35,60,95
2018-08,Sudáfrica,21,63,84
2018-09,Sudáfrica,31,64,95
2018-10,Sudáfrica,30,99,129
2018-11,Sudáfrica,32,96,128
2018-12,Sudáfrica,32,43,75
2019-01,Sudáfrica,31,63,94
2019-02,Sudáfrica,29,54,83
2019-03,Sudáfrica,27,62,89
2019-04,Sudáfrica,26,53,79
2019-05,Sudáfrica,19,51,70
2019-06,Sudáfrica,43,60,103
2019-07,Sudáfrica,35,63,98
2019-08,Sudáfrica,25,48,73
2019-09,Sudáfrica,51,123,174
2019-10,Sudáfrica,38,72,110
2019-11,Sudáfrica,23,65,88
2019-12,Sudáfrica,41,54,95
2020-01,Sudáfrica,23,45,68
2020-02,Sudáfrica,19,53,72
2020-03,Sudáfrica,7,23,30
2020-07,Sudáfrica,0,2,2
2020-09,Sudáfrica,0,1,1
2020-10,Sudáfrica,4,12,16
2020-11,Sudáfrica,3,10,13
2020-12,Sudáfrica,6,14,20
2021-01,Sudáfrica,4,5,9
